date,title,reactions,comments,linkedin_url
2026-01-06,at 64 Oracle took his company (Dave Duffield / Workday),2574,91,https://www.linkedin.com/posts/ruben-burdin_at-64-oracle-took-his-company-at-65-he-activity-7414428658985267200-brUs
2026-01-19,Salesforce used to pay $10M/year to a celebrity (MrBeast),2001,96,https://www.linkedin.com/posts/ruben-burdin_salesforce-used-to-pay-10myear-to-a-celebrity-activity-7419047813369532416-GIn1
2026-01-02,He created MySQL in 1995 named it after his daughter,1396,69,https://www.linkedin.com/posts/ruben-burdin_hed-created-mysql-in-1995-named-it-after-activity-7412956508788903936-rWot
2026-01-04,$30B company started because a wife played matchmaker (HubSpot),1069,38,https://www.linkedin.com/posts/ruben-burdin_a-30b-company-started-because-a-wife-played-activity-7388716876014530560-V6g9
2026-01-21,$70 billion in one day (Snowflake IPO),813,28,https://www.linkedin.com/posts/ruben-burdin_70-billion-in-one-day-that-was-snowflakes-activity-7419832403675844608-VUnw
2026-01-08,One company created more billion-dollar competitors (Oracle alumni),383,20,https://www.linkedin.com/posts/ruben-burdin_one-company-created-more-billion-dollar-competitors-activity-7415146199349157888-YbrD
2026-02-26,Snowflake started with a confession,240,11,https://www.linkedin.com/posts/ruben-burdin_snowflake-started-with-a-confession-between-share-7432913388340527105-_Vaa
2026-02-14,Heroku was built as an in-browser code editor,116,8,https://www.linkedin.com/posts/ruben-burdin_heroku-was-built-as-an-in-browser-code-editor-activity-7428268317376737280-vhCT
2025-12-18,77% of the world's transaction revenue runs through SAP,110,9,https://www.linkedin.com/posts/ruben-burdin_77-of-the-worlds-transaction-revenue-runs-activity-7407278069809303553-Npeu
2025-12-20,German teachers diagnosed him as learning disabled (Shopify / Lütke),104,11,https://www.linkedin.com/posts/ruben-burdin_german-teachers-diagnosed-him-as-learning-activity-7407939431589978112-FBvR
2026-01-07,Musk and Thiel built PayPal then funded two direct competitors,103,6,https://www.linkedin.com/posts/ruben-burdin_musk-and-thiel-built-paypal-then-funded-two-activity-7414802637033922560-g921
2026-02-02,I studied 6 major CRM companies (Salesforce / HubSpot / Zoho…),52,5,https://www.linkedin.com/posts/ruben-burdin_i-studied-6-major-crm-companies-every-single-activity-7424231131975450624-Ozym
2026-01-13,Warren Buffett famously avoids tech stocks (Snowflake exception),44,8,https://www.linkedin.com/posts/ruben-burdin_warren-buffett-famously-avoids-tech-stocks-activity-7416631407936081921-Q_RS
2026-01-14,In 2007 VCs told Zendesk's founders to get a proper job,63,5,https://www.linkedin.com/posts/ruben-burdin_in-2007-vcs-told-zendesks-founders-to-activity-7417271079146131456-V8cx
2025-12-17,Patrick wrote an email to Paul Graham that would have killed Stripe,61,2,https://www.linkedin.com/posts/ruben-burdin_patrick-wrote-an-email-to-paul-graham-that-activity-7406886438060834816-MVXh
2026-01-29,Fellow is a $100M coffee brand,26,5,https://www.linkedin.com/posts/ruben-burdin_fellow-is-a-100m-coffee-brand-youve-activity-7422751124085993473-RR8e
2025-12-22,OpenAI just broke ground on an AI campus larger than the Pentagon,24,0,https://www.linkedin.com/posts/ruben-burdin_openai-just-broke-ground-on-an-ai-campus-activity-7408989131860652034-3CyM
2025-12-30,Howie Liu left Salesforce to build Airtable,21,2,https://www.linkedin.com/posts/ruben-burdin_howie-liu-left-salesforce-to-build-airtable-activity-7411626012242755584-33Pn
2025-12-25,How does a $9 billion company order the wrong shoes (Nike),12,0,https://www.linkedin.com/posts/ruben-burdin_how-does-a-9-billion-company-order-the-wrong-activity-7409745320231735296-siMr
2025-12-19,Anton Osika founder of Lovable saw this pattern first,16,3,https://www.linkedin.com/posts/ruben-burdin_anton-osika-founder-of-lovable-saw-this-pattern-activity-7407589772279463936-jNN7
2025-12-16,One of the greatest athletes backed $5M into Pipedrive,17,1,https://www.linkedin.com/posts/ruben-burdin_one-of-the-greatest-athletes-of-all-time-activity-7406525137501499392-WOGs
