rank,date,author,likes,comments,shares,total_engagement,hook_type,topic,angle,structure,first_line,full_text,url,image_url,is_original_alexis,matched_draft,draft_path
1,2025-12-08,UNKNOWN,688,44,28,760,Contrarian,Engineering/Technical,Contrarian/Challenge,Story → Lesson,Data scientists blame data engineers for broken data.,"Data scientists blame data engineers for broken data.
Data engineers blame scientists for unrealistic requests.
And both teams are about to get replaced by AI.

At least that's the fear.
But here's what's actually happening:

LLMs integrated with semantic layers hit near-perfect accuracy.
LLMs without them? Around 80% hallucination rates.

Same models. 
Same prompts. 
Wildly different results.

The difference isn't the AI. 
It's the infrastructure underneath it.

And that infrastructure? 
It's built by data engineers and shaped by data scientists.

The problem is they're still working in silos.
60% of organizations cite data quality as their top priority. 
Yet most data teams operate like this:

→ Engineers process data without considering ML requirements → Scientists write Python that doesn't translate to production → Nobody owns the schema. 

Everyone owns the blame.

The ""thinker/doer"" dynamic is killing teams. 

Engineers just industrialize whatever scientists build. 
No real collaboration. Just handoffs and finger-pointing.

Meanwhile, AI is exposing every gap.
Bad data quality? The LLM hallucinates.
Schema drift? The model breaks.
No semantic layer? Good luck getting accurate answers.

Data contracts. Shared tooling. Scientists involved early, not treated as downstream consumers.

85% of firms say lakehouses accelerated their AI readiness.
Because it finally put both teams in the same architecture.

AI doesn't replace data teams.
It exposes the dysfunctional ones.",https://www.linkedin.com/posts/favre-alexis_data-scientists-blame-data-engineers-for-activity-7403917248853069824-hdl9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADq6p-kBcdJAYJMzAN8VuZZFUmNBfOSttAI,https://media.licdn.com/dms/image/v2/D4E22AQFU2dXF-ZBWtA/feedshare-shrink_20/B4EZr__gYbHUAM-/0/1765231429462?e=1772668800&v=beta&t=Yk-XRMFFJ36zJL4aIgrnaWn_e4dD1Qm-3h-aFpbSg7U,True,,
2,2026-01-09,UNKNOWN,243,9,6,258,Contrarian,Engineering/Technical,Origin Story/Narrative,Setup → Punchline,"Security teams in 2020: ""Please stop committing API keys""","Security teams in 2020: ""Please stop committing API keys""
Security teams in 2026: ""Please stop pasting our entire customer database into ChatGPT""

The threat model evolved. The behavior didn't.",https://www.linkedin.com/posts/favre-alexis_security-teams-in-2020-please-stop-committing-activity-7415452335671603200-Pg5x?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo,https://media.licdn.com/dms/image/v2/D4E22AQFOK0kgAIRp5A/feedshare-shrink_2048_1536/B4EZuFL7EIGoAw-/0/1767466054937?e=1772668800&v=beta&t=YWbV3_4LLNInytHVmfRj_SDwLN37pU2Wc8Blphm420I,True,,
3,2026-01-27,Alexis Favre,93,11,3,107,Teacher,Industry/SaaS,Data/Numbers,Story → Lesson,"In 2011, integrating payments into your app took weeks.","In 2011, integrating payments into your app took weeks.

PayPal documentation. XML everywhere. Redirect users off your site. 
Back and forth with support. Up to 60 days to access your own funds.

Stripe launched with 7 lines of JavaScript.

PayPal had brand recognition. 
Trust. Market share. 
They were processing over $100 billion a year.

But they built for finance teams.

Stripe built for developers.

Patrick Collison understood something: developers choose the tools. 
They influence architecture decisions. 

They're the ones implementing the integration at 2am before launch.

Make the developer's life easier. 
They'll make your product successful.

2024: Stripe hit $70B valuation. 
Processing over $1 trillion annually.

The companies that win aren't building for the people who approve the budget.

They're building for the people who actually use the product.",https://www.linkedin.com/posts/favre-alexis_in-2011-integrating-payments-into-your-app-activity-7421753081295589376-tA4s?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGRiZJMBFUHjzYPeIBacpFQyYQ_DUue4DsQ,https://media.licdn.com/dms/image/v2/D4E22AQEGWFd53IBIIQ/feedshare-shrink_800/B4EZv9dGNhIkAk-/0/1769483822285?e=1772668800&v=beta&t=71o6s4AIqPqsZvXPQqKCefCKU7YH518vZmRmlRCcd80,True,,
4,2026-01-06,UNKNOWN,75,1,3,79,Teacher,Engineering/Technical,Humor/Satire,Setup → Punchline,"Intern: ""What's the difference between data engineer and data analyst?""","Intern: ""What's the difference between data engineer and data analyst?""


Engineer: ""I build critical infrastructure"" 
Analyst: ""I drive business decisions""

Intern after 3 months: ""Oh, you both blame each other when something breaks""",https://www.linkedin.com/posts/favre-alexis_intern-whats-the-difference-between-data-activity-7414395337597042688-shKp?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo,https://media.licdn.com/dms/image/v2/D4E22AQGoeAxHg4NKGw/feedshare-shrink_2048_1536/B4EZuFb8O4GoA0-/0/1767470254181?e=1772668800&v=beta&t=rPtdbPO-cAET-x5TPfP0KZt-5RJ_p0xKTxpX7KzK0k4,True,,
5,2025-12-30,UNKNOWN,67,4,0,71,Teacher,Integration/Data,Humor/Satire,Listicle/Breakdown,"Data engineering job interview: ""you'll architect our real-time analytics platform""","Data engineering job interview: ""you'll architect our real-time analytics platform"" 
data engineering actual job: 

- debugging why the salesforce sync dropped 47,000 records at 3am 
- explaining to the ceo why the dashboard numbers don't match 
- writing the same ""upsert"" logic for the 15th time 
- pretending ""eventual consistency"" was intentional 
- mass mass snowflake costs while crying",https://www.linkedin.com/posts/favre-alexis_data-engineering-job-interview-youll-architect-activity-7411607561877073920-uA57?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEJkUhcBhZbTboFaaYcPg0ZbPEKZ2-g1EWk,,True,,
6,2026-01-13,UNKNOWN,53,1,2,56,Teacher,Integration/Data,Data/Numbers,Setup → Punchline,Your engineers didn't get hired to babysit Salesforce integrations,"Your engineers didn't get hired to babysit Salesforce integrations
or debug HubSpot webhooks at 2am.
That's ~30% of their week you're not getting back.
Free them !",https://www.linkedin.com/posts/favre-alexis_your-engineers-didnt-get-hired-to-babysit-activity-7416977606111207424-BkPp?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo,https://media.licdn.com/dms/image/v2/D4E22AQGP23iVlNGQ0g/feedshare-shrink_2048_1536/B4EZu5l1GIGoAk-/0/1768345261002?e=1772668800&v=beta&t=0h3BI6P6EAscG_lIUN3UlFjDPoN7YFeM9VjtPEagDVg,True,v2_Diagnostic_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/v2_Diagnostic_Alexis.md
7,2026-01-05,UNKNOWN,43,0,2,45,Teacher,Industry/SaaS,Humor/Satire,Setup → Punchline,"Resume: ""Ensured data integrity across billion-record datasets through strategic deduplication initiatives""","Resume: ""Ensured data integrity across billion-record datasets through strategic deduplication initiatives""
Reality: Found one row where someone entered ""California"" and ""CA"" for the same customer",https://www.linkedin.com/posts/favre-alexis_resume-ensured-data-integrity-across-billion-record-activity-7414032957465632769-KjC2?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEJkUhcBhZbTboFaaYcPg0ZbPEKZ2-g1EWk,https://media.licdn.com/dms/image/v2/D4E22AQGMxLpeP6EAAg/feedshare-shrink_800/B4EZuFND1NGcAo-/0/1767466353300?e=1772668800&v=beta&t=bAg9ismoEGzzVKh0uuETnHt9Sy0JQhymSj80mPa58ZQ,True,2026-01-05_resume_reality,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Post/Alexis/02_week_26/2026-01-05_resume_reality.md
8,2026-02-05,Arvind Jeyakumar,33,8,2,43,Teacher,Integration/Data,Data/Numbers,Story → Lesson,There's a difference between someone buying your product and someone showing the room how they use it.,"There's a difference between someone buying your product and someone showing the room how they use it.

We hosted The SF NetSuite Series: From Silos to AI-Driven Ops.
45 NetSuite practitioners in one room. Good energy.

Fellow, Orderful, and Origami Precision on stage with us.

And then Arvind Jeyakumar from Fellow (a $100M+ specialty coffee company)
stood up and showed the room how they use Stacksync.

Their actual workflow. How they sync their NetSuite data with Stacksync in production.

That moment hit me.

I work with customers every day. But this was different.

This was someone choosing to stand in front of a room full of strangers and say: we use this. Let me show you why.

You can raise money. You can ship features. You can grow the team.

But the moment a customer talks about your product and shows it with pride, not because you asked, but because they want to?

That's something you can't build. You can only earn it.

Really happy about this 💙",https://www.linkedin.com/posts/favre-alexis_theres-a-difference-between-someone-buying-activity-7425287866131546112-wzX7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7hd2wBBUaoPHH28mEI3rBDqBuRHVW9qnU,https://media.licdn.com/dms/image/v2/D5622AQFfCTSGD9pu0A/feedshare-shrink_1280/B56Zwvr90gHUAg-/0/1770326580885?e=1772668800&v=beta&t=9Ez6v6_LJ4xZ2DnfeZFvCE7sCapjAxXHsYZzmEL0X9o,True,NetsuiteConnector_Alexis,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Bangers/drafts/NetsuiteConnector_Alexis.md
9,2026-02-04,UNKNOWN,34,5,1,40,Teacher,Leadership/Culture,Personal Experience,Story → Lesson,The biggest lesson of my career didn't come from a win.,"The biggest lesson of my career didn't come from a win. 
It came from watching someone brilliant fail.
I was working under a former Head of AI at Google:

Health tech startup. Super impactful. Every time I went to the clinic, I could see the difference we were making in people's lives.

My boss was extremely smart in tech.
But somehow he couldn't build a movement.

You know what I realized?

I understood that I was just executing.
And executing alone doesn't change anything.

What you need is to be good at something — and then inspire other people to go on a journey with you and do something unbelievable.

That's the difference.

The smartest person in the room stays in the room.
The one who builds a movement changes which room everyone's in.

I'm trying to do this at Stacksync every day.
Best people. Best energy. Same journey. 

(Photo taken during our last retreat)",https://www.linkedin.com/posts/favre-alexis_the-biggest-lesson-of-my-career-didnt-come-activity-7424951874912579584-lbUn?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7hd2wBBUaoPHH28mEI3rBDqBuRHVW9qnU,https://media.licdn.com/dms/image/v2/D5622AQEJz4UTQ0PjLw/feedshare-shrink_800/B56Zwq6YsaI8Ag-/0/1770246474957?e=1772668800&v=beta&t=Kb96yzqDuBHFNCRHQ6mL8SGsQ6kEevG0x9R5ZY-9obU,True,alexis_leadership_vs_execution,/Users/TERABYTE10/Downloads/Stacksync/04_linkedin_content/Stacksync Universe/Alexis/posts/alexis_leadership_vs_execution.md
10,2025-12-17,UNKNOWN,38,2,0,40,Teacher,AI/Tech,Origin Story/Narrative,Story → Lesson,Everyone wants to understand how ChatGPT works,"Everyone wants to understand how ChatGPT works
But they start with Transformers. That might be a mistake
Start with the Vector.

The idea that you can map the meaning of a word into a multi-dimensional space is the closest thing we have to digital magic.

It's why ChatGPT ""understands"" you.

Stanford's CS224N teaches this better than anything I've seen: 

→ Lecture 1: Words become numbers (Embeddings) 
→ Lecture 7: Numbers become translations (Attention) 
→ Lecture 9: Attention becomes intelligence (Transformers)

It's the story of how we taught silicon to speak.
And it's free.

Link in the comments.",https://www.linkedin.com/posts/favre-alexis_everyone-wants-to-understand-how-chatgpt-activity-7406902625847312385-xHZx?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADq6p-kBcdJAYJMzAN8VuZZFUmNBfOSttAI,https://media.licdn.com/dms/image/v2/D4E22AQHiqv_qMvOXuQ/feedshare-shrink_20/B4EZsqar02JgA0-/0/1765943198236?e=1772668800&v=beta&t=Kz5SjWQz4uQAqy5DRBaa9Eyqk38Ua8PNfghx1FQ8cJg,True,,
