authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Amelia Sordell 🔥,ameliasordell,2025-11-18T07:45:11.606Z,1694,406,15,image,"I have never met a woman more successful than me hating on me trying.
I've never met someone in a beautiful, secure relationship, gossiping about mine. 

Women, and men at the top do not compete against each other - they collaborate. 

Because surprise, surprise - there is enough business and success to go around for all of us! 

So;

- Share your spotlight.
- Shout your friends.
- Praise your colleagues in public. 

And give your internet besties all the hype they deserve and connect people  together without expecting anything in return. 

Please cheer others on when they win. 

Successful women don’t put others down - they lift people up. 

Because when YOU lift other people, you also lift yourself. 

💜",https://www.linkedin.com/posts/ameliasordell_i-have-never-met-a-woman-more-successful-activity-7396453406657265664-Dps9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGK8lycB7RYSfVXRighr-4DUq73GASaV5ik
Amelia Sordell 🔥,ameliasordell,2025-11-26T07:30:39.783Z,1386,424,14,image,"Five years ago, I was tricked into a “coffee meeting.”
Turned out it was actually a pitch to the entire board.

I walked in with nothing but a notebook.
My competitor walked in with a deck, a demo, and the contract.

I lost the deal - a £50,000 contract - right at the beginning of my business - when I really, really needed the money.

I was humiliated.

Not because I didn’t win, but because I didn’t even know I was playing a game. 

Turns out, my competitor had been briefed properly.
He knew it was a pitch.
He was told who’d be in the room.

I know because he told me himself.

I felt set up.

I was a young, naive woman in brand new industry with a brand new business. 

I spent the next 3 days spiralling.
Rereading every email.
Beating myself up for not asking better questions.
Blaming everyone - including myself for the deal that I felt was ""taken"" from me. 

Then I called a friend, another founder, to trauma-dump, and to be honest to get someone else to feel sorry for me. And I still remember that call today. He said;

""Feel sorry for yourself, or figure out how to win next time. You don’t have time for both.""

That moment changed everything.

Because he was right.

Winners don’t waste time regretting what they didn’t do, they just make damn sure they do it next time.

And I did.

Now I never walk into a room without knowing exactly who’s in it, what they want, and how I’m going to win.

Even if it's ""just a coffee"". 

Hard lesson.
Expensive mistake.
But now I know this game isn't about win or lose. 
It's only win or LEARN.",https://www.linkedin.com/posts/ameliasordell_five-years-ago-i-was-tricked-into-a-coffee-activity-7399348852891480064-_Vj9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
Amelia Sordell 🔥,ameliasordell,2026-02-07T09:30:12.194Z,1508,229,9,image,"Someone once said to me ""i've never met a person who goes to the gym, takes care of themselves... who isn't also wildy successful in their business life""

This triggered me into going to the gym 3-4x a week, religiously since Jan 1st. 

I've:
- Dropped 4kgs
- Feel like a little baddie 
- And have closed 3x new consulting gigs with tremendous f*cking founders, wanting to use their personal brands to grow their businesses. 

If you're feeling sh*t about work...

Go to the gym. 

💜",https://www.linkedin.com/posts/ameliasordell_someone-once-said-to-me-ive-never-met-a-activity-7425833250352181248-XlAl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEnh7kgBX6y8lDl0AcaiaTteqLLpzAu255g
Amelia Sordell 🔥,ameliasordell,2026-02-22T09:30:12.930Z,1159,189,14,image,"Please wear ALL your 'good' clothes, nicest perfume, best make up this year.

Wear the fur on the tube. 
The heels to the date. 
The sequins in tomorrow mornings meeting. 

Be BOTHERED.

You don't need an occasion to wear your 'best' stuff. 
You ARE the occasion.",https://www.linkedin.com/posts/ameliasordell_please-wear-all-your-good-clothes-nicest-activity-7431269071423401984-YEcx?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACV_bv4Bk5ERfS1sLjiBOKctm-e1auj5DDg
Amelia Sordell 🔥,ameliasordell,2026-02-02T07:30:09.148Z,1135,187,4,image,"I went back to work just 3 months after having my second baby. 
Truthfully, I wore that quick return like a badge of honour.
I thought it made me look like I had my sh*t together. 

That I was mature.
Smart.
Valuable enough to be able to have a baby, whilst managing a 18 month old and get right back to work. 

And crushed it. 

But actually, I was crumbling. 

I was tired. 
Unsure of myself. 
My confidence was shot and to be honest, like a lot of mothers can relate to... totally lost my identity. 

But I was terrified of being left behind in my career.
So, I went back to work. 

As a result, I completely overwhelmed. 

I missed out on moments at home.
Missed targets I'd set myself at work.
And felt totally depleted.

I had nothing to give anymore.
But most importantly I had nothing to give myself, anymore. 

There is no RIGHT time to go back to work after a major life event, if you can afford to make that decision. 

But there definitely is a wrong time. 
 
Be kind to yourself. 
Listen to your body. 

Outsiders might think you look like Superwoman.
But there aren’t any real life medals for wearing that cape.

Amelia 💜

If we haven't met before, hi - my name's Amelia. I built a $4million revenue business off the back of my personal brand, now I post content about how you can do it, too.

I run a weekly live - The Branded Show - where we go through tools, tactics and strategies small businesses can use to stand out, get more leads and make more money. Save your spot here: ameliasordell.com/live/",https://www.linkedin.com/posts/ameliasordell_i-went-back-to-work-just-3-months-after-having-activity-7423991099259686912-6xhD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGQVMrQBWJC4u5MvFMxBtia-0kPXJGj40V0
Amelia Sordell 🔥,ameliasordell,2025-11-21T07:30:10.904Z,1036,252,14,image,"If I was a man, starting a business in 2026 - here is what is exactly what I'd do ↓

1. I’d pitch before I was ready.
I wouldn’t wait for the perfect deck or airtight strategy. I’d start talking about the idea, asking for feedback, getting in the room - because clarity comes through action, not perfection.

2. I’d launch a waitlist before I built the product.
I wouldn’t waste months building something no one asked for. I’d write the landing page, collect emails, test messaging - and build based on what people actually want.

3. I’d say my prices with my chest.
Not a nervous shrug. Not “let me know if that works.”
I’d say it, shut up, and let them say yes. Then I’d raise them every year - because I believe in what I deliver.

4. I’d post about my wins.
Big ones, small ones, messy ones. I wouldn’t wait until I had the “perfect result.”
I’d bring people with me on the journey - that’s how trust is built.

5. I’d show up as me.
Not just as “the founder of X.” Not hiding behind a logo or brand voice.
But as a real person people connect with - because that’s what makes you unforgettable.

6. I’d build in public.
I’d share what’s working, what’s failing, what I’m figuring out.
Because transparency builds trust. 

7. I’d network with people doing better than me. 
Because if you only stay in rooms where you feel safe, you’ll never grow beyond your current level. I’d ask the bold questions. I’d follow up. I’d play bigger.

8. I’d ask for help.
Without shame. Without feeling like I need to “prove” myself first.
Because asking for help isn’t weakness - it’s strategy.

9. I’d take up space.
On Zoom calls. In pitches. On panels. Online. I wouldn’t shrink myself to be digestible. I’d speak clearly, confidently - and trust my voice was worth hearing.

10. And I’d do it all without apologising.
No over-explaining. No softening the message. Just full belief that I belong in this space. Even before anyone else believes it.

BTW this isn't actually about men or women, it's about unlearning the conditioning that told us ALL to wait, shrink, or play nice.

So, have the AUDACITY of a confident guy building a business in 2026. 

Because 2026 is the year you stop asking for permission.
And start backing yourself like an average f*cking CEO... 😉",https://www.linkedin.com/posts/ameliasordell_if-i-was-a-man-starting-a-business-in-2026-activity-7397536792436035584-U00N?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
Amelia Sordell 🔥,ameliasordell,2025-12-03T07:30:13.076Z,970,288,8,image,"When my first business went bust, I remember calling my mum telling her I and my dog, Peanut were moving back home. 

I also remember selling my car because I had no money to live or pay to run it. 

My entire identity had been tied to running this business and when it didn’t work out it felt like a death. I spent the next 3 months wallowing in self pity.

It felt like this event had happened to ME. I was the victim. 

It wasn’t until I realise no one was coming to save me from the mess of my own life did I actually begin to see the light at the end of the tunnel. 

That didn’t come easily. 

That came as a very real slap across the face of; I was broke, living with my parents and if I didn’t get my sh*t together no one else was going to do it for me. 

Life has a funny way of teaching you lessons.

Why am I telling you this? 

Well, I’ve been through some of the toughest things someone can experience over the last 10 years. 

- Failed businesses.
- Divorce.
- Lawsuits - at the same time as the above….

Each thing takes a piece of you. 

But there is NOTHING that can’t be figured out. 

- Dead end job. 
- Unhappy relationships. 
- Toxic environments. 
- Unhealed hearts. 
- Debt. 
- Bad credit scores.  
- Voids you think cannot be filled.

... And holes you think you cannot climb out of. 

No matter what dark cloud you’re moving through right now, don’t forget that EVERYTHING is figureoutable. 

Everything. 

And even on the toughest, most overwhelming days, just remember there is nothing you’re going through right now that someone else hasn’t already gone through and made it out the other side.

And I promise, no matter how tough it feels right now - those people are often a better, happier person for it. 

💜

If we haven't met before, hi - my name's Amelia. I built a $4million revenue business off the back of my personal brand, now I post content about how you can do it, too.

I run a weekly live - The Branded Show - where we go through tools, tactics and strategies small businesses can use to stand out, get more leads and make more money. Save your spot here: https://lnkd.in/eRVP9dh3",https://www.linkedin.com/posts/ameliasordell_when-my-first-business-went-bust-i-remember-activity-7401885455933259776-OUuw?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADgA6IoBubXKeQaxxhn4zcuMchwDw25cPFE
Amelia Sordell 🔥,ameliasordell,2026-01-28T08:00:29.139Z,857,399,7,image,"Strangers on the internet will support you and your business more than your best friends ever will. 

If you've just started a business, I know you have best friends in your Instagram stories watching you promoting your business - and do nothing. 

And those same people will happily will like and comment on Kim Kardashians latest selfie. WTF's up with that?!

You’re pouring everything into building your business, your brand, your future - and somehow it’s the strangers on the internet who show up for you the most.

So let’s change that.

I have 250k followers. 
My data tells me 67%+ of them are women. 

Female founders of the internet - let’s actually support each other.
Here’s what to do:

1. Drop a comment below with your name, your story, and what your business does.

2. Don’t post and ghost - scroll the comments, find someone you can help, or someone who can help you, and follow them too.

3. Tag a friend who’s building their business, so they can join us.

Because your friends aren’t your audience - and that’s okay.
They love you, but they’re not the ones buying what you’re selling.

Other women might be.

💜

Hi, I’m Amelia - I built my business while raising two kids, and somehow made it work. I also found my customers, and 3 of my best friends (who are also building businesses!) on social media. If I can so can you x",https://www.linkedin.com/posts/ameliasordell_strangers-on-the-internet-will-support-you-activity-7422186793527304193-Vyl4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGQVMrQBWJC4u5MvFMxBtia-0kPXJGj40V0
Amelia Sordell 🔥,ameliasordell,2026-01-21T07:30:15.441Z,907,331,13,image,"My first proper 'job' was recruitment.

You got a phone.
A list.
And a target.

No training. No pep talk. No confidence.

Just: “Dial.”

I sat there making 100 calls a day.
Pitching people who didn’t want to hear from me.
Not warm leads. Not “people who’d shown interest.”
Strangers who were busy, annoyed, or in the middle of their day - and I was the inconvenience.

I got hung up on. 
Laughed at. 
Told to f*ck off. Regularly.

And then I had to call the next number like it didn’t rattle me.

That job didn’t just teach me how to sell.
It taught me how to handle selling.

Everything in life is sales. Not just business.

Going on a date? Sales.
Getting a client? Sales.
Negotiating with your toddler? Sales. 
Asking for a payrise? Sales.
Setting boundaries with friends/family? Sales.
Even confidence is sales - convincing yourself you can survive the outcome.

When I hear someone say “I’m not a sales person,” they usually mean:
“I’m scared of rejection and I’d rather be liked than get what I want.”

That's cool. 
But it’ll cost you.

Cost you whatever it is you actually want. 
Cutting my teeth in sales - in the most brutal of sales jobs - set me up for life. 

Rules I still live by:

1. Do the uncomfortable outreach before you “fix the website”
2. Say the price early so you stop entertaining time-wasters
3. Follow up twice more than feels polite
4. Aim for 10 rejections a week (no rejections = you’re not asking for enough)
5. Treat confidence like a skill, not a personality trait

Every founder should do a stint in sales. 
Because if you’ve never had to earn a ‘yes’ from a stranger, you’re not ready to start a business, yet.

💜",https://www.linkedin.com/posts/ameliasordell_my-first-proper-job-was-recruitment-you-activity-7419642471267119104-Umqa?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADtNJIwB7YeBWk5OSR57XvTciKjhzeBfg7M
Amelia Sordell 🔥,ameliasordell,2026-02-05T08:00:34.050Z,996,207,4,image,"My friends used to be embarrassed by the stuff I posted on LinkedIn.
They’d laugh at;

- My opinions.
- My videos.
- My advice in posts they didn’t think I had any business in posting.

It would have been really easy for me to stop building my brand on LinkedIn - heck, I’ve been sent screenshots of conversations in WhatsApp chats where people I thought were my friends are ripping my content - and me to shreds...

But I didn’t.

Because I’m not embarrassed by my content. 
I’m not embarrassed by anything I’ve done. 
And I’m certainly not embarrassed by the;

- The $4 million + in revenue generated.
- The 100s + clients I’ve won.
- The amazing brands I've worked with. 
- The most incredible life and the business I’ve built as a result of, guess what? Posting content OTHER people found embarrassing.

You’ve had someone in your ear telling you what you’re about to do is a bad idea - now or perhaps some time ago. 

And they have a right to give you that opinion - everyone has a right to an opinion of YOU.

But don’t let the opinions of other people activate insecurities you have about yourself, and stop you from reaching your goals.

In fact, LET people be embarrassed of you.

Because usually, when people say “you shouldn't” they normally mean “I couldn't”.

💜

If we haven't met before, hi - my name's Amelia. I built a $4million revenue business off the back of my personal brand, now I post content about how you can do it, too.

I run a weekly show for founders, freelancers + burned out 9-5ers. We talk what is working, what is not - and how to build a founder + company brand that scales. Join us, it's free: ameliasordell.com/live/",https://www.linkedin.com/posts/ameliasordell_my-friends-used-to-be-embarrassed-by-the-activity-7425085917050118144-trhE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEnh7kgBX6y8lDl0AcaiaTteqLLpzAu255g
