rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
1,Codie A. Sanchez,2.8,4749,391,5287,Teacher,Leadership,Direct Advice,Hook -> Punch Line,"I have no energy for hate. Love you, wish you well, or hope you heal. That's it.","I have no energy for hate. Love you, wish you well, or hope you heal. That's it.","I have no energy for hate. Love you, wish you well, or hope you heal. That's it.",https://www.linkedin.com/posts/codiesanchez_i-have-no-energy-for-hate-love-you-wish-activity-7431004502284984320-gufV?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABZ7-HEBruCM6sZQ3V5BFFp4L-sCzx01HEI
2,Codie A. Sanchez,2.6,4387,424,4930,Teacher,Motherhood / Family,Thought Leadership,Hook -> Numbered List -> CTA,The best advice that no one follows:,"The best advice that no one follows:  - Wake up at 5:45am. - Marriage done well is a huge superpower. - Trust God. - Be careful what you read, it beco","The best advice that no one follows:

- Wake up at 5:45am.
- Marriage done well is a huge superpower.
- Trust God.
- Be careful what you read, it becomes the way you think.
- No going out on a school night.
- If you have to drink to hang out with someone, you probably shouldn't be buds.

Feel free to share if you agree ♻️",https://www.linkedin.com/posts/codiesanchez_the-best-advice-that-no-one-follows-wake-activity-7430608608171671552-wePY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABZ7-HEBruCM6sZQ3V5BFFp4L-sCzx01HEI
3,Codie A. Sanchez,2.5,4092,530,4802,Teacher,Personal Development,Direct Advice,Hook -> Punch Line,Underrated superpower:,"Underrated superpower:  Just dumb enough to believe in yourself, just smart enough to execute.  You don’t have anxiety because you think you CAN’T do ","Underrated superpower:

Just dumb enough to believe in yourself, just smart enough to execute.

You don’t have anxiety because you think you CAN’T do it.

You have anxiety because deep down you know you CAN be doing bigger things.

People overestimate business plans and “genius.” They underestimate irrational inability to quit.

Dumber people than you have done it.

Let's get after it 💥

Follow for more & repost if you need this to be your new mantra.",https://www.linkedin.com/posts/codiesanchez_underrated-superpower-just-dumb-enough-activity-7427006472502296577-h10p?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFhLF2wBwkJ_DbB-aWKA77KfD4J0nhoY02c
4,Codie A. Sanchez,2.3,3958,300,4416,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,I wish this for you…,I wish this for you…,I wish this for you…,https://www.linkedin.com/posts/codiesanchez_i-wish-this-for-you-activity-7415759579210362880-25lU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0xL_oByCbKvMWnw2gqp5d9JJD_HZczzDg
5,Codie A. Sanchez,2.2,3654,281,4125,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Keep going.,Keep going.,Keep going.,https://www.linkedin.com/posts/codiesanchez_keep-going-activity-7403070724644802560-B5kL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
6,Codie A. Sanchez,2.0,3108,501,3735,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> List -> Insight,3 harsh truths I've been thinking about a lot lately...,"3 harsh truths I've been thinking about a lot lately...  1. Most successful people I've met aren't that smart. They move fast, they take risk, they wo","3 harsh truths I've been thinking about a lot lately...

1. Most successful people I've met aren't that smart. They move fast, they take risk, they work a lot. That's it.

2. The world is run by C students & failed employees. You can't underestimate yourself.

3. Managing what you choose to sell, do and focus on is more important than how hard you work or how smart you are.

Example:

You can, for the next 40 years:

- Climb up the corporate ladder
- Grind for a mission you don't believe in
- Spend 50hrs/wk+ away from your family

All for a 401k and a white picket fence at the end to show for it.

OR

You can learn how to buy a business and:

- Own a cashflowing biz in your community
- Touch your work with your own two hands
- Disconnect your money from your time
- Spend more time on the things that matter
- Become one of the few... an Owner.

Ownership is not for everyone.

But it could be for you.

I don’t blame you if you're nervous to take the first step on your own.

If that’s you, I’m hosting an event that's just what you need to start acting on business-buying…

Get details & sign-up here → https://lnkd.in/g3V6NrTZ",https://www.linkedin.com/posts/codiesanchez_3-harsh-truths-ive-been-thinking-about-a-activity-7417928661431152640-gepD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0xL_oByCbKvMWnw2gqp5d9JJD_HZczzDg
7,Codie A. Sanchez,1.9,3019,485,3680,Magician,Motherhood / Family,Data-Driven Revelation,Hook -> List -> Insight,13 other unreasonably simple habits to change your life:,13 other unreasonably simple habits to change your life:  1. Waking up at 5:45am solves 99.9% of daily issues.  2. Grab your to-do list. Do the thing ,"13 other unreasonably simple habits to change your life:

1. Waking up at 5:45am solves 99.9% of daily issues.

2. Grab your to-do list. Do the thing you want to do least, first.

3. Stop all 60 min meetings, make them 45 minutes. Tighter meetings, more time.

4. No social media, email, or text when you wake up. Write something, read something, or create something before you get sucked in.

5. Do the $1,000/hr Test. Group work in 3 buckets based on return: $10, $100, $1,000. Offload one low ROI task per day.

6. Change one meeting a week to a walking call. Watch how excited the other meeting member becomes.

7. Add a How vs Won't check-in. When you say, ""that WON'T work."" Instead ask, ""How could that work?""

8. Be the dumbest one in your friend group, then move on when you’re not. As they say, if you’re the smartest person in the room, you’re in the wrong room.

9. Take a picture of your net worth. What gets measured gets managed. Check finances daily.

10. Always the stairs, never the elevator. Pick the hard option. See how much stronger you are than you think.

11. Never write to-dos in stone. You're 10x more productive if you reprioritize daily.

12. Meditate. 10 minutes a day. For a twofer - do it in the sauna. Sometimes hacking culture gets it right.

13. Get intimidated. Everything you want is on the other side of fear. Do something every day that scares you a little bit.

Life is the small things repeated daily.

Change one daily habit, and beautiful things start to happen...

So pick one.

↓↓↓

Also...build the habit of getting ownership, not income. 

Come to MSM Live to learn how: https://lnkd.in/gf6hPHdF",https://www.linkedin.com/posts/codiesanchez_13-other-unreasonably-simple-habits-to-change-activity-7427350792350883842-Bf1x?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFhLF2wBwkJ_DbB-aWKA77KfD4J0nhoY02c
8,Codie A. Sanchez,1.9,3227,252,3585,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Saturday mood.,Saturday mood.,Saturday mood.,https://www.linkedin.com/posts/codiesanchez_saturday-mood-activity-7397997315388624896-LfPk?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0B4ksBsfe1athTetp5PvIHfXIajcjPH_c
9,Codie A. Sanchez,1.9,3041,284,3522,Teacher,Personal Development,Direct Advice,Hook -> List -> Insight,You don’t get lucky.,"You don’t get lucky.  You make your luck.  There are 3 ways to increase your odds of luck:  1. Do, repeatedly. Try, then iterate. 2. Be consistent. Re","You don’t get lucky.

You make your luck.

There are 3 ways to increase your odds of luck:

1. Do, repeatedly. Try, then iterate.
2. Be consistent. Resist the urge to give up.
3. Gain knowledge. Invest in yourself.

Knowledge without action is worthless. So is acting without knowing what you’re doing.

Say you want to buy a business.

You could get the best advice in the world from the smartest people in acquisitions… But if you don’t act, you’ll never buy one.

OR

Your could have all the drive in the world, the right mindset… But ruin yourself financially because you didn’t learn the right tactics.",https://www.linkedin.com/posts/codiesanchez_you-dont-get-lucky-you-make-your-luck-activity-7428463322536136706-L1RB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFhLF2wBwkJ_DbB-aWKA77KfD4J0nhoY02c
10,Codie A. Sanchez,1.8,2854,497,3461,Teacher,Motherhood / Family,Direct Advice,Hook -> List -> Insight,3 more harsh truths about success:,3 more harsh truths about success:  - You only have to be right ONCE. One big right move can erase a lifetime of wrong ones. - You can't be upset at t,"3 more harsh truths about success:

- You only have to be right ONCE. One big right move can erase a lifetime of wrong ones.
- You can't be upset at the results you’re not getting from the actions you’re not taking.
- The successful don't wait for someone to come save them. You want a better life, go build it.

If you needed to hear this today, feel free to share for next person who needs it ♻️",https://www.linkedin.com/posts/codiesanchez_3-more-harsh-truths-about-success-you-activity-7400171616980127744-x8Gq?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0B4ksBsfe1athTetp5PvIHfXIajcjPH_c
