rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
1,Fidji Simo,7.9,8209,362,8684,Fortune Teller,Entrepreneurship,Milestone Announcement,Hook -> Insight -> Close,"So excited to be taking Instacart public today! The last two years have been a wild ride, but I’m really proud of the business this team has built, turning us into an enduring and profitable company that delivers a critical service to millions of people.","So excited to be taking Instacart public today! The last two years have been a wild ride, but I’m really proud of the business this team has built, tu","So excited to be taking Instacart public today! The last two years have been a wild ride, but I’m really proud of the business this team has built, turning us into an enduring and profitable company that delivers a critical service to millions of people. 

None of this would have been possible without the early days determination and grit of our founders - Apoorva Mehta, Max Mullen and Brandon Leonardo. Thank you for the creative spark that founded Instacart and for entrusting me to lead the company’s next chapter.

One of the company values that I’m most proud of is “Grow the Pie” — we are in the business of growing our partners' businesses and when they win, we win. It makes today’s milestone even more sweet as it's a win not just for us but for our retail partners, brand partners, customers, and shoppers. 

Yet, at the same time, it’s just the beginning. My eyes are firmly set on the next 10 years of building technologies to transform the largest retail category in the world. So, while we savor today’s milestone, we’re going to stay hungry and work to create value in the public markets the same way we always have — by lifting others up and growing the pie for everyone.

Asha Sharma Nick Giovanni Dani Dudeck Laura Jones Varouj Chitilian Daniel Danker JJ Zhuang Christina Hall (she/her) Morgan Fong Chris Rogers Max Mullen Apoorva Mehta Brandon Leonardo",https://www.linkedin.com/posts/fidjisimo_so-excited-to-be-taking-instacart-public-activity-7109950930619416576-MXli?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
2,Fidji Simo,7.4,7431,690,8191,Fortune Teller,AI / Tech,Milestone Announcement,Hook -> Story -> Lesson,"Big news today. Below is what I sent to my Instacart team just now, and the link points to Sam’s statement.","Big news today. Below is what I sent to my Instacart team just now, and the link points to Sam’s statement.   Hi team - I want to share an important u","Big news today. Below is what I sent to my Instacart team just now, and the link points to Sam’s statement. 

Hi team - I want to share an important update with you that I will be leaving Instacart in the coming months to take on a new role as CEO of OpenAI Applications, leading the product, business, and other company functions. 

Let me start by saying this was an incredibly hard decision because I love this company. We are operating incredibly well as our last earnings results have shown. Our strategy is working and this team is top notch, which makes it very hard to leave. 

At the same time, you all know my passion for AI generally and in particular for the potential it has to cure diseases — the ability to lead such an important part of our collective future was a hard opportunity to pass up. I only feel comfortable doing this because Instacart is on an excellent track and in great hands with a stellar management team. 

I want to be clear that this change is not immediate. I’m not going anywhere for a couple of months. Our board regularly conducts succession planning exercises, and we expect the new CEO will be announced soon and will be an existing member of our management team. I’ll remain CEO and work closely with my successor and our leadership team to ensure a smooth handoff. I’ll also stay on as Chair of the Board to support our next CEO. 

I also want to apologize for how unexpected this may feel. This is not how I planned for you all to hear this news, but a media leak unfortunately expedited the timeline by several weeks.

Leading Instacart and being on this journey with you has been an honor. From resetting growth in the post-pandemic years and proving to the world that we could be profitable, to successfully taking this company public and hitting $1B in an annual advertising & other revenue run rate, to expanding to restaurants and transforming the in-store experience with Caper Carts, and even just this week launching a completely new app, Fizz, in record time  — we have proven that we can take any challenges and turn them into massive opportunities. I’m deeply proud of the work we’ve done together and even more excited about the road ahead. 

Fidji.

https://lnkd.in/eBJuDaW6",https://www.linkedin.com/posts/fidjisimo_big-news-today-below-is-what-i-sent-to-my-activity-7326118061625806849-myUt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADEuMPsBItO1Ss0Do7bk9itVdUQhkJsHebI
3,Fidji Simo,6.7,6829,483,7419,Teacher,AI / Tech,Thought Leadership,Hook -> List -> Insight,I will officially start at OpenAI as CEO of Applications on August 18. I am sharing this essay on why I believe AI can be the greatest source of empowerment for all. https://lnkd.in/gfrq627N,I will officially start at OpenAI as CEO of Applications on August 18. I am sharing this essay on why I believe AI can be the greatest source of empow,"I will officially start at OpenAI as CEO of Applications on August 18. I am sharing this essay on why I believe AI can be the greatest source of empowerment for all. https://lnkd.in/gfrq627N 

I’ve always considered myself a pragmatic technologist — someone who loves technology not for its own sake, but for the direct impact it can have on people’s lives. That’s what makes this job so exciting, since I believe AI will unlock more opportunities for more people than any other technology in history. If we get this right, AI can give everyone more power than ever.

But I also realize those opportunities won’t magically appear on their own.

Every major technology shift can expand access to power – the power to make better decisions, shape the world around us, and control our own destiny in new ways. But it can also further concentrate wealth and power in the hands of a few — usually people who already have money, credentials, and connections.

That’s why we have to be intentional about how we build and share these technologies so they lead to greater opportunity and prosperity for more people. The choices we make today will shape whether the coming transformation leads to greater empowerment for all, or greater concentration of wealth and power for the few.

We can start by making sure the keys to empowerment and opportunity — knowledge, health, creative expression, economic freedom, time, and support — are widely available. You can read more in the link I shared about the potential AI has to transform each of these aspects of people’s lives.

If we can make intelligence accessible everywhere, affordable to everyone, and easy to understand, we can drive the biggest opportunity engine the world has ever seen and help more people live better lives. I’m looking forward to building this future alongside my brilliant new colleagues at OpenAI, and I’ll have a lot more to share soon.",https://www.linkedin.com/posts/fidjisimo_openai-activity-7353110769959358464-9s8z?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
4,Fidji Simo,5.6,5923,226,6170,Teacher,Leadership,Thought Leadership,Hook -> Insight -> Close,"Last day today! Being CEO of Instacart has been one of the greatest honors of my life, and I can’t believe it’s time to say goodbye. This job inspired and challenged me in all the best ways. Most of all, it connected me with an incredible group of people who poured their hearts into the work because helping people put food on the table is one of the most noble things you can do.","Last day today! Being CEO of Instacart has been one of the greatest honors of my life, and I can’t believe it’s time to say goodbye. This job inspired","Last day today! Being CEO of Instacart has been one of the greatest honors of my life, and I can’t believe it’s time to say goodbye. This job inspired and challenged me in all the best ways. Most of all, it connected me with an incredible group of people who poured their hearts into the work because helping people put food on the table is one of the most noble things you can do. 
I'm so proud of what we built together over the last 4 years, and I leave knowing that the company couldn't be in better hands than with Chris Rogers who has the vision and drive to accelerate us into the next chapter. Thank you to the entire team - my heart and my fridge will always be full thanks to my time at Instacart. 🥕💚",https://www.linkedin.com/posts/fidjisimo_last-day-today-being-ceo-of-instacart-has-activity-7362175514767224834-_SJ7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
5,Fidji Simo,4.7,4714,218,5147,Teacher,AI / Tech,Direct Advice,Hook -> Punch Line,"ChatGPT Atlas is here! Our new browser has ChatGPT built in so it can help you across the web and, if you want, remember what you’ve done online and use that context for future requests. More of my thoughts on why we built this here: https://lnkd.in/e-4quua7","ChatGPT Atlas is here! Our new browser has ChatGPT built in so it can help you across the web and, if you want, remember what you’ve done online and u","ChatGPT Atlas is here! Our new browser has ChatGPT built in so it can help you across the web and, if you want, remember what you’ve done online and use that context for future requests. More of my thoughts on why we built this here: https://lnkd.in/e-4quua7",https://www.linkedin.com/posts/fidjisimo_chatgpt-atlas-is-here-our-new-browser-has-activity-7386455612932644864-xTfF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
6,Fidji Simo,4.6,4621,260,5072,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,"One of the things I’m most excited about with ChatGPT is how it’s revolutionizing healthcare. GPT-5 is our best model yet for answering health questions. It scores significantly higher than any previous model on HealthBench, an evaluation OpenAI published earlier this year based on realistic scenarios in partnership with over 250 physicians.",One of the things I’m most excited about with ChatGPT is how it’s revolutionizing healthcare. GPT-5 is our best model yet for answering health questio,"One of the things I’m most excited about with ChatGPT is how it’s revolutionizing healthcare. GPT-5 is our best model yet for answering health questions. It scores significantly higher than any previous model on HealthBench, an evaluation OpenAI published earlier this year based on realistic scenarios in partnership with over 250 physicians. 
Felipe, a member of our OpenAI team, and his wife Carolina shared their story on today’s livestream, and it really moved me. Last October, Carolina was hit with three cancer diagnoses in one week. Like many, her biopsy results felt overwhelming and confusing. On a whim, she took a screenshot of the biopsy report and put it into ChatGPT. Within seconds, it translated the medical jargon into plain language, helping her feel more in control and more prepared to talk to her doctor about next steps. She’s kept using ChatGPT throughout her cancer journey, even to help make a tough choice about radiation when doctors gave conflicting advice. It’s incredible to hear how ChatGPT restored her sense of agency during these critical decisions. You can watch the full livestream and their story here:",https://www.linkedin.com/posts/fidjisimo_introducing-gpt-5-activity-7359285062124662784-Xmw4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
7,Fidji Simo,3.2,3079,257,3512,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,"Whenever I talk with people about AI, one of the first questions I get is almost always: what will this mean for my job? I believe AI will open up more opportunities than any technology in history – but it will also change how work gets done. Today we’re announcing OpenAI-Certified and the OpenAI Jobs Platform – two new initiatives that are about helping people become fluent in AI and connecting them with employers who need their skills. We can’t eliminate the disruption AI will bring, but we can make sure the benefits are shared broadly, not just by a fortunate few. This is one big step in the right direction.","Whenever I talk with people about AI, one of the first questions I get is almost always: what will this mean for my job? I believe AI will open up mor","Whenever I talk with people about AI, one of the first questions I get is almost always: what will this mean for my job? I believe AI will open up more opportunities than any technology in history – but it will also change how work gets done. Today we’re announcing OpenAI-Certified and the OpenAI Jobs Platform – two new initiatives that are about helping people become fluent in AI and connecting them with employers who need their skills. We can’t eliminate the disruption AI will bring, but we can make sure the benefits are shared broadly, not just by a fortunate few. This is one big step in the right direction.",https://www.linkedin.com/posts/fidjisimo_expanding-economic-opportunity-with-ai-activity-7369436598834225152-JczT?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
8,Fidji Simo,3.2,3327,121,3509,Fortune Teller,AI / Tech,Future Prediction,Hook -> Punch Line,"Today we’re beginning to roll out parental controls in ChatGPT, including the first-of-its-kind safety notification system to alert parents if their teen may be at risk of self-harm. Read more here: https://lnkd.in/g9e5sAug","Today we’re beginning to roll out parental controls in ChatGPT, including the first-of-its-kind safety notification system to alert parents if their t","Today we’re beginning to roll out parental controls in ChatGPT, including the first-of-its-kind safety notification system to alert parents if their teen may be at risk of self-harm. Read more here: https://lnkd.in/g9e5sAug",https://www.linkedin.com/posts/fidjisimo_today-were-beginning-to-roll-out-parental-activity-7378367942981451776-h-vN?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
9,Fidji Simo,2.5,2618,117,2746,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"What a dream come true. Growing up in France and now living my American dream, it was such an honor to be invited to the state dinner hosted by President Macron honoring President Biden at the Élysée Palace. Such a special evening to celebrate the partnership of these two countries that mean so much to me. Merci Monsieur le Président and Madame Macron for the most memorable night!","What a dream come true. Growing up in France and now living my American dream, it was such an honor to be invited to the state dinner hosted by Presid","What a dream come true. Growing up in France and now living my American dream, it was such an honor to be invited to the state dinner hosted by President Macron honoring President Biden at the Élysée Palace. Such a special evening to celebrate the partnership of these two countries that mean so much to me. Merci Monsieur le Président and Madame Macron for the most memorable night!",https://www.linkedin.com/posts/fidjisimo_what-a-dream-come-true-growing-up-in-france-activity-7205335679566848000-E0yx?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
10,Fidji Simo,2.3,2255,150,2489,Teacher,AI / Tech,Direct Advice,Hook -> Punch Line,"Big change to our product today: instead of waiting for you to ask questions, ChatGPT anticipates your needs and starts working work on your behalf. Read more here:","Big change to our product today: instead of waiting for you to ask questions, ChatGPT anticipates your needs and starts working work on your behalf. R","Big change to our product today: instead of waiting for you to ask questions, ChatGPT anticipates your needs and starts working work on your behalf. Read more here:",https://www.linkedin.com/posts/fidjisimo_a-new-paradigm-of-proactive-steerable-ai-activity-7377060206490419200-FmoI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
