authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Gina Mastantuono,gina-mastantuono,2025-03-24T15:05:01.117Z,3182,78,268,image,"I’m proud and excited to say that ServiceNow is included in the S&P 100—it’s a recognition of the impact we’re making in the industry. 

This achievement is a testament to the hard work and innovation of our amazing ServiceNow employees around the world. Every day, they push boundaries, deliver exceptional results, and bring our purpose to life—making the world work better for everyone.

While this is an exciting moment—we’re just getting started. The best part? We’re doing it together.

Thank you to our employees, customers, and partners for being part of this journey. Let’s keep building the future!

#ServiceNow #PutAItoWork",https://www.linkedin.com/posts/gina-mastantuono_servicenow-putaitowork-activity-7309953392410337281-ZB52?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACtA4KcBx5CyrQmZwEMZrXpKpd7UGv8ZKBU
Gina Mastantuono,gina-mastantuono,2025-03-10T13:30:50.589Z,2705,55,158,image,"Today, ServiceNow announced a definitive agreement to acquire Moveworks, a powerful front-end AI assistant and world-class enterprise search technology that accelerates employee productivity. 

This acquisition will mark a key milestone in our company history and M&A strategy. Combining Moveworks’ elegant front-end employee requestor experience and enterprise search with ServiceNow’s powerful fulfiller side that actions automated workflows will deliver a new way to get work done by giving employees a single starting point to find fast answers, automate everyday tasks, and increase productivity. The time is now!  

When it comes to our investment strategy, we’re always thinking about capital allocation and capital return, looking for opportunities to grow and evolve in service to our customers, shareholders, and our employees. We have high hurdle rates for a reason.  

Together with Moveworks, we’ll extend our leading agentic AI capabilities that will drive unprecedented AI-powered business transformation, positioning us to capitalize on the massive market opportunity ahead. We remain committed to driving customer and shareholder value.  

The best is yet to come as we redefine the value of AI at work and set a new standard for the future of employee engagement. I’m so proud of this incredible team!  

Learn more: https://lnkd.in/gXTWzunW 

Key info: https://lnkd.in/gdTmyhhd 
 
#AgenticAI #BusinessTransformation #PutAIToWorkForPeople 
 
Bill McDermott Amit Zavery Paul Smith Bhavin Shah Varun Singh",https://www.linkedin.com/posts/gina-mastantuono_agenticai-businesstransformation-putaitoworkforpeople-activity-7304856262259683329-idYD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACtA4KcBx5CyrQmZwEMZrXpKpd7UGv8ZKBU
Gina Mastantuono,gina-mastantuono,2025-12-04T15:29:11.082Z,2228,114,10,image,"Years ago, I was a new mom and a new VP when I passed out from exhaustion. It was the wake-up call I needed: ignoring my health wasn’t an option. It forced me to learn that high performance starts with protecting your own capacity.

As the President and CFO of a Fortune 500 company—as well as a wife, mom, and board member on two boards—underperforming isn’t an option. This means that fitness is non-negotiable, even when it’s challenging to make it happen.

I recently shared more about this in an article for Entrepreneur Media (linked below), but here are a few of the biggest ways fitness has shaped my leadership:

🏃‍♀️  Greater stamina, lower stress

Between constant travel and long days, stamina is everything. When I’m consistent with exercise, I stay sharper through 12–14 hour days and fall asleep more easily at night. 

💪  A stronger body builds a stronger presence

Confidence matters. Strength training has helped me take up both physical and professional space. The discipline I build in the gym shows up in the boardroom and on the stage.

👥  Your habits shape the culture

When employees see leaders prioritizing their health and wellness, it gives them permission to do the same. That’s something we’re very intentional about at ServiceNow.

One example is our annual WellFest: a full week dedicated to movement, recovery, and holistic wellbeing for all 28,000+ of our employees. It’s a reminder that high performance isn’t just about output—it’s about taking care of the people who make the work possible.

For leaders, the real edge isn’t stamina for one quarter. It’s the capacity to sustain high performance year after year.

What’s one habit that helps you perform at your best, personally or professionally?

Full article: https://bit.ly/4pEqer8",https://www.linkedin.com/posts/gina-mastantuono_years-ago-i-was-a-new-mom-and-a-new-vp-when-activity-7402368379732566018-nTng?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEL3bxwBwKYzZjrt26wx6rOJd1c-I03NZVc
Gina Mastantuono,gina-mastantuono,2025-04-23T22:28:25.808Z,2225,68,198,linkedinVideo,"ServiceNow announced another strong quarter that demonstrates the strength of our AI platform for business transformation and the value we continue to drive for customers! These results prove that we’re not just part of the enterprise software transformation–we’re leading it.  
 
Highlights from Q1:  
 
✅ 22%* constant currency cRPO growth which significantly beat our guidance by 150 bps. Incredible!  
✅ 72 deals greater than $1M in net new ACV closed. Nine of these deals exceeded $5M, with 19 of our top 20 deals including five or more products.  
✅ 500+ customers over $5M in ACV. Plus, the number of customers contributing $20M+ in ACV increased by nearly 40% Y/Y.  
 
Bottom line: We’re focused on balancing growth with profitability. And we’re doing it while delivering meaningful innovation that drives value for our customers. This success is a testament to our 26.5K+ employees who demonstrate an unstoppable drive to redefine what’s possible. Massive congratulations to this amazing team!  
 
Check out our results: https://lnkd.in/gtXciTBJ 
 
*Calculated on a non-GAAP basis. For a description of the GAAP to non-GAAP reconciliation, please refer to our earnings release issued on April 23, 2025 available at investors.servicenow.com. 
 
Bill McDermott Amit Zavery Paul Smith Jacqui Canney Chris Bedi Russ Elmer Nick Tzitzon Darren Y. Paige Young Johnna Hoff   
 
#ServiceNow #Earnings #PutAIToWorkForPeople",https://www.linkedin.com/posts/gina-mastantuono_servicenow-earnings-putaitoworkforpeople-activity-7320936616540221440-_j7S?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACtA4KcBx5CyrQmZwEMZrXpKpd7UGv8ZKBU
Gina Mastantuono,gina-mastantuono,2025-05-07T18:30:01.528Z,2162,111,123,image,"More great news from Knowledge! I’m delighted to share that ServiceNow has signed a definitive agreement to acquire data.world, a leader in enterprise data cataloging and governance.

Enterprises are still facing the critical challenge of data being siloed and inaccessible, limiting the effectiveness of AI and workflows.

ServiceNow is committed to changing that.

data.world’s innovative data catalog and data governance platform will be seamlessly integrated into ServiceNow’s Workflow Data Fabric. Together, ServiceNow and data.world will supercharge Workflow Data Fabric, our unified data integration and semantic layer, to give every AI Agent and workflow the context it needs to drive smarter, faster outcomes in every corner of the enterprise.

What’s possible with AI keeps expanding, and we are at the forefront. ServiceNow will continue to push the boundaries of what can be built, scaled, and more efficiently executed to find and drive value for our customers in this era of Agentic AI. ServiceNow is what’s next!

Learn more at https://lnkd.in/gnMhWT2F

#AgenticAI #BusinessTransformation #PutAIToWorkForPeople
Bill McDermott Amit Zavery Paul Fipps Gaurav Rewari Brett A. Hurt Matt Laessig Bryon Jacob Jon Loyens",https://www.linkedin.com/posts/gina-mastantuono_agenticai-businesstransformation-putaitoworkforpeople-activity-7325950050159726592-VN1S?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_zUH4BqBNtDG2Tido_zWQLNa9WQ1N85kU
Gina Mastantuono,gina-mastantuono,2025-12-15T21:36:28.560Z,2184,33,140,image,"Today, we’ve officially completed the acquisition of Moveworks. 👏 

Together, ServiceNow and Moveworks are combining the best of both worlds—our trusted agentic AI and intelligent workflows with Moveworks’ intuitive, employee-first assistant, enterprise search, and agentic Reasoning Engine.

This means making work frictionless. It means putting AI to work to help employees find answers and take action faster. It means delivering AI experiences people LOVE to use.

As I look at the trajectory of ServiceNow’s growth, and how far we’ve come, this is both a natural and truly exciting next step. We have always been grounded in simply making it easier to get work done. This is a great example of how we’ll continue to do this in the AI era.

Thank you to our teams for all your hard work on this, and a big welcome to the incredible team at Moveworks!

Learn more: https://lnkd.in/g_c7NJcD",https://www.linkedin.com/posts/gina-mastantuono_today-weve-officially-completed-the-acquisition-activity-7406447078136221697-eTZf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAf0-7wBqkHCf8culHraVtb5CKkyrPhCgfs
Gina Mastantuono,gina-mastantuono,2025-03-31T19:17:18.531Z,2113,82,10,image,"If you asked me 20 years ago what success looked like, I probably would have given you a very different answer than I would today. Back then, success felt like more—more responsibility, more career growth, more time at work. Today, as a leader, a wife, and a mom to two incredible boys, I’ve realized success isn’t about doing more—it’s about doing what matters most.

Balancing a high-intensity career with family life isn’t always graceful (any working parent knows that!), but I’ve learned that real success isn’t just about professional milestones—it’s about being present. It’s about making time for the people who matter, prioritizing my own well-being so I can show up as my best self, and recognizing that leadership—whether at home or in the workplace—is about leading with intention.

This means setting boundaries, giving myself permission to pause, and embracing the reality that work-life balance isn’t a perfect equation—it’s an ongoing recalibration. Some days, my role as a leader takes center stage. Other days, it’s being fully there for my family. Both matter. Both are success.

To all the working parents out there navigating this journey, I see you. Let’s redefine success—not as a never-ending race, but as a life filled with purpose, connection, and impact.

How do you define success in this chapter of your life? 

#WorkLifeBalance #Parenting #Success",https://www.linkedin.com/posts/gina-mastantuono_worklifebalance-parenting-success-activity-7312553598385590272-YmOj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACtA4KcBx5CyrQmZwEMZrXpKpd7UGv8ZKBU
Gina Mastantuono,gina-mastantuono,2026-01-28T23:26:33.735Z,1853,70,68,linkedinVideo,"Results like ours come from a powerful combination: relentless innovation and disciplined execution. ServiceNow closed out 2025 proving that when innovation, focus, and scale come together—we win.

Q4 capped a year in which it became less about AI promise and all about AI performance. Customers are no longer just testing. They're scaling AI with ServiceNow. Our largest customers continue to deepen their commitments—a clear signal that we’re building the AI control tower companies rely on to drive true business reinvention.

Results from Q4:
✅ 21%* year-over-year constant currency cRPO growth, beating guidance by 200 bps. 👏
✅ 19.5%* year-over-year constant currency subscription revenues growth, beating the high end of our guidance by 150 bps.
✅ 244 deals over $1 million in net new ACV, representing nearly 40% year-over-year growth.
✅ Now Assist crossed $600 million in ACV this year. Deals over $1 million nearly tripled this quarter, and Now Assist customers spending over $1 million grew more than 40% quarter-over-quarter—tracking well to our $1+ billion target in 2026.

This performance gives us confidence in the path ahead. We’re building a platform that delivers real outcomes at scale, guided by a clear strategy and the strength of our people.

To our 29K+ employees: thank you for all the commitment and drive you brought in 2025. You didn’t just deliver results. You set the standard for what’s next.

Check out our results: https://lnkd.in/gHHa8x_A

*Calculated on a non-GAAP basis including guidance shared in this video. For a description of the GAAP to non-GAAP reconciliation, please refer to our earnings release issued on January 28, 2026, at investors.servicenow.com.

Bill McDermott, Amit Zavery, Paul Fipps, Jacqui Canney, Chris Bedi, Russ Elmer, Hossein Nowbar, Colin Fleming, Nick Tzitzon, Darren Y., Heather Graubard, Elissa Houchin Seweryniak, Johnna Hoff",https://www.linkedin.com/posts/gina-mastantuono_results-like-ours-come-from-a-powerful-combination-activity-7422419848334577664-FeLY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC-QBDUB6YMSYpP1cAeIUEedbDaoGqOYyWg
Gina Mastantuono,gina-mastantuono,2024-10-23T22:14:44.717Z,1830,29,119,linkedinVideo,"ServiceNow announced another stellar quarter, outperforming across all our growth and profitability metrics! These results continue to demonstrate the strong demand for THE AI platform for business transformation, the value we’re driving for customers, and our team’s elite-level execution.  

Here are some highlights from Q3 showcasing how our customers are deepening their commitment to ServiceNow: 

✅ RPO ended the quarter at approximately $19.5 billion, representing 36% Y/Y growth. Remarkable!!  
✅ 18 of our top 20 deals included 7 or more of our products. 
✅ The number of customers paying us $20 million or more grew 40% Y/Y. 

Given our Q3 outperformance, we are raising our full year subscription revenue guidance by approximately $78 million, representing 23% Y/Y growth. This growth is a testament to what our 25K+ employees deliver to our customers every day. Massive congratulations to this incredible team!  

Check out our results: https://lnkd.in/gtiPY48N  

Bill McDermott Paul Smith Jacqui Canney Chris Bedi Russ Elmer Nick Tzitzon Darren Y. Paige Young Johnna Hoff 
  
#ServiceNow #earnings #PutAItoWorkforPeople",https://www.linkedin.com/posts/gina-mastantuono_servicenow-earnings-putaitoworkforpeople-activity-7254978581095698432-2Y4k?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFwt2UoBTwVKYVSEYFHggZByc_n9_OMGpBE
Gina Mastantuono,gina-mastantuono,2025-07-23T22:09:30.263Z,1791,33,251,linkedinVideo,"ServiceNow just delivered another powerhouse quarter! Our AI-powered platform is helping customers move faster, work smarter, and turn bold ideas into real business breakthroughs. This is the future of enterprise software—and we’re out front leading the way.

Highlights from Q2:

✅ 21.5%* year-over-year constant currency cRPO growth, which beat our guidance by 200 bps. 👏
✅ 528 customers with over $5 million in ACV, and more than a 30% YoY increase in the number of customers over $20 million in ACV. 
✅ Now Assist, our AI product suite, saw our largest deal to date close at over $20 million. 

This is what’s possible when elite execution meets AI innovation at scale. We’re driving durable growth, operating with discipline, and addressing the real needs of our customers.

Congratulations to our unstoppable team of 27K+ whose grit, ambition, and determination continues to raise the bar. We’re full speed ahead!

Check out our results: https://lnkd.in/g6ajmAem
 
*Calculated on a non-GAAP basis. For a description of the GAAP to non-GAAP reconciliation, please refer to our earnings release issued on July 23, 2025 at investors.servicenow.com.

Bill McDermott Amit Zavery Paul Fipps Jacqui Canney Chris Bedi Russ Elmer Nick Tzitzon Darren Y. Elissa Houchin Seweryniak Johnna Hoff",https://www.linkedin.com/posts/gina-mastantuono_servicenow-just-delivered-another-powerhouse-activity-7353909149488877568-gho4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEHNb4kB-bdHOp7jSX_I2sgrv0KNd7M3uw4
Gina Mastantuono,gina-mastantuono,2026-01-13T17:52:25.025Z,1554,40,1,image,"It's not every day you get to spend date night... at the Golden Globes! 🏆 

I was truly honored to attend the Golden Globes this weekend with my husband, Luke. The fashion, the energy, the iconic talent in the room—every moment was pure inspiration.

Thank you to KPMG for the invitation and to Tim Walsh and Atif Zaim for being such generous table hosts! I’m grateful for the conversation, the company, and the opportunity to be part of such a special night.",https://www.linkedin.com/posts/gina-mastantuono_its-not-every-day-you-get-to-spend-date-activity-7416899939965902848-GpOR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAf0-7wBqkHCf8culHraVtb5CKkyrPhCgfs
