rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
1,Jackie Hermes,5.3,391,135,526,Teacher,Personal Development,Thought Leadership,Hook -> List -> Insight,Today is my 40th birthday and this is going to be the best decade of my life. 🤗,"Today is my 40th birthday and this is going to be the best decade of my life. 🤗  Aging is truly the most incredible, underrated part of life… but for ","Today is my 40th birthday and this is going to be the best decade of my life. 🤗

Aging is truly the most incredible, underrated part of life… but for some reason, we all fear it.

We lie about our age or refuse to say how old we are.
We yearn for our 20’s when we had fewer scars and less responsibility.

But the thing is, our years are earned. Our scars are remnants of a life well lived. And I am proud of my years and my scars.


There is a natural gift that comes with time:

You get more comfortable in your own skin.
You stop chasing the approval of others.
You start trusting yourself more.
You gain calm and clarity.
You stop performing.

These changes are SO powerful.

I think about these words from my dad often, especially on my birthday every year:

“I remember my teens and 20’s. I thought those were the best years of my life.

Then I reached my 30’s, then my 40’s. Turns out, those were the best years of my life.

I was really scared to turn 50. Then, my 50’s were the best years of my life.

Now I’m in my 60’s. I may have slowed down a little bit—but these are the best years of my life.”


I plan to keep this attitude toward aging for the rest of my life. And I hope that you do, too.

Here’s to getting older and better every single year. Thank you for celebrating with me. ✨",https://www.linkedin.com/posts/thejackiehermes_today-is-my-40th-birthday-and-this-is-going-activity-7430610636633681920-M8Wv?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB0q1vsBp4hULNTjGJX-vWVJ4DU-a38UXeY
2,Jackie Hermes,3.9,287,83,386,Teacher,Personal Development,Thought Leadership,Hook -> Story -> Lesson -> CTA,Remote work isn’t the problem. Bad leadership is.,"Remote work isn’t the problem. Bad leadership is.  For the last few years, we’ve all been told that the office would “come back.” We’d return to our d","Remote work isn’t the problem. Bad leadership is.

For the last few years, we’ve all been told that the office would “come back.” We’d return to our desks, our commutes, and the 9–5 we were so desperate to escape.

But here’s the truth:

→ Remote and hybrid work are not going anywhere
→ Flexibility is a benefit people aren’t willing to give up
→ And “return to office” is failing... loudly and publicly

Why? Because people aren’t just fighting to work in their pajamas.

They’re fighting for freedom, trust, and to be treated like adults.

Here’s what I’ve learned leading a mostly remote company:

Your policies are a reflection of your leadership’s level of confidence
Flexibility doesn’t mean chaos (but you need clear expectations)
Most people want to do a good job and go about their lives
Good policies are built from trial, error, and iteration
Treating people like adults gets adult results
You can’t build trust without giving it first
Presence doesn’t = performance


Our team has tried all kinds of policies—here’s what works for us:

✔️ Remote-first work with monthly coworking time to help with things like brainstorming, relationship building, etc.

✔️ Flexing in/out of business hours with clear expectations around availability to collaborate

✔️ Half-day Fridays every Friday (not just summers, because burnout is real)

✔️ PTO with set time off (unlimited did NOT work), including additional time for volunteering, voting, a flex holiday, and more

✔️ Most importantly, adopting the overall mentality that everyone is an adult and should be treated as such

Leaders, remember this:

You can’t cover up bad policies with perks. At the end of the day, it comes down to how people are treated.

--

📸 Working with Michelle Bickert Breen, head of copy at Accelity, during our last monthly team meeting!

🎧 If you're leading a team, or rethinking your own work setup, my latest podcast episode is for you: “Remote work isn’t the problem—your leadership might be.” Link in the comments!

♻️ Repost to help spread the message! 🙌",https://www.linkedin.com/posts/thejackiehermes_remote-work-isnt-the-problem-bad-leadership-activity-7355949433630466048-AI0A?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD17UGkBH8QJhQPLkRc2fBb4Mz5Dxgc2B9g
3,Jackie Hermes,3.0,266,30,297,Teacher,Motherhood / Family,Thought Leadership,Hook -> List -> Insight,2025 was an interesting year.,"2025 was an interesting year.  Business-wise, it was good! Sure, we had some challenging projects, but nothing our amazing team at Accelity couldn’t h","2025 was an interesting year.

Business-wise, it was good! Sure, we had some challenging projects, but nothing our amazing team at Accelity couldn’t handle. We are doing better work than ever, the team is dedicated and constantly leveling up... I couldn't be more proud. (Appreciate you all so much. 🥹)

Personally, let’s just say that parenting, especially parenting teens, is not for the faint of heart.

I’ve learned that we are all just people, armed with our lived experiences and the knowledge we gather, trying to do the best we can in every situation.

If there’s a moral to this post, it’s this:

Let’s try to give each other more grace.
Be as understanding as possible.
Be open to perspectives.
Be more forgiving.
Be flexible.
Be kind.


This is the energy I’m taking into 2026.


How was this year for you? Business and personal, I’d love to hear it all! ❤️


📸: Our fam on summer vacation in Yellowstone this year",https://www.linkedin.com/posts/thejackiehermes_2025-was-an-interesting-year-business-wise-activity-7411788752001470465-D4oe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFNK4soBB4fhH1bCSX3bKHYCTqI6LynAUic
4,Jackie Hermes,2.5,173,71,246,Teacher,Entrepreneurship,Thought Leadership,Hook -> Story -> Lesson,"Today I’m celebrating 300 episodes of my podcast, The Art of Entrepreneurship. It feels *wild* to say that out loud.","Today I’m celebrating 300 episodes of my podcast, The Art of Entrepreneurship. It feels *wild* to say that out loud.  I am usually pretty bad about lo","Today I’m celebrating 300 episodes of my podcast, The Art of Entrepreneurship. It feels *wild* to say that out loud.

I am usually pretty bad about looking back at milestones and celebrating wins.

So today, I wanted to write about all the messy moments that somehow turned into 4 years and 300 episodes of this podcast.

The first time I recorded was in a studio. It was a single room with a bunch of people staring at me while I was sweating bullets. I was terrified.

I quickly moved my recording process to my house. I had no idea what to buy or how to set anything up.

There were so many moments like that.

→ Recording with kids yelling in the background, cats meowing, me shushing.
→ Taking my mic on vacation with me because I didn’t get to my episodes before I left. (NEVER AGAIN.)
→ Starting episodes five times because the words wouldn’t come out right. Or even better, forgetting to hit record at all.
→ Trying not to cry on guest episodes because their stories were so moving or lessons so insightful (this has happened a number of times!).
→ Accidentally saying something completely unhinged. Constantly. 🤣

There were nights I recorded half-asleep.
Mornings I recorded before anyone else was awake.
Days I almost quit because life felt heavy and the last thing I wanted to do was act like I had advice to share.

At the same time, there is also so much beauty that comes with 4 years and 300 episodes. Especially the messages:
“I feel seen.”
“I needed this today.”
“This helped more than you know.”

These messages are the real reason this show made it to 300 episodes.

Somewhere along the line, I found my voice. Not the polished one I thought I needed (Quentin Michael Allums used to say I had a ‘video voice’ lmao!)—but the one I always had.

If you’ve been listening for a while or listened to even one episode: thank you for being part of my messy, strange, beautiful journey!

I appreciate you more than you know. 🥹",https://www.linkedin.com/posts/thejackiehermes_today-im-celebrating-300-episodes-of-my-activity-7404880963111174144-cla3?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEVanCoBZrcQX6UUSuuRySIzAwruVGdYTEw
5,Jackie Hermes,2.2,172,42,216,Teacher,Philanthropy / Cause,Direct Advice,Hook -> Story -> Lesson -> CTA,“What do you do for fun outside of work?” Uhhh… work more?,"“What do you do for fun outside of work?” Uhhh… work more?  I used to joke that work was my only hobby. And it was.  In the last few years, I finally ","“What do you do for fun outside of work?” Uhhh… work more?

I used to joke that work was my only hobby. And it was.

In the last few years, I finally discovered that having interests/hobbies outside of work makes me a better person.

Who knew??


How hobbies and interests outside of work make you a better person:

✅ If you’re like me, your to-do list is running on a constant loop in your brain. Engaging in other activities forces me to stop thinking about work and has massively reduced my stress.

✅ Activities outside of work broaden your worldview. Meeting people outside of your immediate community, family, and circle is crucial. The more people I meet, the more I see the viewpoints of others, the less upset I get when bad things happen to me.

✅ Stepping away allows you to see the larger picture. People love to say “if it won’t matter in 5 years, it shouldn’t matter today” (or something), but that’s way easier said than done. When you see the larger picture, you understand where work fits into the harmony that is your life, and prioritize your thoughts appropriately.


My current hobbies/interests:

➡️ Boating while it’s warm. My husband and I joined a boating club four years ago and we’re having a blast. Let’s be real, he does all the driving. I will, however, advise him on how to do it. 🤣 Sorry Ryan Calton.

➡️ Exercising/movement. I’m always trying to conquer a new goal. I work out at F45 Training and let me tell you… it’s hard. I’m sore most days. And it’s worth it. 💪

➡️ Going to Milwaukee Bucks Inc. games—SO pumped for the season to start! I was never a big “sports person” until a handful of years ago, but how can you not love our guy Giannis? Add cat dad Myles Turner to the mix and it's sure to be a great season. #FeartheDeer

What are the interests and/or hobbies keeping you sane? Drop ‘em in the comments.",https://www.linkedin.com/posts/thejackiehermes_fearthedeer-activity-7371528989586124800-fUhM?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAESjmc4BQycFwigIibZ94ord0SROkfP-s5k
6,Jackie Hermes,2.0,169,25,195,Teacher,Motherhood / Family,Thought Leadership,Observation -> Question,"Thinking about putting up a ""happy holidays"" post; went to my camera roll to find this.","Thinking about putting up a ""happy holidays"" post; went to my camera roll to find this.  Me and my son Arri (also Accelity's intern!), celebrating Chr","Thinking about putting up a ""happy holidays"" post; went to my camera roll to find this.

Me and my son Arri (also Accelity's intern!), celebrating Christmas yesterday. 🤣 It was a big lunch, okay?!

So... happy holidays. Hope you all get the rest you deserve! ✨",https://www.linkedin.com/posts/thejackiehermes_thinking-about-putting-up-a-happy-holidays-activity-7410395649667637248-1O7r?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEVanCoBZrcQX6UUSuuRySIzAwruVGdYTEw
7,Jackie Hermes,1.6,126,34,162,Teacher,Career Growth,Direct Advice,Hook -> Story -> Lesson -> CTA,Fun fact #500 that no one tells you about growing a biz or your career: you have to become a different person over and over and over again.,Fun fact #500 that no one tells you about growing a biz or your career: you have to become a different person over and over and over again.  We start ,"Fun fact #500 that no one tells you about growing a biz or your career: you have to become a different person over and over and over again.

We start a business because we’re good at solving problems. We are excellent at the work we do. This is super similar when you start a corporate career—you are the one *doing* the work.

In both of these situations, being scrappy and quick and super hands-on is what makes you awesome.

Then suddenly, you’re managing people. And you’re supposed to delegate and only get involved when you need to and coach people to be good at the job like you were.

Then suddenly, you’re managing MORE people. And you’re supposed to be even more hands off and be a leader and guide people but not do the work yourself.

Then suddenly, you’re in a position of leadership. And you’re supposed to align your teams and implement the vision and hold people accountable.

And maybe, you’re in charge of the whole dang company. You’re a “visionary” whatever that means. 🤣 Zero pressure.


I feel like people start this journey and there is no “how to grow in your career and become a different person repeatedly for dummies” book.

And examining yourself at every single one of these stages is HARD.

You go from:
Being a contributor to making other people better
Being rewarded for speed to being rewarded for clarity
Solving problems yourself to teaching others to solve them
Getting validation from output to getting validation from outcomes
Being useful when busy to being useful when systems work without you


Now ask yourself honestly:
Am I the person I need to be right now? If not, how do I become her?
Do things slow down when I’m involved? Am I the bottleneck?
Do people wait for my input instead of taking ownership?
Am I constantly jumping in to “help”? (still guilty here)
Do I feel frustrated when things aren’t my way?
Is my calendar full but impact unclear?
Am I reacting instead of planning?
Ultimately: am I the problem???


This part is uncomfortable. It forces you to look at where ego or old habits might be getting in the way. And unfortunately, a lot of leaders don’t even do it.

But professional growth requires it.

If you’re feeling stuck, frustrated, or exhausted, it might mean that you’re hitting your upper limit. And it’s time to become the next version of yourself.

Leaders, what have you learned during this journey? I’ll go first in the comments.


🎧 I talk about this shift, and the different identities we must move through, in this week's podcast episode. Link below!",https://www.linkedin.com/posts/thejackiehermes_fun-fact-500-that-no-one-tells-you-about-activity-7427405821954883584-MjPR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB0q1vsBp4hULNTjGJX-vWVJ4DU-a38UXeY
8,Jackie Hermes,1.6,128,33,161,Teacher,Content / Brand,Direct Advice,Hook -> Insight -> Close,Vegas recap: I did a terrible job taking pictures so this is what you get.,Vegas recap: I did a terrible job taking pictures so this is what you get.  There was a champagne wall. Too bad you can't upload videos and photos tog,"Vegas recap: I did a terrible job taking pictures so this is what you get.

There was a champagne wall. Too bad you can't upload videos and photos together on LinkedIn, or I'd show you the hand popping out of this bush to present the champs. 🥂 

Caffeine was expensive and I consume a lot of it, so I bought Alani drink mix and it made my face tingle.

So many good conversations and hangs with our clients and friends at ITC. I captured *zero* of them on film because we were having fun! I did, however, get a pic of these delicious grilled cheese dumplings at Beauty and Essex—delish. Thanks, Katie Sadler!

My teens would never admit that they missed me but they texted me with random life updates the whole time I was gone. 🥹 

No joke... these are all of the photos in my camera roll from 4 days in Vegas, much to my team at Accelity's chagrin. (Sorry.)

And now it's back to business, working from home with my lap cat.

Thanks to everyone that made InsureTech Connect so fun! Until next year... 🤝  ❤️  #ITC2025",https://www.linkedin.com/posts/thejackiehermes_itc2025-activity-7386475982653915136-oEgt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABV2-5cBS3OuBNwTYEDjt2OGEtA-PUnnrNs
9,Jackie Hermes,1.5,127,20,152,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Team Accelity takes a field trip. Go Milwaukee Brewers! 💛💙,Team Accelity takes a field trip. Go Milwaukee Brewers! 💛💙,Team Accelity takes a field trip. Go Milwaukee Brewers! 💛💙,https://www.linkedin.com/posts/thejackiehermes_team-accelity-takes-a-field-trip-go-milwaukee-activity-7361447269843275780-wyZP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADWuLVEBI99rxrHle4hYELPY12Zi8VCwl_0
10,Jackie Hermes,1.5,122,27,150,Teacher,Motherhood / Family,First-Person Insight,Hook -> Insight -> Close,"Every time I step into a new culture, meet new people, learn new customs, and see how others live, I come home a little bit different.","Every time I step into a new culture, meet new people, learn new customs, and see how others live, I come home a little bit different.  And that shift","Every time I step into a new culture, meet new people, learn new customs, and see how others live, I come home a little bit different.

And that shift impacts how I lead, work, and show up for others.

Over time, those small changes add up. They make you more patient, more curious, more open.

The more I travel, the more I realize it’s not an escape or a break.

It’s a chance to expand your worldview and become a fuller version of yourself. ❤️


“Travel is fatal to prejudice, bigotry, and narrow-mindedness;

And many of our people need it sorely on these accounts.

Broad, wholesome, charitable views of men and things cannot be acquired by vegetating in one little corner of the earth all one's lifetime.”

-Mark Twain


📸: Hassan II Mosque, Casablanca with my husband Ryan Calton (photos 1, 2); views from Chefchaouen (photos 3-4); breakfast in Fez (photo 5); the golden doors at the Royal Palace of Fez, Morocco, with my dad and bonus mom 🤗 (photo 6)",https://www.linkedin.com/posts/thejackiehermes_every-time-i-step-into-a-new-culture-meet-activity-7397679537787990018-5490?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABuxQPsB9DAXOP6314kBWPuiGaRW0h_twaQ
