authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Reshma Saujani,reshma-saujani,2026-02-18T17:56:57.212Z,7219,350,346,linkedinVideo,"Eileen Gu deserves another medal for this alone 

#BraveNotPerfect",https://www.linkedin.com/posts/reshma-saujani_bravenotperfect-activity-7429947044762628096-_gZQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
Reshma Saujani,reshma-saujani,2026-01-08T14:15:55.152Z,4799,178,96,image,"Moms, we did it!!!!!!!!

What started as the Marshall Plan for Moms in 2021 has become a pathway to universal child care in the largest school system in America.

For decades, child care was framed as a personal struggle for moms, not as a core economic issue for employers and the state. That ends today. And I am so proud of our Moms First community for changing the conversation.

New York today. The rest of the country tomorrow.

Let’s do this!!",https://www.linkedin.com/posts/reshma-saujani_moms-we-did-it-what-started-as-activity-7415033517161611264-EzA7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
Reshma Saujani,reshma-saujani,2025-11-25T23:01:14.995Z,3103,258,11,image,"Hey guys, I turned 50 last week.

If you have been listening to my podcast, you already know that midlife and I have had a complicated relationship. And honestly, for a long time, I was not sure if I wanted to make a big deal out of this birthday. There are headlines every day about how 50 is the new 30. And friends, they annoy me. I do not need to be 30 again. I do not even want to be 30 again. 30 was chaotic. 30 was defined by pressure to achieve and pressure to pretend I had everything under control. So the more I thought about it, the clearer it became that 50 is not a replacement age. It is not a rerun or a second chance at youth. 50 is its own season. And I wanted to greet it as myself, not as some younger version I was supposed to channel. We’re told to hide our age, that it’s rude to ask women how old we are. I’m done hiding my age. I am 50 and damn proud of it!

On top of that, so often us women spend a whole lot of time and money planning our weddings, planning our kids’ birthdays (iykyk), but we don’t spend it celebrating ourselves. I decided I wanted to put in that same amount of time and energy with friends and family to celebrate my own personal milestone… with lots and lots of dancing.

So I bit the bullet. I planned a girls trip. I planned a party (with help from my husband Nihal). Everyone there helped get me where I am, and I wanted to celebrate them just as much. I did something that felt brave in its own simple way: I let myself be seen. I bought a stunning gold dress. I had the audacity to want to be celebrated. And here is what I learned: You should ABSOLUTELY make a big deal out of the moments that matter to you. You should let the people who love you surround you with joy even if your instinct is to downplay your needs.

I hope this is a reminder to all of you out there to celebrate your life. So if you are on the fence about celebrating yourself, consider this your gentle nudge. I hope you choose to honor your happiness. I hope you celebrate your milestones. I hope you let your village show up for you. And I hope you trust that you are worth celebrating.

(Photo: Maxwell Brown / @maxwellpicswell)",https://www.linkedin.com/posts/reshma-saujani_hey-guys-i-turned-50-last-week-if-you-activity-7399220654878793731-cvDh?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
Reshma Saujani,reshma-saujani,2025-11-08T23:58:23.673Z,2713,115,154,linkedinVideo,"The workplace was never built with women in mind. The system was broken from the jump. For anyone trying to make women think that we’re the problem, yet again, just stop. Stop blaming women. Blame the system instead. Better yet, do something about it! 👏👏👏

P.S. Hate to get all self-promotional, but I'll be sharing a deeper dive into that whole New York Times thing in my Substack next week, so be sure to subscribe 😉",https://www.linkedin.com/posts/reshma-saujani_the-workplace-was-never-built-with-women-activity-7393074442081452032-rPJ0?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-12-22T15:49:51.218Z,2610,78,71,image,"Moms, this you?

Whether a mom gets paid for her work or not, all moms are working moms. And we are TIRED, especially this time of year. ❤️

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_moms-this-you-whether-a-mom-gets-paid-activity-7408896562820689920-EOgR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2025-12-01T16:44:04.768Z,1817,237,127,linkedinVideo,"Hey guys,

We've been secretly working on a film about motherhood in America. And today, we're excited to share our official teaser trailer.

For generations, mothers in the U.S. have been told to work harder, smile wider, and do it all — while a system built to fail us keeps going with the status quo.

Motherhood has been devalued and dismissed, yet mothers are still expected to hold up the economy with no structural support to stand on.

This film is an investigation into how we got here — and what it will take to build something better.

Oh yeah, and we're also trying to make some history in the process. Our goal is to break the Guinness World Record for the most producers ever listed on a film. We want moms everywhere — working moms, stay-at-home moms, single moms, church moms — to see themselves in it and to be part of our movement.

To get your named added to the film’s credits as an Associate Producer and help us break the world record, there's 3 things you can do:

1. Share your story — in writing or on video.
2. Donate $25 or more (or gift a credit).
3. Sign up to a host a screening this summer.

Ok, moms. Let's do this!

And of course a special shout-out to our producers Culture House Media and French Tuck Media and our amazing director, Raeshem Nijhon.

**Check out the comments for the link to become an AP 😉

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_hey-guys-weve-been-secretly-working-on-activity-7401300064020688896-_uVd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
Reshma Saujani,reshma-saujani,2025-12-29T22:31:32.945Z,1840,48,54,image,"Amen 👏🏼

In 2026 may we see through any attempt to blame women and pit us against each other, and let’s focus our energy on the systemic issues that are holding all of us back.",https://www.linkedin.com/posts/reshma-saujani_amen-in-2026-may-we-see-through-any-activity-7411534367849877504-lVzY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2025-10-21T14:45:58.832Z,1583,88,154,linkedinVideo,"Basically, six companies own all the algorithms that we use. And they've made a decision that outrage sells. That it pays to keep us divided.

We need the next generation of engineers to build products that keep us connected, instead of intentionally dividing us.

(Video: Vermont Women's Fund's 2025 celebration)",https://www.linkedin.com/posts/reshma-saujani_basically-six-companies-own-all-the-algorithms-activity-7386412440961536001-CcXl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2025-10-22T20:25:57.308Z,1446,61,66,linkedinVideo,"This week on my Substack, I dive into one of my all-time favorite myths with economist Corinne Low, author of the new book ‘Having It All’.

Here’s what she brilliantly broke down for me:

Economists divide the world into two spheres: market production (the work that’s paid and counted) and home production (the work that isn’t). Both are essential to society, but only one shows up in GDP.

For most of history, women did the home production and men did the market work. Then came the feminist revolution, and women entered the market. The problem? Men never entered the home.

So now, women do both.

We doubled our market participation without halving our home responsibilities. That’s what Corinne calls the “squeeze” — the strain we feel when we juggle working both in the market and the home. And it’s baked into the very economics of how we live and work. Every hour women spend on unpaid labor at home is an hour we can’t spend competing in the marketplace.

And yet when women try to adjust — by going part-time, freelancing, or choosing more flexible jobs — those decisions get framed as personal failings instead of natural consequences of the flaws in our structural design.

The idea of “having it all” was supposed to be aspirational, but it’s always been an accounting error.

To “have it all,” you’d need to live in an economy that values both forms of production — home and market — equally. You’d need workplaces that recognize care as infrastructure, not interference. You’d need partners who share the load.

Instead, we live in a system that still assumes someone else (and most often, a woman) is doing the invisible labor. And when she’s not, it all falls apart.

And that’s just the tip of it! Head over to my Substack for more on Corinne’s research, and stay tuned to our full chat on the 10.29 episode of My So-Called Midlife.",https://www.linkedin.com/posts/reshma-saujani_this-week-on-my-substack-i-dive-into-one-activity-7386860386236518401-rcAU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2026-01-25T17:35:58.748Z,1257,54,128,image,"Please join moms across the U.S. on Monday night to discuss what the hell is going on and what we’re going to do about it.

More speakers to be announced.

Join us here: https://lnkd.in/e9QCJZax",https://www.linkedin.com/posts/reshma-saujani_please-join-moms-across-the-us-on-monday-activity-7421244457607532544-EvZB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
