authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Shay Rowbottom,shayrowbottom,2025-03-16T21:43:47.714Z,1137,135,12,image,"My sister and I didn't speak for nearly 3 years.

Next weekend, she's coming to visit.

As I instinctively reacted YES to her message about a stay at my house... it dawned on me.

I'm not afraid anymore.

For a very long time, I was too triggered to hang out w/ family. 

I couldn't bare the pain of her not validating my childhood experience. I was in a constant state of frustration tryin to get her to see things my way.

I couldn't appreciate her for who she is, or where she's uniquely at on her journey.

Over the years reconnecting, we've found common ground. And while we still don't see eye-to-eye on everything...

there's mutual respect.

The arguments and name calling turned into civil disagreements.
The civil disagreements turned into opportunities for bonding.

new levels of safety, for both her and I. 

I now realize THIS IS us breaking generational cycles, rather than falling victim to the patterns of separation that plagued so many before. (I guess that's the stubbornness of the Irish for ya...)

So, when I heard her childlike energy through the phone as she shared how excited she is to book a trip to come see me... I had a moment of reflection on how far I've come that instead of my usual knee-jerk reaction to shut her out, anticipating unnecessary drama and a ""I'd just rather not deal with this"" attitude...

I instead just smiled and of course told her,

YES!

Actually, I'm excited too! :) 

and damn that's a whole lotta growth.

Not to mention - it was a good excuse for me to finally clean out my guest room which has basically been used as storage unit since I moved back in November.

It's been FB Marketplace ads all weekend over here.

I was removing the top mattress that I once also had on this bed, when I noticed cat urine!

Ugh.

I decided to list anyways (for free), w/ a disclaimer about the cat pee... but if you want to come pick it up, it is yours.

A woman showed up in a beat up car w/ her husband & kids, incredibly grateful for a free, cat-pissed mattress.

𝘐 𝘩𝘢𝘥 𝘵𝘰 𝘢𝘴𝘬...

Her situation seemed low. And she opened up to me about how she recently lost her oldest daughter and ended up homeless. She finally got herself an efficiency and they had no furniture yet.

I ended up giving her more items and asked, ""What else do you need? Seriously, ask me anything!""

""I know this is strange but, do you have laundry detergent?""

I go inside and grab her a full, unopened bottle. The look on her daughters face as she saw me, ""Mommy! we can finally do laundry!""

My heart almost broke.

I could feel the pain in this woman's soul over her daughter's death. Trying with all her might to keep going for the sake of her other children. It was a humble reminder of not only how blessed I, you, and probably everyone on LI reading this actually are...

but of how short life is, and how quickly family... can be gone.

Grateful for my life, 
for my blessings, 
for my growth.

Grateful to, again soon... 

be hanging out with my sister. ♥️",https://www.linkedin.com/posts/shayrowbottom_my-sister-and-i-didnt-speak-for-nearly-3-activity-7307154644907020288-7QVk?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE4ybtUBRdwFJ0EDIJFhItHwBDR1cpnZEO0
Shay Rowbottom,shayrowbottom,2025-11-29T18:43:00.844Z,937,169,11,image,"Well, it's official.

I have moved myself full time to The Keys.

Many of you following my journey may recall, about 18 months ago now, I got denied buying a second home in Miami and was suddenly uprooted with nowhere to live.  

Having to be out of my lease in just a few days, I panicked. Then I heard God's voice clearly whisper in my ear,

""𝙆𝙚𝙮 𝙒𝙚𝙨𝙩.""

Truth be told, I had been getting the call more and more to go down there... but I didn't know why? And despite living in Miami nearly 5 years at this point, I'd still never been.

So, that was that.

I put all of my stuff in storage, packed up my SUV and my cat...

and drove to the keys.

I've since been back many times, and every time I make it south past Homestead and my tires hit that first long bridge over the water, I can literally feel the anxiety leaving my body.

It feels like I'm driving through a portal and out of the matrix.

Every.
Single.
Time!

I had doubts about living here full time. A part of me felt like it was too good to be true. Island life, beaches, no stress... always?

You mean like... 𝘯𝘰𝘵 𝘫𝘶𝘴𝘵 𝘧𝘰𝘳 𝘷𝘢𝘤𝘢𝘵𝘪𝘰𝘯?

Miami has its moments but let's be real, the city has a ton of stress & chaos, and a lot of dodgy characters despite the beautiful beaches. Which, I never missed a chance to frequent during my 5 year stint there.

Orlando brought me more peace and much healing, however being landlocked was arguably even worse for my nervous system in the long run than life in Miami.

This girl needs her toes in the sand,
and her hair doused in saltwater. 🏖️

Holidays can be tough but I've never been so grateful.

When the universe is making something difficult for you (ie me trying to buy that second house in Miami spring of 2024...)

𝗶𝘁'𝘀 𝗻𝗼𝘁 𝗳𝗼𝗿 𝘆𝗼𝘂.

When the universe makes something easy for you (ie me finding an insane deal on my dream rental in KW and getting an unexpected $5k check from LinkedIn this month to help with the moving expenses...)

𝗶𝘁'𝘀 𝗳𝗼𝗿 𝘆𝗼𝘂.

God wanted me here and I think I know why ↴

The P͟E͟A͟C͟E͟! The nervous system regulation. 
The safety I feel that I never quite felt.

It's only been a week and truth be told, while I'm enjoying the tranquility of island life and adjusting to my new home, in the grand scheme of things I'm sure I still have no idea where my journey is about to take me. 

Woman makes plans,
and God laughs.

I just know right now, I need to be here and He's made that quite clear.

A solid reminder that when things don't go your way (house fallout in Miami), God has something better coming for you. It's easier said than felt, but this experience is one that will for sure help me ground in new levels of faith because I really see how he had me all along.

Thank you God for blessing me with this beautiful little island, 
allow me to do good and to pay it forward in the world.

Happy (late) Thanksgiving Everyone. 😊

God Bless.",https://www.linkedin.com/posts/shayrowbottom_well-its-official-i-have-moved-myself-activity-7400605219161612288-9BGI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRQoyIBoxU1qMjR8m0rTpus94MgkgNUaic
Shay Rowbottom,shayrowbottom,2025-04-18T20:06:04.317Z,940,131,6,image,"Today I ran a mile in 6:40.

Funny thing is, I'm heavier than I've ever been in my life weighing in now at almost 160. 

Let's just say - the bulk season has been real.

But rather than just a simple post to show of my progress and paradisiacal Florida views -  let me enlighten you all on the pain it took to get here.

When drugs no longer work.
When men no longer work.
When LI no longer works.

I work.

It's more about the actual physical NEED for exercise because of my mental health, I simply cannot function without it.

I put in mad discipline the past couple years destroying as much as I possibly could that was distracting me from my pain. That meant giving up drinking, dating, even smoking weed which believe me I had DEEP attachments to since the age of 14.

It even meant giving up my virality on social media and squeezing the hose on my own company. Another distraction - one that made money, but I knew I had to force myself to crash and burn to find out what I was truly made of.

Thing is,

all addicts end up at the gym.

But since I moved back to Orlando, I decided I needed someone to push me again.

My latest trainer had me running miles around the lake at the end of the workouts and I was surprised to see, (despite little distance training these days) that within the first 2 weeks I was coming in at 7:08.

Today he challenged me to get to 6:30...

Close enough 😆

The most gratifying thing about all of this is that I remember my best mile time. It was 6:34 back when I ran cross country in High School.

I was 17 years old.

That's 15 years ago.

Last year at age 31, I did a metabolic test (Vo2Max) that tested my biological age as only 19. (per my heart rate variability and running to failure on treadmill)

#winning! 

The point is - people can look at a girl like me and think I got lucky. PAH! - 

I GET IT'S EASIER TO THINK THAT.

Sorry, it's not at all the case. 

My success in life has been directly correlated to my ability to ENDURE. PAIN!

You think I don't wanna veg out on the couch and eat a tub of ice cream? Smoke pot? Call dudes and distract myself with validation & fun?

Of course I do. The pleasure seeking ran deep.

But eventually you get sick and tired of your own BS.

Eventually you get sick and tired of playing small. Of limiting your own potential. Of dumbing yourself down to make others around you more comfortable about their own lazy ass life.

F*ck em.

I wanna be great, and if fitting in isn't gonna get me there, I'm not gonna fit in. I wanna be 42 testing age 29 on the Vo2Max. (or younger!)

This isn't about vanity.

It's about longevity.

I owe that to myself, looks are a bonus.

How healthy is your heart? 
How's your digestion? 
How is your skin? 
Your energy?

These will all be markers to you as to how legit your wellness routine actually is.

& for me?

I'm about to break my fastest mile time ever, 15 𝘠𝘌𝘈𝘙𝘚 𝘓𝘈𝘛𝘌𝘙!! as a 32 y/o... faster than I ran at age 17.

& that's the real drug.

#Shayshine ☀️",https://www.linkedin.com/posts/shayrowbottom_winning-shayshine-activity-7319088851602329602-Y-Ac?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC9IwucBOlZAtkMcXzxvWRMowT5oiXMZAvE
Shay Rowbottom,shayrowbottom,2025-08-15T19:09:59.612Z,925,134,9,image,"Day 1 Key West.

96 days ago I decided to give up caffeine and go on a crazy summer detox. I knew even coffee was preventing me from fully feeling myself and a lot of things that needed to come up.

I also gave up Kratom then too.

Already been done w/

✔️ pot
✔️ booze
✔️ MEN (worst)

My life has been a series of slowly giving up all the things I used to survive all my life. My hardest challenge ever was weed. As a daily pot smoker since age 14, I'm proud to say I'm over 3.5 years clean.

Booze was easy, I just didn't like how it made me feel anymore. I much prefer Kratom tea as a social stimulating substance.

I was a serial monogamous always depending on a man to ""hold my bigness"". Convinced I couldn't do it alone - when I'd only been programmed that way. I have been single for almost 3 years now. The biggest blessing.

All these years chipping away have allowed me to slowly build the capacity for independence and true freedom. When God knocked on my door again a few months ago and said, ""Time to lock in!"" I knew I had to give up caffeine & Kratom.

It sucked.

Kratom was weekly, but coffee daily. Lots of sleepless nights and a complete hormonal reset, until I reached month 2 and the fruits of my labor began to show.

I started going to Yoga 3-5x a week.
I started weight training 4-5x a week.

I started making skits again. I embarked on a long overdue goal of learning FL studio so I can produce my own music. I have always been into songwriting, it's how I got into editing way back when... but this time is different.

Being able to produce tracks in FL is like learning Premiere Pro on steroids.

The sobriety I gained coupled with the right-brain activation through piano lessons, FL music creation, and skit production?

Massive somatic release.

I cried like I have never cried before.

I remembered things about my childhood previously only accessible through Dimethyltryptamine (DMT/Ayahuasca).

I pieced a lot together and I mourned all by my lonesome.

The combination of Yoga & Weight training helped a lot. Together my trainer and I discovered a beautiful recipe for somatic release, perhaps one other survivors of sexual abuse can learn to tap into. I realize I was never really pushing myself until failure because when I did, I suddenly began exploding into tears.

An awkward moment for my trainer, at first. Until we bonded deeper over it and developed clear communications about what was happening and releasing in my body during these sessions.

Yoga helped, music helped, sobriety helped - but I truly credit my biggest somatic releases this summer to LIFTING HEAVY WEIGHTS!

My fitness sessions became the greatest asset to my recovery. Not to mention I'm feeling strong & sexy AF!

Anyways, that's enough grief for now. Ready to swim, scuba dive, and get funky down in Key West for a few weeks... so grateful to finally be here!

Inside the cave you fear is the treasure you seek.

Do painful shit.
It's worth it.",https://www.linkedin.com/posts/shayrowbottom_day-1-key-west-96-days-ago-i-decided-to-activity-7362198895013101568-ABU_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoR_n4B7Tst8mXbWcwRqX9Y5na2g3O9Jw4
Shay Rowbottom,shayrowbottom,2025-12-26T18:56:41.141Z,910,123,12,image,"Christmas in The Keys.

New car, new house. Holiday flowers.

If someone would have told me this would be my life by 33 I'd of never believed them. 

It's not just the amazing villa on an island in paradise. It's not the M50, the business success, or the fact that I'm in the best shape of my life... (still love to brag 😉)

It's the psychological transformation the past 3 years. One many of you have been a witness to here.

I have lived with such extreme anxiety I just always thought it was normal. I have planned, prepped, anticipated for the worst every step of my journey. And many times,

I got that.

It's not that every single person that crossed my path was a downright predator, though there was some of that. It's that M͟E͟!͟ - full ownership - hadn't processed my own childhood sh*t. So in many relationships, I was bringing forward a victimy, wounded woman anticipating abuse, bullying, drama.

That expression of me brought out the predatory expression in others.
I came forward with that energy, and they simply responded. That is,

until I figured it out.

It takes a lot of self-accountability to realize I have always been in control of how others treat me. If I stand firm in my boundaries, actually say what I feel&need (VERY HARD and literally feels like DEATH for those who survived narcissistic childhoods...)

well, the chips may fall where they may.

I was programmed to live in fear. 
That's what abusers do - 
create an environment of fear.

There's no greater tragedy than capitalizing on your own children's need for survival, and actually getting off to their fear of you.

Gross.

Needless to say,

I do not go home for Christmas. 

The holidays have often been depressing. I've spent many alone. Pretending I don't care but deep down blocking the sadness of ""orphan"" life and doing my best to not feel gloom all around me when stores close, streets are bare & empty, yet the houses I walk past are filled with music, cheer, and family.

I suppose, that's the club we all deserve to be in on Christmas.

But my many stints of isolation were not in vain. I recovered so much of my true self previously lost to the ""acting"", the filtration system that was formed at such a young age.

I power through now and check in regularly,
""𝘗𝘢𝘶𝘴𝘦... 𝘪𝘴 𝘵𝘩𝘪𝘴 𝘳𝘦𝘢𝘭𝘭𝘺 𝘮𝘦? 𝘖𝘳 𝘢𝘮 𝘐 𝘢𝘤𝘵𝘪𝘯𝘨 𝘢𝘨𝘢𝘪𝘯?""

My authentic soul can't take it anymore.

Enough time alone taught me I can BE alone. I don't need anyone and therefor, I learned how to best treat myself. Anyone who steps into my world now, I too hold accountable.

& what do you know?

Beautiful relationships forming all around me. A sense of peace that ironically creates even more anxiety (which is my next phase of healing to tackle), a promising future and a beautiful home... & most importantly,

a sense of family and a feeling I can be my true self on this island. 🙏🏻

Merry Christmas everyone. 
May you be courageous enough to live life 𝘧𝘶𝘭𝘭𝘺 𝘦𝘹𝘱𝘳𝘦𝘴𝘴𝘦𝘥! 🌹

it's worth it.",https://www.linkedin.com/posts/shayrowbottom_christmas-in-the-keys-new-car-new-house-activity-7410393132107968512-emMQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRQoyIBoxU1qMjR8m0rTpus94MgkgNUaic
Shay Rowbottom,shayrowbottom,2025-02-14T16:38:44.323Z,769,148,7,image,"Happy Valentines Day to all of the single, independent, hardworking women out there who can't find a man.

Are we lonely?

Yes.

But, do we settle?

No.

Do we love cats&dogs?

Yes,

yes we do :) 🐾

AND-

all of this is okay!

I know days like today may cause you to slow down & sigh. Another slightly depressing reminder that, yet another year has gone by and here you are... 

alone. 

Still working your butt off at either your high-pressure corporate job (where the work keeps piling up... because everyone knows they can count on you!)

Or- 

busy putting out fires within your own brand/business, which I know you worked so hard, and sacrificed so much to build.

I see you Mami. 

You're not alone.

I know you get questioned by old friends and family about why you're still unmarried, childless, and alone. I know you are sick of defending yourself to others when they doubt your genuine desire to focus more on yourself, your career, or your business than settle down and start a family. Which - let's face it:

it will take one HELL OF A GUY to pull you away from what you're doing to make you even consider!

Again,

t͟h͟i͟s͟ ͟i͟s͟ ͟a͟ ͟G͟O͟O͟D͟ ͟t͟h͟i͟n͟g͟!͟

Keep following your gut, your intuition.

You're smart.

You're not going to settle just for the sake of Grandma's satisfaction to have a newborn again in her arms, or a flashy wedding photo of you looking like a princess she can share around whatever country or book club she's currently growing old in.

You have to DO IT FOR YOU!

But you've felt the temptation, you've doubted yourself. Still, time & time again you see girlfriends that gave up on their dreams & did settle for that man, a man who wasn't quite right... and you bite your tongue as you witness their relationship go down the tubes and their vision of motherhood becoming a stark awakening; not at all the fairy tale dream they'd been promised.

But hey...

at least Grandma's got those photos. 🙃

To all of the hardworking women out there doing it on their own this Valentine's Day - who chose themselves day after day, week after week, maybe even YEAR AFTER YEAR at this point... 

I know it gets lonely.

But the wait is so worth it.

Don't settle for just any man... 𝘄𝗵𝗼 𝗶𝘀 𝗻𝗼𝘁.

In the words of a wise lady,
I'll remind you of this:

""𝘐 𝘤𝘢𝘯 𝘣𝘶𝘺 𝘮𝘺𝘴𝘦𝘭𝘧 𝘧𝘭𝘰𝘸𝘦𝘳𝘴
𝘞𝘳𝘪𝘵𝘦 𝘮𝘺 𝘯𝘢𝘮𝘦 𝘪𝘯 𝘵𝘩𝘦 𝘴𝘢𝘯𝘥
𝘛𝘢𝘭𝘬 𝘵𝘰 𝘮𝘺𝘴𝘦𝘭𝘧 𝘧𝘰𝘳 𝘩𝘰𝘶𝘳𝘴
𝘚𝘢𝘺 𝘵𝘩𝘪𝘯𝘨𝘴 𝘺𝘰𝘶 𝘥𝘰𝘯'𝘵 𝘶𝘯𝘥𝘦𝘳𝘴𝘵𝘢𝘯𝘥
𝘐 𝘤𝘢𝘯 𝘵𝘢𝘬𝘦 𝘮𝘺𝘴𝘦𝘭𝘧 𝘥𝘢𝘯𝘤𝘪𝘯𝘨
𝘈𝘯𝘥 𝘐 𝘤𝘢𝘯 𝘩𝘰𝘭𝘥 𝘮𝘺 𝘰𝘸𝘯 𝘩𝘢𝘯𝘥
𝘠𝘦𝘢𝘩, 𝘐 𝘤𝘢𝘯 𝘭𝘰𝘷𝘦 𝘮𝘦 𝘣𝘦𝘵𝘵𝘦𝘳 𝘵𝘩𝘢𝘯 𝘺𝘰𝘶 𝘤𝘢𝘯""

This is not a bitter, anti-masculine, men-hating feminist rant.

Quite the contrary.

This is simply a reminder to those out there, both men & women, that there's an elite class of Alpha females in today's society who, while shocking to many...

may still find themselves single.

& that's okay.

Hopefully this post helps you understand why.",https://www.linkedin.com/posts/shayrowbottom_happy-valentines-day-to-all-of-the-single-activity-7296206238952910848-ZDAq?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABX120YBR3ZzDx_30RGssNG6f--Q9MT0tFo
Shay Rowbottom,shayrowbottom,2025-02-09T19:36:18.298Z,784,128,2,image,"I gained 25 lbs and used to long for the girl on the left.

But here's what you don't see-

When I was 28 I had just come off some of the hardest years of my life. 
I didn't have the capacity to handle anything.

Somehow I manifested a LinkedIn famous reality for myself and starting racking in $$$.

Needless to say,

I had enough to distract myself with. 
Which delayed healing for many years.

Even though I was successful on paper and so many were validating me, I was actually a pretty difficult person to work for, or even be around. I was insanely neurotic, could not sit still, had severe mania / ADHD, and would later find out...

Candida Overgrowth.

My digestion was a mess.

I would cry myself to sleep some nights due to the frustration of chronic gas/bloating.

my energy was all f*cked up.

But more often than crying myself to sleep... 

binged myself to sleep.

Yup.

Unfortunately getting into the habit of eating my feelings came at a cost. By age 29, I committed to a hard reset. Embarking on a 12-week Keto cleanse (no sugar, alcohol, or carbs...) 

which resulted in a TAPEWORM passing my system! 🪱

Yup.

Lol, well... I guess we know why I was skinny. 

-_-

The 12-week cleanse was not easy. I had just recently given up smoking weed at that time, and obviously with Keto... couldn't drink. So my vices were next to nothing.

All I did was work, gym, and Kambo (yuck!). & within a few months, I felt like a new woman.

𝘠𝘢𝘺 𝘮𝘦!! 𝘈𝘭𝘭 𝘮𝘺 𝘧𝘢𝘷𝘰𝘳𝘪𝘵𝘦 𝘧𝘰𝘰𝘥𝘴 𝘣𝘢𝘤𝘬.. 𝘧𝘪𝘯𝘢𝘭𝘭𝘺!!

But wait-

My little secret weapon was gone.

No tapeworm...
No ""infinite metabolism."" 

Suddenly my body was doing what it's supposed to do, and my diet reflected in the weight I started to gain. 

I didn't like it. 

This is what triggered what I now recognize as some seriously disordered eating over the past couple of years, all in an effort to get back to this ""look"" I once had on the left.

The ironic thing is-

for nearly all of my life I actually looked more like the girl on THE RIGHT! It was only during this parasitic phase that I was suddenly so effortlessly skinny. Prior to that, I never had an issue with my weight or felt like I needed to loose...

so where was all of this coming from!?

As I began to dig deeper into this obsession, I realized it all came back to this ↓

not having been able to 𝘓𝘌𝘛 𝘎𝘖 of attachments to the girl on the left!
Not just the body, but that entire phase of my life, and what it represented.

Money, fame, fun, party...

but I was sick.

It wasn't healthy.

130 to I'm guessing about 155 now... (I don't weigh myself lol). I decided who cares!? and I LOVE THAT I DON'T CARE! 👏

The moral is: 

just because someone is THINNER... 
doesn't automatically make them healthy. 

Yeah, 28 was cute. But you couldn't pay me to go back. I'd much rather take the extra pounds and all the knowledge & wisdom that came with it.

& if someone has a problem with my new look,

I decided they can kiss my full-figured ass.",https://www.linkedin.com/posts/shayrowbottom_i-gained-25-lbs-and-used-to-long-for-the-activity-7294438985634840576-8zpK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABX120YBR3ZzDx_30RGssNG6f--Q9MT0tFo
Shay Rowbottom,shayrowbottom,2025-03-12T17:01:34.162Z,707,139,9,image,"March is the month I decided to forgive myself.

I am 32 now and have made every excuse for why I have to run around the world traveling from A to B, constantly looking up flight plans and fancy hotels. Fantasizing about where I'll go next!

Why I chose to move houses every year, (sometimes twice a year), since age 18 and have since lived in 20 different spots in just 14 years.

Why I had to launch new offer after offer in an attempt to keep myself busy in business. Lying to myself that I ""just need more money / when I have more money..."" when the reality is all the money needed has been there, for quite a long time.

Why I'd go on to hire trainer after trainer in an obsession to be “fit” and build some sort of perfect physique, like that is what would finally make me happy. (𝘕𝘰𝘵 𝘢 𝘣𝘢𝘥 𝘩𝘰𝘣𝘣𝘺, 𝘳𝘦𝘢𝘭𝘭𝘺… ;)

But in the end, where did it all bring me?

Right back to myself & my bullsh*t.

Flat on my ass, face to the sky. Looking up and taking a breather to finally see the truth and admit to myself something is seriously wrong... and I pose this simple question,

""What am I running from?""

Yup-

it's me.

Not just the raw, unleashed part of me that I shoved down for years... 

but the part of me I HATE so badly for dishonoring & abandoning her, for such a long time. 

This part of me I hate so badly it burns.

So this month, you know what?

I had it.

I forgive myself. 

And that's the mantra, 
morning - noon - & night!

I forgive myself for giving up on my dreams, nearly 10 years ago now, to instead chase money and a guy that I loved.

I forgive myself for blaming him, for using him as the scapegoat as to why I abandoned myself in the first place... when I now realize it was always my choice.

I forgive myself for blowing heavy portions of my income on an empty Miami lifestyle, when I could have used it to fuel my true passions.

I forgive myself for choosing drugs, men, sex, binge eating & Netflix... one too many nights, year after year... when I could have been investing in ME!

But mostly, more than anything-

I forgive myself for n͟o͟t͟ ͟f͟o͟r͟g͟i͟v͟i͟n͟g͟ ͟m͟y͟s͟e͟l͟f͟...

for way too damn long. 

Deep down I knew it was what was needed, and so I avoided it because believe me...

it's pain.

The prolonging only strengthened the pain and so it got harder and harder to face over the years as that gap of procrastination continued to build. It calcified into more and more self-punishment, instead.

But,

I'm here now.
I have had enough.

I'm done running from me.

I forgive her for not feeling safe, and we've decided... it's okay to let her unleash.

We're not gonna be shamed.
We're not gonna be abandoned.

But for sure - 

we may very well be disliked & hated by some.

The pain of staying safe has finally outweighed the pain of being bullied.

𝘍*𝘤𝘬 𝘪𝘵! 𝟮𝟬𝟮𝟱:
the year the scales tipped, 
and I'm FINALLY going all. in. on... 

𝗺𝗲.

...are you?",https://www.linkedin.com/posts/shayrowbottom_march-is-the-month-i-decided-to-forgive-myself-activity-7305634068979695617-OBDA?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE4ybtUBRdwFJ0EDIJFhItHwBDR1cpnZEO0
Shay Rowbottom,shayrowbottom,2025-08-28T16:44:07.163Z,735,90,8,image,"Last summer I got denied buying a 2nd home and ended up moving to the keys.

It was one of the most challenging times of my life.

Psychologically uprooted.

No place to live.

Suddenly alone on an island, with no idea why God led me down here.

To think that same villa I rented last year which I couldn't wait to get out of, a villa in which I had the worst insomnia of my life, detoxed kratom, blew through 3 journals and processed so much while feeling lost and alone...

I'd end up willingly booking again, and coming back to this summer.

Whole different energy.

This island saves me. I think when I'm down here, ""why don't I just stay?"" When we grow up in a certain environment where we know no different, it's a very challenging feat to discover the other side.

For some people it's love they never get. 
For some people it's money they never get.

For me it was safety.

I grew up in extremely psychotic circumstances so that my body never knew what safety felt like. I was likely this way from the womb, taking on the same distorted nervous system and sickness of my mother.

I have always lived my life on high alert. My drug of choice, aside from actual mind-altering substances... has actually always been to C͟O͟N͟T͟R͟O͟L͟.͟

I think things through 500 times, if not more.

I consider the feelings, thoughts, and energy of everyone around me.

I learned to manage it all, take it all on as my responsibility.
I was forced to metabolize everyone else's pain,

but nobody ever held mine.

This island holds it.
This island frees me.

The level of safety and peace I feel down here is like ecstasy. Something I've grown to discover is how we're all meant to live, how all children should feel growing up in the world.

Not constantly thinking about the next game plan, the next move for self preservation, self protection.

Just BEing.

There's no rush here.
No one is angry.

There's no competition.
No one is judging.

You can be the sexiest bikini model alive or a scruffy dude on a boat with a beer belly, either way it doesn't matter. Everyone is treated the same and there's no extra attention on you. It's all love.

I always say, if you have issues with anxiety or need a major nervous system reset, and God willing you do have the privilege...

move to the Keys.

At least for a time - it doesn't have to be forever.

But this place will guide you back to parts of yourself you never even knew were safe to exist.

As my trip comes to a close, I weep. I love my home in Orlando and I'm grateful for my life there, but I do have a prayer and it's constant, ""God, if you want me down here... if this is really where I'm supposed to be... show me how. Make it happen.""

Who knows what the future holds. I suppose it's on me to ground in this nervous system safety, no matter where I physically am in the world. Whether it's the chaos of a big city, or the tranquility of island life...

I do pray I always come back 𝗵𝗲𝗿𝗲 - to this feeling.

& I pray that I carry it with me.",https://www.linkedin.com/posts/shayrowbottom_last-summer-i-got-denied-buying-a-2nd-home-activity-7366873226833993730-QcUC?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoR_n4B7Tst8mXbWcwRqX9Y5na2g3O9Jw4
Shay Rowbottom,shayrowbottom,2025-09-15T20:26:41.791Z,598,79,2,image,"A rare moment and I got all dressed up-

here's what I learned on my Saturday Night Girl's Night:

I'm not ""one of the girls""...
at least not anymore.

It's not that I don't love my friends. It's not that I don't enjoy dressing up, popping on some 6 inch Steve Maddens, rockin' that mini skirt and strutting into a delicious restaurant to wine&dine...

of course I do.

But having been isolated for so long now, away from normal societal ""let's go out"" conditioning, away from drama, away from performances... living lean, alone, (on an island for much of the time even!), makes it really a completely different world when we re-enter some of those ""normalized"" routines of society again.

Like dinner, girls night, alcohol, heels.

Meh-

just not for me.

I couldn't get out of there fast enough to drive to the Kava bar and get my own fix (since I don't do booze), happy to finally just be at a quiet bar, having a present and deep conversation with a young man about his upbringing, past drug addictions, and career goals.

Maybe I'm weird.

But that feels like home.

And to be fair-
I have no regrets!

I like to do both. I love all my friends. All kinds. It's good to tap in and out... but mostly?

30's is about truly knowing yourself, this I am realizing. Your ""yes's"", your ""no's"". 20's is the experimentation phase. 𝘉𝘺 𝘢𝘭𝘭 𝘮𝘦𝘢𝘯𝘴 𝘵𝘳𝘺 𝘦𝘷𝘦𝘳𝘺𝘵𝘩𝘪𝘯𝘨! Even try doing what other people want you to do and being who they need you to be (that's a fun phase to graduate from...)

But eventually, you become so unapologetically comfortable with yourself and what you actually want - you could careless how unusual and weird you may appear.

I guess that's just me.

I got home at 3:30 am - (naughty Kavatender stays open past bar close... whoops)

• Heels off
• Makeup wiped
• Cat hugged
• Sleep 𝘖𝘕! 💤

Yes, it was a late night for Shay. But this is why I love Kratom - no drunk driving and no hangover the next day. Just deep philosophical and cosmic conversations with your local weirdo variety and the Kava joint. And Sunday, I'm back to my athletic self.

The makeup was a nice switch-up though 😉

Have a good week everyone. 🧡",https://www.linkedin.com/posts/shayrowbottom_a-rare-moment-and-i-got-all-dressed-up-activity-7373452221784702976-TRCX?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFmuVAYBpwJNobzRk0sZb4eaoGsaAJVoxmw
