author,slug,total_posts,top_hook_type,top_topic,top_structure,avg_engagement,max_engagement
🦔 james hawkins,james_hawkins,99,Teacher,General,Setup → Punchline,3475.8,11148.0
Nicola Ballotta,nicola_ballotta,85,Teacher,Leadership/Management,Statement → Commentary,525.5,2110.0
Marty Kausas,marty_kausas,85,Teacher,Startup/Founder,Statement → Commentary,2219.7,3573.0
Tony Braun,tony_braun,79,Teacher,Integration/Data,Statement → Commentary,,
Chris Walker,chris_walker,75,Teacher,GTM/Sales,List Post,678.5,3371.0
Jordan Cutler,jordan_cutler,73,Teacher,Engineering/Technical,Listicle/Breakdown,691.7,2239.0
Jordan Crawford,jordan_crawford,63,Teacher,GTM/Sales,Short Punch,101.8,395.0
Kyle Poyar,kyle_poyar,59,Teacher,GTM/Sales,List Post,583.4,2862.0
Dave Gerhardt,dave_gerhardt,53,Teacher,Marketing,List Post,428.1,1981.0
Gregor Ojstersek,gregor_ojstersek,52,Teacher,Engineering/Technical,Listicle/Breakdown,327.1,1137.0
Milan Jovanović,milan_jovanović,48,Teacher,AI/ML/Coding Tools,List Post,681.3,1629.0
Louie Bacaj,louie_bacaj,46,Teacher,Engineering/Technical,Statement → Commentary,768.6,2250.0
Jack Kuveke,jack_kuveke,42,Teacher,VC/Startup investing culture,Setup → Punchline (image),2456.6,17308.0
🌀 Luca Rossi,luca_rossi,40,Teacher,Engineering/Technical,Observation/Opinion,121.2,280.0
Jen Erickson,jen_erickson,38,Teacher,Marketing,Observation/Opinion,22.9,156.0
Alex Xu,alex_xu,37,Teacher,AI/ML/Coding Tools,List Post,3331.1,8497.0
Gergely Orosz,gergely_orosz,36,Teacher,AI/ML/Coding Tools,Observation/Opinion,1414.6,3452.0
