full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"It's the end of an era: I've exited Refine Labs. 

Last week, I sold all my remaining shares in Refine Labs to existing shareholders and a private investment firm for an undisclosed amount.

This marks the close of a chapter in my life and career that I will always look back on with deep appreciation for the journey, pride in what we built, and excitement for what’s next, for both Refine Labs and me. 

When I started Refine Labs from my South Boston apartment in 2019, I had three freelance customers, no employees, and $3,000 in my bank account. No investors. No social media presence. No impressive resume. Just a vision:

-To create the place where future B2B CMOs are forged.
-To design growth systems for the most iconic and emerging brands in SaaS.
-To push the boundaries and move the industry forward.

Refine Labs became exactly that. And far more.

To the current and former Refine Labs team - thank you. You brought the vision to life with relentless excellence, care for our customers, and a commitment to innovation.

To Gaetano DiNardi - co-hosting 100+ live shows together changed the trajectory of this company and helped thousands of GTM pros level up.

To Megan Bowen - your integrity, leadership, and unwavering commitment over the past five years have been the foundation of our culture and growth. Thank you.

To everyone who attended Demand Gen Live, tuned into the podcasts, or followed the journey on LinkedIn: your support has meant so much to me. 

I’m proud of everything we accomplished together. 

Over six years, we partnered with 250+ leading SaaS companies. 

We helped forge a new wave of CMOs who are both strategists and tacticians. 

Refine Labs alumni have gone on to lead Marketing teams at top brands or build companies of their own. 

Thousands of podcast listeners used the insights to get promoted, reimagine their careers, and drive impact in their orgs.

I’m excited for the future, both for me and for Refine Labs. 

Refine Labs will continue to operate and deliver for customers as it always has, with the same team, same leadership, and same customer focus. I’ll be cheering from the sidelines.

And for me, I’m turning the page. A new chapter is beginning. Just like when Refine Labs was only a vision, I’ve started seeing something new for what the future holds and how I can contribute. I’ll share more in time.

For now, I’m just grateful.

To every team member, customer, listener, and supporter—thank you. We made something really special.

The best is yet to come. Here’s to the next era.

-Chris",2726.0,644.0,1,3371.0,5.41,Fortune Teller,AI/Automation,Industry Observation,Story,Text-only,It's the end of an era: I've exited Refine Labs.,"It's the end of an era: I've exited Refine Labs. 

Last week, I sold all my remaining shares in Refine Labs to existing shareholders and a private inv","It's the end of an era: I've exited Refine Labs. 

Last week, I sold all my remaining shares in Refine Labs to existing shareholders and a private inv",https://www.linkedin.com/posts/chriswalker171_its-the-end-of-an-era-ive-exited-refine-activity-7353416803449995267-gLO-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFWDm3kB0Cw_ACze-UU9cNgypS7p65Ff-lw,2025-07-22T13:33:05.820Z,central_outliers_db,1,0,504.2,nacho_gtm_marketing
"CONFIRMED WITH DATA: Paid social lead gen on Facebook & LinkedIn is terribly inefficient and provides very low ROI.

The same thing I’ve been saying for 6 years, now confirmed in a MASSIVE data set.

Metadata released their second B2B advertising benchmark report and the results are….ummmm….not good.

But this is an absolutely groundbreaking data set for B2B companies. Especially given the scale:

$42MM in total advertising spend
236,000 total “leads” collected
And all of the associated downstream data for pipeline & conversion rates

Here’s the breakdown and my analysis of the data set:

1. 90% of advertising dollars were spent on lead gen campaigns ($37MM of $42MM total spend)

This is consistent with what I see in my own analyses of over 100 companies. B2B companies primarily use paid social for lead gen campaigns because of the outdated demand waterfall models & requirements for digital touchpoint-based attribution.

2. “Download” was the most popular CTA indicating that B2B companies are still using paid social to drive downloads of gated PDFs (shhheeeesh!).

The average cost was $126 to get someone to maybe open the PDF.

3. Based on the data, I estimate the lead-to-win % to be 0.3%. That means Sales needs 333 “leads” to win 1 deal, which is terribly inefficient.

This is consistent with what I see in my own analyses - average lead-to-win rate I see is somewhere between 0.1% - 0.2%, meaning Sales needs 500-1000 paid social “leads” to win a deal. The Metadata report is similar and confirms these inefficiencies in a very large sample size.

4. Low cost per lead does not indicate actual success.

The average cost per “lead” was $172 across all lead gen campaigns. But given the very very very low win rate of these leads, we estimate advertising CAC to be $57,000 to win one deal. This is just the advertising cost and doesn’t include Sales headcount, SDRs, marketing headcount, or other marketing programs such as events. It’s safe to say this performance is totally unacceptable.

5. Estimated advertising CAC payback period is estimated to be 21 months.

$38MM in total advertising spend on lead gen campaigns resulting in $22MM in closed won revenue.

This is just the advertising cost and doesn’t include Sales headcount, SDRs, marketing headcount, or other marketing programs such as events. When you include all the other expenditures, you could reasonably estimate the total CAC payback on these programs is more than 48 months (meaning it takes 4 years just to pay back the cost of acquiring the customer, not adjusted for gross margin)

____

There is FINALLY sufficient data to say definitively that almost all B2B companies should STOP running lead gen campaigns on LinkedIn & Facebook.

#marketing #advertising #linkedin #b2b

p.s. This is in no way meant to be misconstrued as a knock on Metadata. They published a public data set and I’m providing my expert analysis of the data, specifically related to lead gen campaigns on paid social channels.",875.0,197.0,44,1116.0,1.74,Experimenter,Marketing,Industry Observation,List Post,Text-only,CONFIRMED WITH DATA: Paid social lead gen on Facebook & LinkedIn is terribly inefficient and provide,"CONFIRMED WITH DATA: Paid social lead gen on Facebook & LinkedIn is terribly inefficient and provides very low ROI.

The same thing I’ve been saying f","CONFIRMED WITH DATA: Paid social lead gen on Facebook & LinkedIn is terribly inefficient and provides very low ROI.

The same thing I’ve been saying f",https://www.linkedin.com/posts/chriswalker171_marketing-advertising-linkedin-activity-7193231760950718464-8GPQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACvfqDkBwAMJeVXyKg234H8-yBYMOKl23bo,2024-05-06T12:54:55.594Z,central_outliers_db,8,0,504.2,nacho_gtm_marketing
"What’s seen as glamorous and impressive on this platform will be known as toxic and destructive within 10 years.  

Things that are celebrated on this platform as “impressive”:

-Raising tons of money
-Hacking the algorithm for likes and followers 
-Bragging about your MRR or metrics to look “successful” 
-Pretending to be generous by giving away your e-book or AI workflow when you’re actually manipulating people 
-Grinding for 80+ hours a week chasing external validation
-Getting rich while bankrupting your health, relationships, creativity, and peace of mind

Things that are actually impressive: 

-Showing up with pure intentions
-Waking up every day and genuinely loving your life 
-Holding empowering beliefs about yourself and others 
-Knowing who you are and following that authentically 
-Doing “work” that fuels you instead of drains you 
-Building on your terms, from clarity instead of control and urgency
-Trusting your intuition and doing what’s right for you 

__

In the 1950s, cigarettes were seen as stylish and glamorous. Every Hollywood star and celebrity was lighting up. Now we know better.

The things this platform celebrates as glamorous are just as destructive, but now it’s your mental health, your purpose, and your freedom that are at risk.

I had to learn these lessons the hard way. You don’t have to. 

Don’t mistake what’s “popular” for what’s right.",854.0,224.0,15,1093.0,1.69,Fortune Teller,AI/Automation,Industry Observation,Observation/Opinion,Text-only,What’s seen as glamorous and impressive on this platform will be known as toxic and destructive with,"What’s seen as glamorous and impressive on this platform will be known as toxic and destructive within 10 years.  

Things that are celebrated on this","What’s seen as glamorous and impressive on this platform will be known as toxic and destructive within 10 years.  

Things that are celebrated on this",https://www.linkedin.com/posts/chriswalker171_whats-seen-as-glamorous-and-impressive-on-activity-7364298641798283269-SCi8?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFWDm3kB0Cw_ACze-UU9cNgypS7p65Ff-lw,2025-08-21T14:13:38.257Z,central_outliers_db,9,0,504.2,nacho_gtm_marketing
"It’s been 90 days since I’ve had a drink of alcohol, and I feel superhuman. 

I’ve tracked my performance and habits for more than 5 years using WHOOP and in my data it’s super clear:

Alcohol is one of the worst things you can do to limit your performance - both physically and mentally. 

There’s a shift happening in Austin, TX and I’m sure it’s happening in other parts of the World as well, where lots of people are choosing to abstain from alcohol. 

There’s starting to be less of a negative stigma around not drinking alcohol, thankfully. It's crazy that for so long it's been socially weird to *not* drink alcohol, despite the clear, obvious data about the negative effects. 

In the business World and in lots of B2B companies I’ve worked at before, “Culture” revolves around alcohol. 

Let’s get everyone drunk at Sales Kickoff so people can bond. 

Let’s have a networking event at a bar. 

Let’s do a happy hour for business development. 

Let’s all go out to the club in Vegas and then be hungover in the tradeshow booth all day tomorrow. 

Hopefully more companies and the business World at large start to shift away from this outdated social norm. 

__

I'm not sure this is a forever thing for me, but it's definitely working for me right now. 

When I make changes in my life and start to feel a lot of positive momentum, I always keep it going. 

Lots of people say the positive effects continue to grow the longer you abstain from alcohol. I'll continue to report back on my own personal experience. 

Anyone else trying this? Seeing this shift? What's been your experience? 

It feels like this is a topic we need more on LinkedIn and in business generally. 

#b2b #alcohol #whoop #performance 

p.s. soda water with lime tastes just as good as a tequila soda lime 🙂",799.0,262.0,8,1069.0,1.58,Experimenter,AI/Automation,Data/Numbers,Story,Text-only,"It’s been 90 days since I’ve had a drink of alcohol, and I feel superhuman.","It’s been 90 days since I’ve had a drink of alcohol, and I feel superhuman. 

I’ve tracked my performance and habits for more than 5 years using WHOOP","It’s been 90 days since I’ve had a drink of alcohol, and I feel superhuman. 

I’ve tracked my performance and habits for more than 5 years using WHOOP",https://www.linkedin.com/posts/chriswalker171_b2b-alcohol-whoop-activity-7182014897629659136-TWNv?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFuSvOYB_jBbPAPzpya-N-HC_DUVe3hldzQ,2024-04-05T14:03:06.979Z,idea_legos_nacho,56,0,504.2,
"Here’s how our 3-person Marketing team puts out more content every day than most $100MM companies put out in a month:

1. Commit

You must be committed to executing on the right activities for a sustained period of time. Most companies fail at this because they do 3 podcasts & give up when they don’t get any “leads”.

2. Identify Your Subject Matter Expert(s)

Provide forward-thinking, relevant information that your buyers *want*. Most B2B marketing content doesn’t hit because the person creating the content isn't an expert and doesn’t deeply understand the buyer.

3. Content Creation Framework

Put pillars in the ground that help you create content on a recurring basis. Example: we host Tik Tok Live every Tuesday and bi-weekly live Revenue Strategy events. These pillars create raw content. We have 3 total recurring pillars.

4. Post-Production framework

Create a framework to *quickly* edit raw long-form content & optimize it for each distribution channel. We publish recorded content within 24 hours, while big companies take 3 months to do the same thing.

5. *Effective* Multi-Channel Distribution

Content makes ZERO impact if your buyers don’t *consume* it. You must spend a lot of time in the DETAILS on each channel listening & engaging.

__

Strategize -> Create -> Post-Produce -> Distribute -> Listen -> Repeat

#marketing #b2b #demand #gtm #content

Bonus: Use Hatch for the best quality and most cost-efficient post-production framework to take your raw video content assets and optimize them for distribution across every dark social channel (LinkedIn, Podcast, YouTube, Tik Tok, Instagram, and more) ✌️",870.0,104.0,29,1003.0,1.73,Teacher,Marketing,Data/Numbers,List Post,Text-only,Here’s how our 3-person Marketing team puts out more content every day than most $100MM companies pu,"Here’s how our 3-person Marketing team puts out more content every day than most $100MM companies put out in a month:

1. Commit

You must be committe","Here’s how our 3-person Marketing team puts out more content every day than most $100MM companies put out in a month:

1. Commit

You must be committe",https://www.linkedin.com/posts/chriswalker171_marketing-b2b-demand-activity-7190705839706378240-o1Nw?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACvfqDkBwAMJeVXyKg234H8-yBYMOKl23bo,2024-04-29T13:37:49.040Z,idea_legos_nacho,48,0,504.2,
"In early 2019, I started calling out how badly the “lead gen” Marketing model was working. Tons of smart, experienced people argued with me and told me I was an idiot. 

5 years later, it’s common knowledge that most high-volume lead gen Marketing models are ineffective, inefficient, and not financially viable. 

I knew for sure it wasn’t working because I had analyzed 20+ B2B company’s CRM data and saw the same consistent pattern at every one:

1. 90%+ of Marketing program budgets spent on Lead Generation strategies 
2. Marketing gets thousands of MQLs and celebrates $100 cost per “lead” 
3. “Leads” convert to customers at 0.1% 
4. 1,000 SDR follow up cadences to Close 1 deal 
5. 5-10+ year CAC payback periods 

IT WAS OBVIOUS. 

But nobody had taken the time and critical thinking to look at the data this way across a broad range of companies to see the clear, obvious pattern. 

It took YEARS for smart people to understand the nuances of my message. Thousands of people changed their careers and lives by recognizing the opportunity early and taking action. Others lagged behind for years. And now 5 years later everyone sees it as common knowledge.

____

And at this moment right now, the same thing is happening. 

At Passetto, we’ve analyzed 50+ B2B companies' CRM, revenue, and financial data. 

The traditional GTM model is broken - super inefficient and entirely unsustainable. But the METRICS companies use blind them to this reality. And the METRICS companies use unknowingly keep them handcuffed to this broken model - decimating growth rate, GTM Efficiency, and enterprise value creation. 

And again, smart, experienced people are criticizing my message and disparaging me for it without taking the 30 minutes to understand my message and all of the supporting data. 

IT’S OBVIOUS. 

The only way to fix it is to change the GTM KPI stack and the Financial Planning process. Which then drives organizational alignment, investment allocation, and department-level accountability downstream. 

I’ve seen this story before. 

Maybe it will take 6 months, 12 months, or a few years for everyone to see this reality. But in a few short years, this will also be common knowledge :) 

#finance #b2b #gtm #gotomarket #marketing",814.0,126.0,16,956.0,1.61,Teacher,Marketing,Personal Experience,List Post,Text-only,"In early 2019, I started calling out how badly the “lead gen” Marketing model was working. Tons of s","In early 2019, I started calling out how badly the “lead gen” Marketing model was working. Tons of smart, experienced people argued with me and told m","In early 2019, I started calling out how badly the “lead gen” Marketing model was working. Tons of smart, experienced people argued with me and told m",https://www.linkedin.com/posts/chriswalker171_finance-b2b-gtm-activity-7249042404580720643-kppy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD8GrLcBE7ciJJbphgPJwGu7ksT3ZWLXliQ,2024-10-07T13:06:29.947Z,idea_legos_nacho,52,0,504.2,
"Unpopular Opinion: You can clearly determine how well your Marketing is ""working"" without ever looking at attribution. 

And the way to get there is by focusing on *business KPIs* 

TTM Growth Rate %
GTM Efficiency % 
Total Pipeline Created
Total Investment to Create Pipe 
Pipeline Opp Win Rate 
Investments to Create Pipe : Total Pipe Created

And boom: you'll get a clear picture that aligns everyone in GTM on the current performance and historical trends. 

Example $100MM ARR SaaS Company:

Growth rate: 24% (decent growth)
GTM Efficiency: 428% (highly inefficient)
Total Pipe Created: $48MM
Total Investment to Create Pipe: $27.6MM
Pipeline Opp Win Rate: 8% (down from 12% YoY)
Pipeline:Spend Ratio : $1.74 (really bad) 

You don't need to build a multi-touch attribution report. Or split the credit between ""Inbound"" and ""Outbound"". Or debate how much ""brand value"" is created from all the trade show booths. None of it. 

This performance is abysmal and unsustainable. If continued for several more years, this company will undoubtedly crash and burn. Alarms should have been going off at the Exec level and Board level for the past 4+ quarters. 

Yet, the Marketing QBR reports show increasing MQL performance, great cost/MQL, and an overly complicated influenced revenue report that shows how well everything is working (yet nobody really understands). 

All of the Marketing reports are built by Managers and Directors who have little to no visibility into the broader business context - that growth is slowing and CAC has inflated by almost 3X in the past 6 quarters. 

__

As a Finance or GTM Executive, you cannot rely on bottoms-up department-level reporting to build and optimize your GTM. Instead, you *must*:

1. Align on a Unified set of GTM KPIs that don't rely on attribution 
2. Start with Investor Level & Financial Level KPIs, particularly growth rate and GTM Efficiency % 
3. Break the investments and performance down across the customer lifecycle (not by the GL / Dept code) 
4. Analyze the performance, historical trends, and unit economics across each core phase of the customer lifecycle. 
5. Rapidly identify the biggest issues and opportunities to unlock growth and ROI.
6. Map and track strategic priorities against BUSINESS KPIs (not attribution)

Then, with all of this BUSINESS CONTEXT. You can start to run custom diagnostics with W-shaped attribution, or linear, or signal-based, or sliced by GEO / segment / vertical or anything else to answer specific questions you have based on the business KPIs. 

Always look at attribution data with a purpose based on business-level KPIs. 

#finance #b2b #sales #marketing #gtm

__

p.s. I know some people will misinterpret this message, so I'm proactively clarifying: I've never told people not to use attribution tools. Instead, I've always been vocal and communicated the clear patterns of problems B2B companies run into based on how they use these tools and data. It's a process problem, not a technology problem.",786.0,149.0,13,948.0,1.56,Contrarian,GTM/Sales,Contrast/But,List Post,Text-only,"Unpopular Opinion: You can clearly determine how well your Marketing is ""working"" without ever looki","Unpopular Opinion: You can clearly determine how well your Marketing is ""working"" without ever looking at attribution. 

And the way to get there is b","Unpopular Opinion: You can clearly determine how well your Marketing is ""working"" without ever looking at attribution. 

And the way to get there is b",https://www.linkedin.com/posts/chriswalker171_finance-b2b-sales-activity-7234560901083717632-Cxaa?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGLoUGQBRT5ZviEg8hAIca0e3yUXFWAvSdI,2024-08-28T14:02:10.460Z,idea_legos_nacho,59,0,504.2,
"Google paid search ads are often by far the largest expense across the entire Marketing budget and simultaneously one of the lowest performing investments when scrutinized against ROI. 

It boggles my mind that CFOs and CEOs are not putting more scrutiny on these massive Marketing expenditures. 

#marketing #advertising #googleads #finance #b2b",763.0,154.0,26,943.0,1.51,Teacher,Marketing,Framework/How-To,Observation/Opinion,Text-only,Google paid search ads are often by far the largest expense across the entire Marketing budget and s,Google paid search ads are often by far the largest expense across the entire Marketing budget and simultaneously one of the lowest performing investm,Google paid search ads are often by far the largest expense across the entire Marketing budget and simultaneously one of the lowest performing investm,https://www.linkedin.com/posts/chriswalker171_marketing-advertising-googleads-activity-7225900925415047168-1eCb?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAt_JwsBA5FQptylIAREHje_475muw58sRI,2024-08-04T16:30:31.366Z,idea_legos_nacho,64,0,504.2,
"Should we publish our pricing on our website?

B2B companies come up with a million excuses and objections about why not to do it:

“We need our rep to talk to the customer to ‘provide value’ first before we tell them the price.”

“If we publish pricing on our website, our competitors will find out and undercut us.” (lol as if your competitors can’t figure out your pricing on their own)

“Our pricing is way too complicated. If we publish it, our customers will get confused and won’t talk to our Sales team.”

And a million different iterations of these objections and excuses that are all about the company and nothing about the customer. Every excuse has everything to do with what you want and zero to do with what the customer wants.

__

The most black & white way to address this at your company - which is exactly what I did in 2017 - was I ran a survey to all the decision makers at our Tier 1 & Tier 2 accounts.

One of the questions was: When buying XYZ technology, what steps in your buying process would you like to accomplish *before* you talk to a Sales representative?

More than 600 total accounts responded.

93% of the respondents said they want to know the price before they talk with a Sales rep.

There it is. Simple. 600 decision makers at target accounts telling you exactly how they want to buy. Are you going to listen to your customers or are you going to be selfish and only think about what you want?

It’s black and white. If you ask your target customers the exact same question, you would get the exact same answer.

If you’re customer-centric, it’s obvious you would publish pricing on your website.

#marketing #b2b #sales #gtm

p.s. Bulk procurement companies like Vendr continue to gain market traction because B2B companies are so selfish in their direct Sales motion.

Buyers would rather just go to a company like this than go through the dog & pony show of BANT qualification with a 22-year old, then see a canned demo 2 weeks later, then need to haggle with a rep for 15% off list price. By the time they’re done, it’s been 10 weeks to buy a $40k/year SaaS tool.

Instead, they’ll go to Vendr and get the best price w/o any of the nonsense. And the B2B company will take a 30-45% cut on margin between discounting & referral fees, all because they refuse to be customer-centric in their Sales process.

The traditional “best practices” for B2B go-to-market motions are completely misaligned with what a modern B2B buyer wants today.",757.0,120.0,33,910.0,1.5,Teacher,Pricing/Monetization,Framework/How-To,Observation/Opinion,Text-only,Should we publish our pricing on our website?,"Should we publish our pricing on our website?

B2B companies come up with a million excuses and objections about why not to do it:

“We need our rep t","Should we publish our pricing on our website?

B2B companies come up with a million excuses and objections about why not to do it:

“We need our rep t",https://www.linkedin.com/posts/chriswalker171_marketing-b2b-sales-activity-7183462398731644928-JJvz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACvfqDkBwAMJeVXyKg234H8-yBYMOKl23bo,2024-04-09T13:54:58.135Z,idea_legos_nacho,65,0,504.2,
"Basically every B2B company is questioning their BDR/SDR strategy right now. 

Because the mass manufacturing strategy of MORE Leads, MORE SDR Headcount, and MORE Spam Cannons have created an inefficiency spiral:

Need More ""leads"" -> Lower conversion -> Inflated Costs -> Repeat. 

The cycle has spiraled out of control to a level where it now costs a B2B company 2-5X more money to acquire $1 in incremental ARR. 

The ""Predictable Revenue"" model has become entirely unsustainable.  

__

I'm old enough to remember what “Business Development” used to look like before the Predictable Revenue model came on the scene in the early 2010’s. 

Business Development teams were small teams of experienced professionals who:

-Have strong business acumen and executive presence

-Have strong domain expertise and industry experience

-Have strong connections in the industry and are respected in the industry 

-Focused on developing relationships & opportunities in large, strategic accounts (partners, Tier 1 accounts, OEMs, new markets/verticals)

-Leverage an integrated combination of physical events, in person meetings, and inside sales activities to create and close big opportunities 

-Compensated and incentivized based on creating and closing REVENUE

But here we are in 2024, and the Predictable Revenue model that has become an ""industry standard"" in tech & SaaS is cracking like cheap glass:

-Inexperienced people who don’t have strong business acumen or executive presence

-No domain expertise or industry knowledge

-No connections in the industry or awareness in the industry

-Focused often on chasing around small accounts & small deals where the SDR role just dramatically increases CAC to untenable levels 

-Only leverage inside sales using spam cannon technology to flood buyers with unpersonalized, irrelevant digital messaging asking for meetings 

-Compensated and incentivized to book meetings and hit a volume of “activities” 

____

It's pretty simple to see why the current ""industry standard"" is falling short for B2B companies, and more importantly, for their customers. 

In the future, we’re going to see a big change to how “Business Development” works in B2B companies. 

We’re going to go back to basics. Back to the fundamentals. 

Where experienced, respected, highly competent people leverage an integrated approach to develop and close new opportunities with high-value accounts. 

And a lot of the low value work done by inexperienced people to low value accounts will be automated and removed by AI. 

Time to go back to basics. 

#marketing #b2b #finance #gtm #sdr

P.s. this isn’t ambulance chasing. I'm not saying every SDR role is going away tomorrow. But what is clear as day across all functions in business is that low value work done by inexperienced people that isn’t customer centric, will over time be removed by AI.",705.0,169.0,29,903.0,1.4,Teacher,GTM/Sales,Framework/How-To,Observation/Opinion,Text-only,Basically every B2B company is questioning their BDR/SDR strategy right now.,"Basically every B2B company is questioning their BDR/SDR strategy right now. 

Because the mass manufacturing strategy of MORE Leads, MORE SDR Headcou","Basically every B2B company is questioning their BDR/SDR strategy right now. 

Because the mass manufacturing strategy of MORE Leads, MORE SDR Headcou",https://www.linkedin.com/posts/chriswalker171_marketing-b2b-finance-activity-7227311174126645248-dHdn?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGLoUGQBRT5ZviEg8hAIca0e3yUXFWAvSdI,2024-08-08T13:54:20.860Z,idea_legos_nacho,78,0,504.2,
