full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook_text,hook_visual,_source
I’ll know I’ve made it when 50% of the founders I invest in end up on this list: |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf,16951,277,80,17308.0,,Magician,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,I’ll know I’ve made it when 50% of the founders I invest in end up on this list: |  | #startups #venturecapital #memes  |  | Subscribe to my newslette,I’ll know I’ve made it when 50% of the founders I invest in end up on this list: |  | #startups #venturecapital #memes  |  | Subscribe to my newslette,I’ll know I’ve made it when 50% of the founders I invest in end up on this list: #startups #venturecapital #memes,Satirical meme image,top_50_kallaway
When your CEO says a feature will be ready Q1 next year and it’s December 28th. |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf,4845,199,69,5113.0,,Teacher,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,When your CEO says a feature will be ready Q1 next year and it’s December 28th. |  | #startups #venturecapital #memes |  | Subscribe to my newsletter ,When your CEO says a feature will be ready Q1 next year and it’s December 28th. |  | #startups #venturecapital #memes |  | Subscribe to my newsletter,When your CEO says a feature will be ready Q1 next year and it’s December 28th. #startups #venturecapital #memes,Relatable reaction image/meme,top_50_kallaway
VCs: “I invested in a cutting edge AI startup” |  | The startup:  |  | #staetups #venturecapital #memes |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf,3754,239,74,4067.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,VCs: “I invested in a cutting edge AI startup” |  | The startup:  |  | #staetups #venturecapital #memes |  | Subscribe to my newsletter for more memes,VCs: “I invested in a cutting edge AI startup” |  | The startup:  |  | #staetups #venturecapital #memes |  | Subscribe to my newsletter for more memes,VCs: “I invested in a cutting edge AI startup” The startup:,Tech culture meme/screenshot,top_50_kallaway
"Building a startup is hard when you’ve been paid $584k/year to play office ping pong and write code 6 hours/week.  |  | Ex-Googler: “I thought I could Google how to build an AI company, but the search results only showed me how to sell meth on market street”.  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for unhinged startup satire: https://lnkd.in/ekGih-Hf",2739,245,52,3036.0,,Magician,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,Building a startup is hard when you’ve been paid $584k/year to play office ping pong and write code 6 hours/week.  |  | Ex-Googler: “I thought I could,Building a startup is hard when you’ve been paid $584k/year to play office ping pong and write code 6 hours/week.  |  | Ex-Googler: “I thought I could,"Building a startup is hard when you’ve been paid $584k/year to play office ping pong and write code 6 hours/week. Ex-Googler: “I thought I could Google how to build an AI company, but the search resul",Satirical meme image,top_50_kallaway
I just invested in a startup with the best team I’ve ever seen:  |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for dank memes & startup satire: https://lnkd.in/ekGih-Hf,2556,407,27,2990.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,I just invested in a startup with the best team I’ve ever seen:  |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for dank memes,I just invested in a startup with the best team I’ve ever seen:  |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for dank memes,I just invested in a startup with the best team I’ve ever seen: #startups #venturecapital #memes,Satirical meme image,top_50_kallaway
"Next time a LinkedIn influencer tries to sell you an ebook, send them this: |  | Subscribe to my newsletter for the funniest business and tech news: https://lnkd.in/ekGih-Hf",2814,127,45,2986.0,,Teacher,LinkedIn culture critique,Shareable callout,Setup → Punchline (image),Meme with extended caption,"Next time a LinkedIn influencer tries to sell you an ebook, send them this: |  | Subscribe to my newsletter for the funniest business and tech news: h","Next time a LinkedIn influencer tries to sell you an ebook, send them this: |  | Subscribe to my newsletter for the funniest business and tech news: h","Next time a LinkedIn influencer tries to sell you an ebook, send them this: Subscribe to my newsletter for the funniest business and tech news: https://lnkd.in/ekGih-Hf",LinkedIn-specific satirical image,top_50_kallaway
VCs: “I invested in a cutting edge AI startup”. |  | The startup:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for memes & unhinged startup satire: https://lnkd.in/ekGih-Hf,2710,169,52,2931.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,VCs: “I invested in a cutting edge AI startup”. |  | The startup:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for memes & u,VCs: “I invested in a cutting edge AI startup”. |  | The startup:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for memes & u,VCs: “I invested in a cutting edge AI startup”. The startup:,Tech culture meme/screenshot,top_50_kallaway
"7 years ago, I stopped going to coffee shops & started making coffee at home.  |  | I ended up saving $5 a day. That’s: | -$25 a week | -$100 a month  | -$1200 a year  | - $8500 over 7 years |  | I took that $8,500 and invested into WeWork, FTX, and Bolt. Now it's worth 0.  |  | I should have invested in unprofitable AI startups.  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more unhinged startup satire & memes: https://lnkd.in/ekGih-Hf",2503,211,20,2734.0,,Magician,VC/Startup investing culture,Insider satire/critique,Listicle/Breakdown,Meme with extended caption,"7 years ago, I stopped going to coffee shops & started making coffee at home.  |  | I ended up saving $5 a day. That’s: | -$25 a week | -$100 a month ","7 years ago, I stopped going to coffee shops & started making coffee at home.  |  | I ended up saving $5 a day. That’s: | -$25 a week | -$100 a month","7 years ago, I stopped going to coffee shops & started making coffee at home. I ended up saving $5 a day. That’s:",Satirical meme image,top_50_kallaway
Big tech employees: “I’m gonna quit my $200k job and work at a startup” |  | 6 months into working at a startup:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/em99Rn5u,2315,267,40,2622.0,,Magician,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,Big tech employees: “I’m gonna quit my $200k job and work at a startup” |  | 6 months into working at a startup:  |  | #startups #venturecapital #meme,Big tech employees: “I’m gonna quit my $200k job and work at a startup” |  | 6 months into working at a startup:  |  | #startups #venturecapital #meme,Big tech employees: “I’m gonna quit my $200k job and work at a startup” 6 months into working at a startup:,Satirical meme image,top_50_kallaway
I just invested in a startup with the best team I’ve ever seen:  |  |  | Subscribe to my newsletter for the funniest business and world news: https://lnkd.in/ekGih-Hf,2050,323,21,2394.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,I just invested in a startup with the best team I’ve ever seen:  |  |  | Subscribe to my newsletter for the funniest business and world news: https://,I just invested in a startup with the best team I’ve ever seen:  |  |  | Subscribe to my newsletter for the funniest business and world news: https://,I just invested in a startup with the best team I’ve ever seen: Subscribe to my newsletter for the funniest business and world news: https://lnkd.in/ekGih-Hf,Satirical meme image,top_50_kallaway
