full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"Excited to share that I started a new gig at Alteryx! If you know of an exceptional digital marketing manager, please share with your network!",132.0,21.0,3.0,156.0,11.2,Magician,Marketing,Personal Experience,Short Punch,Text-only,Excited to share that I started a new gig at Alteryx! If you know of an exceptional digital marketin,"Excited to share that I started a new gig at Alteryx! If you know of an exceptional digital marketing manager, please share with your network!","Excited to share that I started a new gig at Alteryx! If you know of an exceptional digital marketing manager, please share with your network!",https://www.linkedin.com/posts/activity-6995815197219139584-F7O_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEmMmO0BWsD-Oz8X6YbEyzFVCRXxVqdk1-M,2022-11-08T18:31:58.978Z,central_outliers_db,16.0,0.0,11.8,nacho_gtm_marketing
"Alteryx is Hiring!! 
I’m incredibly excited to be hiring a West Field Marketer to help bring Alteryx stories to life in the field— partnering closely with sales, building strong regional programs, and showing up where our customers are!

This role is a great fit for someone who:
-Loves blending strategy with hands-on execution
-Thrives in fast-paced, collaborative environments
-Enjoys events, campaigns, and turning ideas into impact
-Is comfortable rolling up their sleeves and being in the field

If you’re a field marketer looking for your next opportunity—or know someone who would be a great fit—I’d love to connect. Feel free to comment, message me, or share with your network!

https://lnkd.in/gibmcrai

#Hiring #Alteryx #FieldMarketing #MarketingJobs #NowHiring",66.0,3.0,2.0,71.0,5.6,Magician,GTM/Sales,Industry Observation,Observation/Opinion,Text-only,Alteryx is Hiring!!,"Alteryx is Hiring!! 
I’m incredibly excited to be hiring a West Field Marketer to help bring Alteryx stories to life in the field— partnering closely ","Alteryx is Hiring!! 
I’m incredibly excited to be hiring a West Field Marketer to help bring Alteryx stories to life in the field— partnering closely ",https://www.linkedin.com/posts/activity-7417589801509646337-vLt-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRXRsIB9zu2az4kk3iUiGhojRxbcoUkI6g,2026-01-15T15:33:40.834Z,central_outliers_db,21.0,0.0,11.8,nacho_gtm_marketing
"I'm hoping some of you have great contacts in Minneapolis/St. Paul!! I'm on the board for a great organization that works on finding adoptive families for the 700+ foster kids waiting for forever families in Minnesota.  We need some new professional, eager board members!! This is an amazing opportunity to be part of building an extraordinary board for a good cause.

So if you think of someone in your network OR you're interested in more information, please message me! 

mnadopt.org 
#zerokidswaiting #mnadopt #fosteradoption #adoption #networking 

Chris Tiedeman Ryan Miles Cathy Bruer-Thompson Steve Rudolph
Tony Porter Rachel Flanders",32.0,24.0,4.0,60.0,2.71,Teacher,AI/Automation,Framework/How-To,Observation/Opinion,Text-only,I'm hoping some of you have great contacts in Minneapolis/St. Paul!! I'm on the board for a great or,I'm hoping some of you have great contacts in Minneapolis/St. Paul!! I'm on the board for a great organization that works on finding adoptive families,I'm hoping some of you have great contacts in Minneapolis/St. Paul!! I'm on the board for a great organization that works on finding adoptive families,https://www.linkedin.com/posts/activity-6389920662152110080-5TH9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE1jEroBXVQroah12Q0MnFlbqVYMLVbDvYo,2018-04-11T19:43:24.842Z,central_outliers_db,22.0,0.0,11.8,nacho_gtm_marketing
"Hey everyone! 
Excited to announce that we have an opening on my team for a Senior Partner Marketing Manager at Alteryx. If you love working with partners and building impactful marketing programs, please check it out!

Apply for the remote, US based role here: https://lnkd.in/g4cJrtKm

Feel free to share or reach out if you know someone who’d be a great fit!",36.0,3.0,3.0,42.0,3.05,Magician,Marketing,Industry Observation,Observation/Opinion,Text-only,Hey everyone!,"Hey everyone! 
Excited to announce that we have an opening on my team for a Senior Partner Marketing Manager at Alteryx. If you love working with part","Hey everyone! 
Excited to announce that we have an opening on my team for a Senior Partner Marketing Manager at Alteryx. If you love working with part",https://www.linkedin.com/posts/activity-7311036798887940096-yft_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEYuRq4B9-LHVHgt8VTlikNdoR6B1y4fBCM,2025-03-27T14:50:05.350Z,idea_legos_nacho,18.0,0.0,11.8,
Know of an extraordinary paid search manager looking for an opportunity to be part of a REALLY fun team at Alteryx? Please share and Happy Holidays everyone!,26.0,0.0,3.0,29.0,2.21,Experimenter,AI/Automation,Industry Observation,Question/Engagement,Text-only,Know of an extraordinary paid search manager looking for an opportunity to be part of a REALLY fun t,Know of an extraordinary paid search manager looking for an opportunity to be part of a REALLY fun team at Alteryx? Please share and Happy Holidays ev,Know of an extraordinary paid search manager looking for an opportunity to be part of a REALLY fun team at Alteryx? Please share and Happy Holidays ev,https://www.linkedin.com/posts/activity-7274522133140008960-onFu?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEmMmO0BWsD-Oz8X6YbEyzFVCRXxVqdk1-M,2024-12-16T20:33:50.626Z,idea_legos_nacho,27.0,0.0,11.8,
"DocuSign is hiring! Know any Associate Marketing Managers, Marketing Managers, or Senior Marketing Managers who are looking to work for a company who prides itself in great company culture? Message me people!",22.0,2.0,5.0,29.0,1.87,Teacher,Marketing,Framework/How-To,Question/Engagement,Text-only,"DocuSign is hiring! Know any Associate Marketing Managers, Marketing Managers, or Senior Marketing M","DocuSign is hiring! Know any Associate Marketing Managers, Marketing Managers, or Senior Marketing Managers who are looking to work for a company who ","DocuSign is hiring! Know any Associate Marketing Managers, Marketing Managers, or Senior Marketing Managers who are looking to work for a company who ",https://www.linkedin.com/posts/activity-6376913301498064896-o8_l?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE1jEroBXVQroah12Q0MnFlbqVYMLVbDvYo,2018-03-06T22:16:48.397Z,idea_legos_nacho,43.0,0.0,11.8,
"If you're in town September 18th, The Data & AI Roadshow is coming to New York City- register now! 

We’re bringing The Alteryx One: Data & AI Roadshow to New York City, home to some of the world’s most influential financial institutions.

This stop is sponsored by our partner The Information Lab US. 

Hear from Jawwad Rasheed and connect with peers in banking, insurance, FinTech, and credit unions. See how leaders are modernizing analytics, automating decisions, and building trusted AI.

Register: https://ow.ly/rlB330sPbr8

#AlteryxRoadshow",18.0,2.0,0.0,20.0,1.53,Contrarian,Marketing,Personal Experience,Observation/Opinion,Text-only,"If you're in town September 18th, The Data & AI Roadshow is coming to New York City- register now!","If you're in town September 18th, The Data & AI Roadshow is coming to New York City- register now! 

We’re bringing The Alteryx One: Data & AI Roadsho","If you're in town September 18th, The Data & AI Roadshow is coming to New York City- register now! 

We’re bringing The Alteryx One: Data & AI Roadsho",https://www.linkedin.com/posts/activity-7368695782406832129-gpxi?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD7yo78B760w1OzXX2HFGNqUYGS32K3evyU,2025-09-02T17:26:18.273Z,idea_legos_nacho,61.0,0.0,11.8,
DocuSign Marketing is hiring! Send me resumes for the rockstars in your network!  https://lnkd.in/eUNEaWc #marketing #workofyourlife  #docusign,14.0,1.0,0.0,15.0,1.19,Teacher,Marketing,Framework/How-To,Short Punch,Text-only,DocuSign Marketing is hiring! Send me resumes for the rockstars in your network!  https://lnkd.in/eU,DocuSign Marketing is hiring! Send me resumes for the rockstars in your network!  https://lnkd.in/eUNEaWc #marketing #workofyourlife  #docusign,DocuSign Marketing is hiring! Send me resumes for the rockstars in your network!  https://lnkd.in/eUNEaWc #marketing #workofyourlife  #docusign,https://www.linkedin.com/posts/activity-6589572636555165696-wmOH?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE1jEroBXVQroah12Q0MnFlbqVYMLVbDvYo,2019-10-14T18:09:04.894Z,idea_legos_nacho,111.0,0.0,11.8,
"Alteryx Inspire 2026 registration is officially open! 

We’re heading back to the east coast for the first time in 5 years. Join us May 18–21, 2026, at the JW Marriott Grande Lakes in Orlando for the analytics event of the year. 

✨ Get inspired by keynote speakers, hands-on training, and breakout sessions 
🤝 Connect with the Alteryx community 
🚀 Explore the latest innovations in automation and AI 

Level up your experience with our 2-day training pass for expert-led, hands-on learning to master workflows and maximize impact. 

Tickets are limited — register today to save your spot: https://ow.ly/1Pmh30sSqMt 

#AlteryxInspire",14.0,0.0,0.0,14.0,1.19,Fortune Teller,AI/Automation,Industry Observation,Observation/Opinion,Text-only,Alteryx Inspire 2026 registration is officially open!,"Alteryx Inspire 2026 registration is officially open! 

We’re heading back to the east coast for the first time in 5 years. Join us May 18–21, 2026, a","Alteryx Inspire 2026 registration is officially open! 

We’re heading back to the east coast for the first time in 5 years. Join us May 18–21, 2026, a",https://www.linkedin.com/posts/activity-7414740020424716288-1F9r?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRXRsIB9zu2az4kk3iUiGhojRxbcoUkI6g,2026-01-07T18:49:40.077Z,idea_legos_nacho,109.0,0.0,11.8,
"The Alteryx One: Data & AI Roadshow is coming to Chicago!  

This event is tailor-made for data leaders, analysts, and AI enthusiasts who want to know how unified data access turns cloud platforms into smart business engines.   

Don’t miss your chance to network with Chicago's top analytics leaders and get a front-row seat to the AI shift.     

Register Now: https://ow.ly/6iw430sQcAt 

#AlteryxRoadshow",14.0,0.0,0.0,14.0,1.19,Teacher,Marketing,Personal Experience,Observation/Opinion,Text-only,The Alteryx One: Data & AI Roadshow is coming to Chicago!,"The Alteryx One: Data & AI Roadshow is coming to Chicago!  

This event is tailor-made for data leaders, analysts, and AI enthusiasts who want to know","The Alteryx One: Data & AI Roadshow is coming to Chicago!  

This event is tailor-made for data leaders, analysts, and AI enthusiasts who want to know",https://www.linkedin.com/posts/activity-7381043383726821377-5h9E?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD7yo78B760w1OzXX2HFGNqUYGS32K3evyU,2025-10-06T19:11:15.835Z,idea_legos_nacho,110.0,0.0,11.8,
