full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"You DO NOT need to post on LinkedIn to grow and here's the proof...

In the last 90 days MOSTLY I have been commenting, not posting.

90% of those comments are just total deranged silliness. 

This trend depresses me, because it means that straight LinkedIn trolling is 12% more effective (for growth of the account, not necessarily business growth or mindshift changes---an IMPORTANT distinction) than posting useful content on a consistent basis... 

I'll get back to the valuable posting grind shortly, I have been doing a LOT of Agent 7 2.0 stuff in the background trying to vibe code my way to a GTM Engineer in a Box course / tool / product.

It's coming along, kinda well, kinda bumpy, but to everyone out there... just be someone that people find enjoyable... it works.",230.0,163.0,2,395.0,4.34,Fortune Teller,Marketing,Data/Numbers,Observation/Opinion,Text-only,You DO NOT need to post on LinkedIn to grow and here's the proof...,"You DO NOT need to post on LinkedIn to grow and here's the proof...

In the last 90 days MOSTLY I have been commenting, not posting.

90% of those com","You DO NOT need to post on LinkedIn to grow and here's the proof...

In the last 90 days MOSTLY I have been commenting, not posting.

90% of those com",https://www.linkedin.com/posts/jordancrawford_you-do-not-need-to-post-on-linkedin-to-grow-activity-7401739418589679617-n65Z?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEbZhlwBWvfv4eRw30Gb6YfF6H6xNv9ohdk,2025-12-02T21:49:55.060Z,central_outliers_db,10,0,53.0,nacho_gtm_marketing
"My job is now 95% Claude Code and like 10 APIs and in Jan I’ll show you how I do it all… here’s what I’m up to…

I’ve not been posting, because December is a time for building.

And boy, I’ve built a lot. Here’s what’s coming from me in Jan.

1. A new Claygent course that builds Claygents for you, validates them, and fixes errors.

2. A playbook builder that comes up with GTMe ideas for you!

3. A bunch of Claude Code skills (copywriting, data, skeptical buyer, and of course a Clay skill that auto-updates.

And I am working on AutoGTMe, a product just for good ole Jordan. It does most of the things I use in Clay, but it runs in the cloud, it makes agentic decisions about which tools to run, and I can run it from my phone.

I’m trying to grow in 2026 by doing more work now on tools and systems so I can work from my phone.

What I’m selling these days is not tools, it’s not even education, it’s the ability for you to take a process and have code replicate it with high accuracy.

2026 is the year of voice for me, and my goal is to run my entire business from my phone and with only my mouth.

Cannonball GTM comes back this month, subscribe to see what I’m up to…",190.0,45.0,2,237.0,3.59,Teacher,GTM/Sales,Data/Numbers,List Post,Text-only,My job is now 95% Claude Code and like 10 APIs and in Jan I’ll show you how I do it all… here’s what,"My job is now 95% Claude Code and like 10 APIs and in Jan I’ll show you how I do it all… here’s what I’m up to…

I’ve not been posting, because Decemb","My job is now 95% Claude Code and like 10 APIs and in Jan I’ll show you how I do it all… here’s what I’m up to…

I’ve not been posting, because Decemb",https://www.linkedin.com/posts/jordancrawford_my-job-is-now-95-claude-code-and-like-10-activity-7412990347926024192-RVCt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADw0mRYBSQhH_XZIMc99PusHGtWd6FiGizw,2026-01-02T22:57:05.646Z,central_outliers_db,13,0,53.0,nacho_gtm_marketing
"BREAKING: Claude Code just (basically) gave us all an unlimited free Claygent (AI AGENT) with their Tasks tools! 

You can now do AI web research agent at the row level in Claude Code.

cc: Jacob Dietle who can talk more as he's the other one I know playing with this stuff.",196.0,34.0,6,236.0,3.7,Magician,AI/Automation,Industry Observation,Observation/Opinion,Text-only,BREAKING: Claude Code just (basically) gave us all an unlimited free Claygent (AI AGENT) with their ,"BREAKING: Claude Code just (basically) gave us all an unlimited free Claygent (AI AGENT) with their Tasks tools! 

You can now do AI web research agen","BREAKING: Claude Code just (basically) gave us all an unlimited free Claygent (AI AGENT) with their Tasks tools! 

You can now do AI web research agen",https://www.linkedin.com/posts/jordancrawford_breaking-claude-code-just-basically-gave-activity-7386171875279904769-ubsx?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADeyR5kBF6LdtEF6TIVH5pe79SXD6ygMAxA,2025-10-20T22:50:03.504Z,central_outliers_db,14,0,53.0,nacho_gtm_marketing
"BREAKING: Claude on your Desktop can now control your files, browse chrome, automate stuff on your mac, send iMessages, make Apple Notes and much more...

To get here...
1. Open Claude Mac OS App (not on the web)
2. Click your initials bottom right
3. Connectors
4. Browse Connectors
5. Desktop Extensions
6. Install away",138.0,87.0,0,225.0,2.61,Magician,AI/Automation,Industry Observation,List Post,Text-only,"BREAKING: Claude on your Desktop can now control your files, browse chrome, automate stuff on your m","BREAKING: Claude on your Desktop can now control your files, browse chrome, automate stuff on your mac, send iMessages, make Apple Notes and much more","BREAKING: Claude on your Desktop can now control your files, browse chrome, automate stuff on your mac, send iMessages, make Apple Notes and much more",https://www.linkedin.com/posts/jordancrawford_breaking-claude-on-your-desktop-can-now-activity-7407815744568201216-nsnY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,2025-12-19T16:15:04.066Z,idea_legos_nacho,23,0,53.0,
"Want to EASILY export ALL calls from Gong with speakers + times... this ONE prompt will do that.

It's a boner Gong doesn't want you to export data, it's like the think they own your calls.

But this ONE prompt in Claude Code will do this...

1. Write code
2. Tell you what to do in Clay
3. Capture ALL of the rich context (including who said what and when)
4. Save it all locally

I wish you could do this in Clay easily, but it doesn't allow you to flatten or export large JSON objects and keep their structure. It overwhelms the cell.

Comment below and I'll DM you the Google Docs link... because remember... I did the work, all you have to do is type a little phrase. 

Don't be a weenie about it, I get more views you get your export. You pay nothing.

Comment ""I LOVE COMMENTING FOR YOUR RESOURCES, JORDAN"" below",75.0,125.0,2,202.0,1.42,Teacher,AI/Automation,Framework/How-To,List Post,Text-only,Want to EASILY export ALL calls from Gong with speakers + times... this ONE prompt will do that.,"Want to EASILY export ALL calls from Gong with speakers + times... this ONE prompt will do that.

It's a boner Gong doesn't want you to export data, i","Want to EASILY export ALL calls from Gong with speakers + times... this ONE prompt will do that.

It's a boner Gong doesn't want you to export data, i",https://www.linkedin.com/posts/jordancrawford_want-to-easily-export-all-calls-from-gong-activity-7416528140203708416-uyHF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADtNJIwB7YeBWk5OSR57XvTciKjhzeBfg7M,2026-01-12T17:15:01.054Z,idea_legos_nacho,73,0,53.0,
"Tbh in 2026, I will beat some, if not all, of the largest companies in the world by this one metric…

I’m just a guy that does almost all of the work with only one FTE besides me…

This is what AI makes happen for people, live by constraint and figure out how to use AI to do more things!",135.0,52.0,0,187.0,2.55,Teacher,AI/Automation,Personal Experience,Observation/Opinion,Text-only,"Tbh in 2026, I will beat some, if not all, of the largest companies in the world by this one metric…","Tbh in 2026, I will beat some, if not all, of the largest companies in the world by this one metric…

I’m just a guy that does almost all of the work ","Tbh in 2026, I will beat some, if not all, of the largest companies in the world by this one metric…

I’m just a guy that does almost all of the work ",https://www.linkedin.com/posts/jordancrawford_tbh-in-2026-i-will-beat-some-if-not-all-activity-7402777245833969664-Z3q2?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEbZhlwBWvfv4eRw30Gb6YfF6H6xNv9ohdk,2025-12-05T18:33:52.357Z,idea_legos_nacho,24,0,53.0,
"I'm on the edge and I just can't take it anymore...



Since 2020, I've been focused on building at the bleeding edge of AI and GTM as the OG GTM Engineer...

Most of that work has been speaking to other in-the-trenches practitioners, not worrying about leaving folks behind.

Today, I'm so happy to announce that Topline Media to the world... a chance to bring some of my ideas to GTM leaders around the world and not just to those on the bleeding edge.

Some stats from the team:
1. Today it takes 8000 attempts to get 1 real customer meeting.
2. It takes dozens of meetings to close a deal.
3. And then 40 months of revenue to break even on that deal.

We need actual practices to get out of this steep decline... a media outlet that is about documenting building, not talking heads.

I'd suggest you subscribe as my goal specifically when I contribute is to translate what is happening at the bleeding edge actually building workflows (Claude Code, APIs, data workflows, PVPs, PQS, my love of vertical SaaS and why) to folks who want to experiment there.

So you'll see me talk about topics like...
1. Why ICP and TAM scoring lead you way astray, and what to do instead
2. The horizontal SaaS company thought trap, and how to escape
3. The exact steps to build a useful GTM engine from absolute 0

Fellow wonderful contributors:
Mark Roberge, Gaurav Agarwal hommiee, David Spitz, Cassie Young, MEEE, Peter Walker, Latané Conant (she/her), Kyle Lacy KYLLEE, Dave Kellogg, Amy Konary, Kyle Norton KYLLLEE AS WELL, and Craig Rosenberg YOOO.

Thanks to Sam Jacobs and Asad Zaman for having me!

If you'd like to see what's happening at the edge... I suggest you subscribe...

Subscribe to watch: https://lnkd.in/g2NQyemA
Subscribe to read: https://lnkd.in/g3sEw8Gd
Subscribe to listen: https://lnkd.in/gTZdw3kZ",147.0,29.0,2,178.0,2.78,Teacher,GTM/Sales,Personal Experience,List Post,Text-only,I'm on the edge and I just can't take it anymore...,"I'm on the edge and I just can't take it anymore...



Since 2020, I've been focused on building at the bleeding edge of AI and GTM as the OG GTM Engi","I'm on the edge and I just can't take it anymore...



Since 2020, I've been focused on building at the bleeding edge of AI and GTM as the OG GTM Engi",https://www.linkedin.com/posts/jordancrawford_im-on-the-edge-and-i-just-cant-take-it-activity-7383548983698317312-PwZ0?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADeyR5kBF6LdtEF6TIVH5pe79SXD6ygMAxA,2025-10-13T17:07:37.420Z,idea_legos_nacho,20,0,53.0,
"Anthropic just interviewed me about the future of AI and I recorded it... anyone want to see (it's a 35 min video so I can't post it here).

And by Anthropic I mean their automated AI researcher because their company has no soul and is using AI to learn about how AI should be used thereby filtering out real human emotion...

They will use this research to create more AI to eliminate humanity altogether.  

Wanna see what I told it?",109.0,64.0,0,173.0,2.06,Fortune Teller,AI/Automation,Industry Observation,Question/Engagement,Text-only,Anthropic just interviewed me about the future of AI and I recorded it... anyone want to see (it's a,"Anthropic just interviewed me about the future of AI and I recorded it... anyone want to see (it's a 35 min video so I can't post it here).

And by An","Anthropic just interviewed me about the future of AI and I recorded it... anyone want to see (it's a 35 min video so I can't post it here).

And by An",https://www.linkedin.com/posts/jordancrawford_anthropic-just-interviewed-me-about-the-future-activity-7402436542348390400-FV7G?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEbZhlwBWvfv4eRw30Gb6YfF6H6xNv9ohdk,2025-12-04T20:00:02.316Z,idea_legos_nacho,33,0,53.0,
I am turning all of my knowledge in Claude Skills right now... drop a comment and I'll DM you the private Zoom link...,70.0,103.0,0,173.0,1.32,Teacher,AI/Automation,Personal Experience,Short Punch,Text-only,I am turning all of my knowledge in Claude Skills right now... drop a comment and I'll DM you the pr,I am turning all of my knowledge in Claude Skills right now... drop a comment and I'll DM you the private Zoom link...,I am turning all of my knowledge in Claude Skills right now... drop a comment and I'll DM you the private Zoom link...,https://www.linkedin.com/posts/jordancrawford_i-am-turning-all-of-my-knowledge-in-claude-activity-7418078425191493632-ZUPa?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADtNJIwB7YeBWk5OSR57XvTciKjhzeBfg7M,2026-01-16T23:55:17.798Z,idea_legos_nacho,90,0,53.0,
"Today I am pardoning all you turkeys that say Clay is expensive… 

Here’s how to NEVER PAY more than $800/mo for Clay.

First off an enterprise yearly subscription to Clay with CRM integration is under $9k/year and your cost is 1.5 pennies or $0.015 per credit.

This means you can enrich 600,000 companies (1 clay credit), profiles (1 clay credit), or use a great AI search model like 4o mini for you guessed it… 1 Clay credit. And they are good all year if you pay yearly, so you don’t lose Clay credits.

Not to mention formulas (free and an amazing hack), live domain checker (free), job changer signal that only charges for results not checks (so cheap).

Okay, but Jordan, what about those things that cost 20 or 40 or 100 Clay credits… we are spending so much.

Well this is called a convenience tax… where your sheer laziness costs you. 

This last week I paid like $300 for an eye exam when an in-network provider would have been $0… but it’s just because I didn’t want to like go figure out my Byzantine eye insurance.

I paid a dumb convenience tax, but I’m not blaming the ophthalmologist, I chose to do this.

Enter Clay’s API BYK program and HTTP API integration. 

The Bring Your Key API program lets you pay clay ZERO EXTRA DOLLARS and just enter in your own API key and Clay EATS THE pass through costs. 

So scraping a webpage becomes so cheap (less than 1/10th of a penny) with Zenrows. 

Or use Claygent with your own OpenAI API key and only pay for tokens, Clay gives you the scraping ON THEM.

Clay is making money hand over fist NOT because they are trying to rake people over the coals, but because no one wants to take the 1-2 hours to configure their account to save so so so much money.

So use Clay credits like points (e.g. job changers is where you get SO MUCH for your buck because you aren’t charged for searches just results) and don’t use Clay for mobile phone enrichment as a direct API key will work best.

Stop complaining, there’s no other tool that makes it easy to NOT pay them.

You’re just committed to spending as a way to not understand what you’re buying.

And, sadly, you’re doing a great job burying your head and opening up your wallet needlessly.

Contact me, I’ll teach you how to save money.",128.0,34.0,1,163.0,2.42,Teacher,AI/Automation,Data/Numbers,Story,Text-only,Today I am pardoning all you turkeys that say Clay is expensive…,"Today I am pardoning all you turkeys that say Clay is expensive… 

Here’s how to NEVER PAY more than $800/mo for Clay.

First off an enterprise yearly","Today I am pardoning all you turkeys that say Clay is expensive… 

Here’s how to NEVER PAY more than $800/mo for Clay.

First off an enterprise yearly",https://www.linkedin.com/posts/jordancrawford_today-i-am-pardoning-all-you-turkeys-that-activity-7399477092955914240-V9pS?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEPLVB8BjK8i7C_59z_zkiamiJYzSeuohxk,2025-11-26T16:00:14.597Z,idea_legos_nacho,26,0,53.0,
