full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"Managers have been vibe coding forever.

Saw this on X — it put a smile on my face but also made me think a lot.",258.0,13.0,9,280.0,5.45,Teacher,Engineering Leadership,Contrast/But,Short Punch,Text-only,Managers have been vibe coding forever.,"Managers have been vibe coding forever.

Saw this on X — it put a smile on my face but also made me think a lot.","Managers have been vibe coding forever.

Saw this on X — it put a smile on my face but also made me think a lot.",https://www.linkedin.com/posts/lucaronin_managers-have-been-vibe-coding-forever-activity-7381235104716677120-rmsP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACMGb3oBRaMXx5ky1s8XlW5ehBwhaT5lQhE,2025-10-07T07:53:05.681Z,central_outliers_db,46.0,0.0,47.3,alexis_engineering_tech
"Engineers are quietly replacing the IDE with the terminal

Six months ago, every serious “AI coder” I knew was using Cursor, while today most of them have shifted to Claude Code or some other CLI tool.

How is that possible?! We have been working inside IDEs for 20+ years! I talked with a lot of engineers and here is my interpretation of it:

Traditional coding splits ~80/20 between writing code and running commands (build, run, test, etc). IDEs optimize for that first 80%—the actual code writing.

But AI is flipping this ratio. We're writing less code by hand, but we still need to run and check stuff. So the terminal becomes more important.

Also, IDEs give you classic ""engineer context"" — file trees, text editor, syntax highlighting, etc, while CLI tools give you ""manager context""—what's the plan, what commands are running, what are the outputs. AI tools are good enough now that we probably need to default to manager mode, not engineer mode. It feels funny to say it, but: don’t micromanage AI!

If I look at the best AI coders I know these aren't the best traditional developers. They are first and foremost good managers—they work in small batches, provide good context, and jump in only when needed.

That's probably the way to go (and always has been?!)",125.0,104.0,8,237.0,2.64,Fortune Teller,AI/ML/Coding Tools,Industry Observation,Observation/Opinion,Text-only,Engineers are quietly replacing the IDE with the terminal,"Engineers are quietly replacing the IDE with the terminal

Six months ago, every serious “AI coder” I knew was using Cursor, while today most of them ","Engineers are quietly replacing the IDE with the terminal

Six months ago, every serious “AI coder” I knew was using Cursor, while today most of them ",https://www.linkedin.com/posts/lucaronin_engineers-are-quietly-replacing-the-ide-with-activity-7384495192709447680-wipj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF9OAqkBXZL7JtXparkGjcSj_hK277ry46U,2025-10-16T07:47:31.228Z,central_outliers_db,49.0,0.0,47.3,alexis_engineering_tech
"How do engineering managers create value inside organizations? 🎭

Today I'm publishing an incredible piece by my friend Thiago Ghisi, who spent months researching and creating the most comprehensive framework for EM archetypes I've ever seen.

Most existing models focus on skills or job titles, but those break down quickly. Thiago's approach is different: he identifies *how* managers create leverage, not just what they do. All backed by decades of leadership + psychology research, and 50+ real-world EM case studies.

His model maps managers across two key dimensions:
↳ 𝗦𝘁𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝘃𝘀 𝗖𝗵𝗮𝗻𝗴𝗲 — do you optimize systems for steadiness or push them to evolve? 
↳ 𝗘𝘅𝗲𝗰𝘂𝘁𝗶𝗼𝗻 𝘃𝘀 𝗣𝗲𝗼𝗽𝗹𝗲 — do you scale through hard power (delivery) or soft power (culture)?

This creates four foundational archetypes:

↳ 🧰 𝗢𝗽𝗲𝗿𝗮𝘁𝗼𝗿 (Stability + Execution) — the run-the-business managers. Excel at scaling processes, operational rigor, and predictable output.

↳ 🪴 𝗚𝘂𝗶𝗱𝗲 (Stability + People) — the grow-the-humans managers. Focus on mentorship, psychological safety, and building strong culture.

↳ 🏁 𝗗𝗿𝗶𝘃𝗲𝗿 (Change + Execution) — the fast-delivery managers. Thrive on velocity, ambitious goals, and pushing technical/product boundaries.

↳ 🔋 𝗖𝗮𝘁𝗮𝗹𝘆𝘀𝘁 (Change + People) — the transformation managers. Excel at inspiring teams through vision, reorgs, and cultural shifts.

This would be already incredibly valuable by itself, but Thiago went the extra mile and, for each archetype, he identified both productive and failure patterns: a Driver can be an inspiring ""Finisher"" or a toxic ""Dictator."" A Guide can be a nurturing ""Mentor"" or an enabling ""Comforter.""

The practical applications are awesome:
↳ 𝗣𝗲𝗿𝘀𝗼𝗻𝗮𝗹 𝗴𝗿𝗼𝘄𝘁𝗵 — understand your “center of gravity” and blind spots. 
↳ 𝗧𝗲𝗮𝗺 𝗰𝗼𝗺𝗽𝗼𝘀𝗶𝘁𝗶𝗼𝗻 — when staffing your team, balance complementary styles instead of cloning yourself. 
↳ 𝗛𝗶𝗿𝗶𝗻𝗴 — match archetypes to context (e.g. need a crisis manager? get a Driver)
↳ 𝗣𝗲𝗿𝗳𝗼𝗿𝗺𝗮𝗻𝗰𝗲 — have precise language for leadership patterns

Thiago even includes AI prompts to help you identify your own archetype using performance reviews and peer feedback!

This is the most useful management framework I've read in years. Full article linked in the comments! 👇",168.0,7.0,12,187.0,3.55,Teacher,Engineering Career,Framework/How-To,Observation/Opinion,Text-only,How do engineering managers create value inside organizations? 🎭,"How do engineering managers create value inside organizations? 🎭

Today I'm publishing an incredible piece by my friend Thiago Ghisi, who spent months","How do engineering managers create value inside organizations? 🎭

Today I'm publishing an incredible piece by my friend Thiago Ghisi, who spent months",https://www.linkedin.com/posts/lucaronin_how-do-engineering-managers-create-value-ugcPost-7335980473258541056-e5UQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACuI5A8BX1v8g9AOaMsa2Q3tgSu26oVR9wA,2025-06-04T15:02:45.522Z,dataset_alexis_dataset,22.0,0.0,47.3,
"Is it possible to vibe-code production apps into existence? This question is everywhere on my feed. 

Based on everything I tried myself + the apps I have seen + the people I talked with, here is my take:

1) If you are a non-technical person: 100% impossible. Tools get stuck pretty soon. They also get unstuck equally fast if pointed to the right direction, but you are not equipped with the skills to help them do so.

2) If you are an engineer, the definition of vibe coding gets tricky. AI may write 99% of the code, but you may still have a lot of input on system design, requirements, bug fixing, etc. So you are technically not writing almost any code, but you are in the loop of how things are getting done.

In this second version of vibe coding, it is 100% possible to deliver functioning, revenue-generating apps. 

But, I suspect, this is not the use case most people (and VCs) get excited about. It looks, to me, like an updated version of the low/no code tools movement: they, too, promised to give non techies the ability to create apps, but for the most part only made engineers more productive.",119.0,51.0,4,174.0,2.52,Experimenter,AI/ML/Coding Tools,Industry Observation,Observation/Opinion,Text-only,Is it possible to vibe-code production apps into existence? This question is everywhere on my feed.,"Is it possible to vibe-code production apps into existence? This question is everywhere on my feed. 

Based on everything I tried myself + the apps I ","Is it possible to vibe-code production apps into existence? This question is everywhere on my feed. 

Based on everything I tried myself + the apps I ",https://www.linkedin.com/posts/lucaronin_is-it-possible-to-vibe-code-production-apps-activity-7362779209141837824-Q90a?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY,2025-08-17T09:35:57.282Z,dataset_alexis_dataset,54.0,0.0,47.3,
"Wonder why some team members need more guidance than others? Spoiler: it's not about skill.

In his landmark book High Output Management, Andy Grove introduced the idea of 𝘁𝗮𝘀𝗸-𝗿𝗲𝗹𝗲𝘃𝗮𝗻𝘁 𝗺𝗮𝘁𝘂𝗿𝗶𝘁𝘆, capturing an employee's readiness to shoulder responsibility.

Grove dissects TRM into several factors, but let's focus on the two key ones:

1) 🎓 𝗦𝗸𝗶𝗹𝗹/𝗙𝗮𝗺𝗶𝗹𝗶𝗮𝗿𝗶𝘁𝘆 — the employee's expertise and readiness for the task.
2) 📋 𝗖𝗼𝗻𝘁𝗲𝘅𝘁 𝗤𝘂𝗮𝗹𝗶𝘁𝘆 — how robust and well-documented your standards are.

Both items are crucial.

Say you need to create a design doc around a new product feature. You may have the best engineer in the world, who has done hundreds of them in their career, but they still need context from you:

✔️ 𝗧𝗮𝘀𝗸-𝘀𝗽𝗲𝗰𝗶𝗳𝗶𝗰 — what tradeoffs should they consider? What about speed and scale?

🔭 𝗣𝗿𝗶𝗻𝗰𝗶𝗽𝗹𝗲𝘀 — what do design docs look like on our team? How do you plan rollouts and rollbacks? How is the code instrumented?

The right amount of management depends on the level of TRM:

1) 🔴 𝗟𝗼𝘄 𝗧𝗥𝗠 — your team hasn't done this before, and there's no existing procedure. Provide detailed instructions, pair regularly, and maintain a close feedback loop. Don't let them work too long without your input; correct often and update the procedure with your feedback.

2) 🟡 𝗠𝗲𝗱𝗶𝘂𝗺 𝗧𝗥𝗠 — your teammate has completed similar tasks before and knows what good look like, thanks to experience and/or good docs. Provide clear context about the goals, then allow them the freedom to execute.
Keep communication lines open to offer support as needed.

3) 🟢 𝗛𝗶𝗴𝗵 𝗧𝗥𝗠 — your teammate has completed plenty of similar tasks in the past, with good results. In this case, other than giving full autonomy, you can challenge them to improve the definition of good. What can we do better?

——

✏️ I wrote a full article about how to figure out the ""right amount"" of management, you can find it in the first comment!

♻️ Also, please repost this if you found it useful, it means a lot to me!",134.0,14.0,13,161.0,2.83,Fortune Teller,Engineering Leadership,Industry Observation,Observation/Opinion,Text-only,Wonder why some team members need more guidance than others? Spoiler: it's not about skill.,"Wonder why some team members need more guidance than others? Spoiler: it's not about skill.

In his landmark book High Output Management, Andy Grove i","Wonder why some team members need more guidance than others? Spoiler: it's not about skill.

In his landmark book High Output Management, Andy Grove i",https://www.linkedin.com/posts/lucaronin_wonder-why-some-team-members-need-more-guidance-activity-7222160457078349824-auFk?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADIH0wkBRL2K1g3VG7YO32sknMUIuLvalNI,2024-07-25T12:13:40.371Z,idea_legos_alexis,42.0,0.0,47.3,
"Yesterday, I had an interesting conversation with my wife about AI.

My wife is a radiologist, which is one of the hottest spaces where AI is believed to make an impact, but she argued that AI is *never* going to save her time.

At first I thought she was nuts — but she had a great point instead.

She argued that even if they had *perfect* AI to create examination reports, they would obviously use it only to create *drafts*, to be later verified by doctors. And the thing is, verifying the draft of a report takes roughly the same time as doing it from scratch, because you have to go through all the examination data and images again to see if AI has missed something. 

So, unless at some point we decide to accept AI output as-is, without human verification—which seems highly unlikely—this is an inescapable problem. AI can help doctors create higher-quality work, but it will not save a lot of time.

This made me think that there are two classes of activities: the ones where verifying correctness takes significantly less time than doing the actual thing—let’s call them *verifiable*— and the ones where verification is comparable to the full execution—let’s call them *unverifiable*.

(not a big fan of these names, can you think of better alternatives?)

So, in software, coding is a verifiable activity: it’s (usually?!) way easier to verify correctness of software than writing it from scratch.

But code reviews, for example, are unverifiable: checking that an AI code review hasn’t missed anything requires you to go through the code yourself. Taking meeting notes is another obviously unverifiable task.

This is relevant because, for example, as AI makes us write faster code, we need to be able to review it just as fast to keep up with it — but AI code reviews are not going to save us significant time unless we accept them without verification, which means giving up some control over the code.

What does this mean for the future? I should write a conclusion but for now I don’t have any 🙂

These were just some morning thoughts ☀️

Have a good start of the week!",99.0,44.0,4,147.0,2.09,Fortune Teller,AI/ML/Coding Tools,Contrast/But,Observation/Opinion,Text-only,"Yesterday, I had an interesting conversation with my wife about AI.","Yesterday, I had an interesting conversation with my wife about AI.

My wife is a radiologist, which is one of the hottest spaces where AI is believed","Yesterday, I had an interesting conversation with my wife about AI.

My wife is a radiologist, which is one of the hottest spaces where AI is believed",https://www.linkedin.com/posts/lucaronin_yesterday-i-had-an-interesting-conversation-activity-7345343837663297537-xk2B?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACdmXNYBitmvc8eOWzKRs0OEekQFSuxVwUA,2025-06-30T06:54:00.788Z,dataset_alexis_dataset,74.0,0.0,47.3,
"The best article I have read this week is ""The Profitable Startup"" by Karri Saarinen at Linear.

You can easily measure the quality of a piece by the density of highlights you take. So here are a few of my own:

↳ ""I don't know why hiring massive teams ever became the norm. In my own experience, small teams always delivered better quality, and faster.""

↳ ""What holds you back is rarely team size – it's the clarity of your focus, skill and ability to execute.""

↳ ""For most software startups, ten people before product-market fit should be your ceiling, not your target.""

↳ ""After PMF, every hire should address a specific, pressing need – not just fill out an org chart.""

—

The main thesis here is that today profitability has become easier to reach, especially if you work in a space where there is already a market (you have competition), and no big investments are needed upfront.

Profitability is also a good north star that drives good behavior: focus on business value, don’t over hire, keep talking with customers, and so on.

I like how it feels like the tide is shifting a bit on this. With the (glaring) exception of glorious AI slop startups, it feels like there is a growing sub-culture of small to mid-size companies shipping top quality products, and creating good, sustainable culture in the process.

There is something beautiful about this “long-tail innovation”, and I hope to keep doing my small part in helping people who work on it 😊

Here is Karri's piece: https://lnkd.in/d4h5uP3P",124.0,16.0,3,143.0,2.62,Contrarian,Engineering Career,Personal Experience,Observation/Opinion,Text-only,"The best article I have read this week is ""The Profitable Startup"" by Karri Saarinen at Linear.","The best article I have read this week is ""The Profitable Startup"" by Karri Saarinen at Linear.

You can easily measure the quality of a piece by the ","The best article I have read this week is ""The Profitable Startup"" by Karri Saarinen at Linear.

You can easily measure the quality of a piece by the ",https://www.linkedin.com/posts/lucaronin_the-best-article-i-have-read-this-week-is-activity-7392219097645785088-fQBw?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF9OAqkBXZL7JtXparkGjcSj_hK277ry46U,2025-11-06T15:19:33.668Z,idea_legos_alexis,50.0,0.0,47.3,
"I am back in Rome after spending two days in London for LDX3 — and what a high it was!

I have many *work friends* on the internet, but I rarely get to see them face to face. In fact, I spend most of my days alone in my *cave* writing newsletter articles 😄

So it was incredible to meet so many of them all in the same place — and most of them for the first time. Shout-outs to Camille, Laura, Patrick, Lena (we literally bumped into each other in the elevator), Maria, Claire, Gergely, and all the others I met who I am inevitably forgetting, for making these days special.  

A special shout-out to Charity, who made me incredibly happy by bringing on stage “In Praise of Normal Engineers” — the article she published on Refactoring. She did an amazing job (linking it in the comments in case you missed it) and it was just the perfect way to close the event!

Also, to comply with my duties as a writer, I took *a ton* of notes during the event, and I will publish a write-up with the ideas I liked the most in the next week or so!

Finally, a big thank you to Mariana, Penny, Meri, and all the folks at LeadDev who made this possible. It was my first time at a Leaddev conference and everything was a blast: from the level of the talks, to the atmosphere, to the overall organization. 

Looking forward to the next one!",112.0,22.0,2,136.0,2.37,Magician,AI/ML/Coding Tools,Contrast/But,Observation/Opinion,Text-only,I am back in Rome after spending two days in London for LDX3 — and what a high it was!,"I am back in Rome after spending two days in London for LDX3 — and what a high it was!

I have many *work friends* on the internet, but I rarely get t","I am back in Rome after spending two days in London for LDX3 — and what a high it was!

I have many *work friends* on the internet, but I rarely get t",https://www.linkedin.com/posts/lucaronin_i-am-back-in-rome-after-spending-two-days-activity-7341034399368372224-AQqE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACdmXNYBitmvc8eOWzKRs0OEekQFSuxVwUA,2025-06-18T09:29:50.633Z,dataset_alexis_dataset,60.0,0.0,47.3,
"We, managers, are back to coding! Is this a good thing?

One of the biggest stories I have been hearing recently is that many engineering managers are back to coding, because of AI. 

AI is helping in two ways:

↳ 🧠 𝗜𝘁 𝗿𝗲𝗱𝘂𝗰𝗲𝘀 𝘁𝗵𝗲 𝗰𝗼𝗴𝗻𝗶𝘁𝗶𝘃𝗲 𝗹𝗼𝗮𝗱 — managers often retain good taste for what good code looks like, but are a bit rusty on implementation details. AI makes the latter less relevant.

↳ 🗓️ 𝗜𝘁 𝗳𝗶𝘁𝘀 𝗰𝗼𝗱𝗶𝗻𝗴 𝗶𝗻𝘁𝗼 𝗽𝗮𝗰𝗸𝗲𝗱 𝗮𝗴𝗲𝗻𝗱𝗮𝘀 — by letting terminal agents run while people are on meetings or doing something else.

Is this a good thing? A reader told me ""Managers need to focus on the things that only they can do, rather than the things that anyone on their team can do.""

This is not wrong, but I also think many managers end up completely detached from how their team works, and spending some time coding can help *a lot*. 

The benefit here is not about throughput, but about empathy and staying in touch with what the DX and the whole process looks like.

This is most definitely good and I would love to see more of it.

Have a good week! ☀️",95.0,26.0,5,126.0,2.01,Teacher,Engineering Leadership,Framework/How-To,Observation/Opinion,Text-only,"We, managers, are back to coding! Is this a good thing?","We, managers, are back to coding! Is this a good thing?

One of the biggest stories I have been hearing recently is that many engineering managers are","We, managers, are back to coding! Is this a good thing?

One of the biggest stories I have been hearing recently is that many engineering managers are",https://www.linkedin.com/posts/lucaronin_we-managers-are-back-to-coding-is-this-activity-7383407717735989249-wJbv?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACMGb3oBRaMXx5ky1s8XlW5ehBwhaT5lQhE,2025-10-13T07:46:16.990Z,idea_legos_alexis,80.0,0.0,47.3,
"What type of manager are you?

Are you:
- An Operator, focused on stability and execution?
- A Guide, nurturing your team culture?
- A Driver, pushing for change? Or
- A Catalyst, inspiring your team to evolve?

These days I am reviewing the top articles we published this year, and I keep going back to the one about engineering manager archetypes, written with my friend Thiago Ghisi.

Thiago designed two axes along which you can place yourself — one about people vs execution, and another about stability vs change. There is so much you can understand about your role (and about yourself) by thinking about what you prioritize in these tradeoffs.

I find these quadrants useful in many ways:
– I can reflect on what I *default* to — the style that fits my personality best.
– I can reflect on what my team needs right now. E.g. is it time to nurture culture and tighten screws, or just create momentum and ship fast?
– I can reflect on my team composition. Do we overly skew in some direction? Do we need more (or less) of some of these?

It's a handy mental model that I added to my EM *tools*.

What about you? Do you see yourself in some of these categories?",89.0,15.0,14,118.0,1.88,Fortune Teller,Engineering Leadership,Industry Observation,List Post,Text-only,What type of manager are you?,"What type of manager are you?

Are you:
- An Operator, focused on stability and execution?
- A Guide, nurturing your team culture?
- A Driver, pushing","What type of manager are you?

Are you:
- An Operator, focused on stability and execution?
- A Guide, nurturing your team culture?
- A Driver, pushing",https://www.linkedin.com/posts/lucaronin_what-type-of-manager-are-you-are-you-activity-7409149615192686592--J_Z?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABmkfQwBdcd2N4mdCYhNad7ezx_lBw3r6yI,2025-12-23T08:35:23.605Z,dataset_alexis_dataset,94.0,0.0,47.3,
