full_text,likes,comments,shares,total_engagement,hook_type,topic,angle,structure,visual_format,first_line,hook_150,url,_source,rank,source,totalEngagement,numLikes,numComments,numShares,lego_1_topic,lego_2_angle,lego_3_hook_type,lego_3_hook_text,lego_4_story_structure,lego_5_visual_format,lego_7_rhythm,post_url,lego_6_key_visual,image_url
"Announcing Pylon's Series B led by a16z and BCV.

Since starting the company 2.6 years ago, 780+ of the fastest growing companies including Together AI, Cognition, and Temporal have chosen to scale their customer support on Pylon.

Over 150 migrated from products like Zendesk, Intercom, and others.

Why?

We're the first support platform built for B2B. 

Since our inception, we’ve expanded beyond ticketing to meet the needs of the entire B2B post-sales team. Their customer operations are more co",2812.0,636.0,,3573.0,Fortune Teller,Company Milestone,Social proof through customer names,Story → Twist → Lesson,Text-only,Announcing Pylon's Series B led by a16z and BCV.,"Announcing Pylon's Series B led by a16z and BCV.

Since starting the company 2.6 years ago, 780+ of the fastest growing companies including Together A",https://www.linkedin.com/posts/martykausas_announcing-pylons-series-b-led-by-a16z-and-activity-7363587337655635969-taYf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF_J15MBzS12u6VE16sLLHw4FYwCsunT-QI,product_led_top50_idea_legos_analysis.csv,2.0,product_led_storytelling,3573.0,2812.0,636.0,125.0,Fundraising,Company milestone,Fortune Teller,"Announcing Pylon's Series B led by a16z and BCV.  Since starting the company 2.6 years ago, 780+ of the fastest growing companies including Together A",Narrative,linkedinVideo,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_announcing-pylons-series-b-led-by-a16z-and-activity-7363587337655635969-taYf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF_J15MBzS12u6VE16sLLHw4FYwCsunT-QI,,
"INTRODUCING...

Our new purple building 🚀

Last year we moved into the iconic old UserTesting office. 

We were SO excited to have a space that could fit hundreds of people and had logo placement right across from Caltrain. 

For a while, we kept the building's old look even when a lot was changing at Pylon...

→ Team size grew by over 10x
→ Did a full rebrand
→ Hosted dozens of in-person events
→ Signed on hundreds of new customers
→ Released products like AI Agents and Account Intelligence

We",1520.0,123.0,,1650.0,Fortune Teller,Company Culture,Behind-the-scenes company building,Listicle/Breakdown,Text-only,INTRODUCING...,"INTRODUCING...

Our new purple building 🚀

Last year we moved into the iconic old UserTesting office. 

We were SO excited to have a space that could",https://www.linkedin.com/posts/martykausas_introducing-our-new-purple-building-activity-7391519674234171392-3_DL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE,product_led_top50_idea_legos_analysis.csv,10.0,product_led_storytelling,1650.0,1520.0,123.0,7.0,Product Launch,Company milestone,Fortune Teller,INTRODUCING...  Our new purple building 🚀  Last year we moved into the iconic old UserTesting office.   We were SO excited to have a space that could ,List,image,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_introducing-our-new-purple-building-activity-7391519674234171392-3_DL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE,See image URL,https://media.licdn.com/dms/image/v2/D5610AQG5UKNTJt9V8g/image-shrink_160/B56ZpPz.FEJwAs-/0/1762275615858?e=1770825600&v=beta&t=cnxeZyrnR1r-SJK0C1lFCZkTq0RMy4PN7BZBJONd1PU
"My parents immigrated to the US in 1996.

They never could've imagined that their son would ring the Nasdaq closing bell in Times Square (thanks to Pylon being on this year's Enterprise 30 list).

My Co-Founders (Robert, Advith) and I are so thankful to our team who has been working tirelessly for the past 2 years and 4 months to get us to this point. I'm so happy the hard work is being recognized.

Thank you to our early customers who made bets on the team and product, and could see where Pylon",1349.0,83.0,,1436.0,Teacher,Company Milestone,Immigrant founder story,Statement → Commentary,Text-only,My parents immigrated to the US in 1996.,"My parents immigrated to the US in 1996.

They never could've imagined that their son would ring the Nasdaq closing bell in Times Square (thanks to Py",https://www.linkedin.com/posts/martykausas_my-parents-immigrated-to-the-us-in-1996-activity-7311439449186267137-rKcw?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGA-HVYBEDPuHHlo5gzALmI33BGYmZ9XSVY,product_led_top50_idea_legos_analysis.csv,14.0,product_led_storytelling,1436.0,1349.0,83.0,4.0,Hiring,Founder perspective,Teacher,My parents immigrated to the US in 1996.  They never could've imagined that their son would ring the Nasdaq closing bell in Times Square (thanks to Py,Narrative,image,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_my-parents-immigrated-to-the-us-in-1996-activity-7311439449186267137-rKcw?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGA-HVYBEDPuHHlo5gzALmI33BGYmZ9XSVY,See image URL,https://media.licdn.com/dms/image/v2/D5610AQHWoroEb7BfjQ/image-shrink_20/B56ZXdzbfpHEAY-/0/1743183003060?e=1770825600&v=beta&t=kI8ZlG-pMFK2yx02BqZfcb2xjPg5HZ5UDuSMBSg0sJM
"We're 4x-ing the sales team this year.

18 → 68 people
10 → 31 AEs
7 → 29 SDRs
1 → 8 managers

It sounds like a crazy number but we have huge ambitions for the year.

If you want to join a team that's moving and growing incredibly fast... I'm hiring in SF and NYC!

- AEs
- SDRs
- SDR managers
- Sales managers
- GTM recruiter

Apply here: https://lnkd.in/g5zps4R5",491.0,40.0,10.0,,Magician,Leadership/Management,Insight/Observation,Listicle/Breakdown,Text-only,We're 4x-ing the sales team this year.,"We're 4x-ing the sales team this year.

18 → 68 people
10 → 31 AEs
7 → 29 SDRs
1 → 8 managers

It sounds like a crazy number but we have huge ambition",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Like many scaling CS teams, we were working across six tools to support customers at DataGrail. Pylon's Account Intelligence streamlined that for us.

As our strategy evolved from managing renewals to driving product adoption, we needed a complete view of customer health. But key context was spread across across Slack, Salesforce, Google Drive, and more.

Since our support team was already using Pylon, we decided to consolidate and implement Account Intelligence.

The results: → All customer data unified in one place → Hours saved per week on manual account research → At-risk accounts identified automatically through health scoring → Found customers paying for products they haven't deployed (contraction risk) → Spotted customers using products beyond their contracts (expansion opportunities)

The consolidation of support and success operations has been incredibly beneficial for our team.

Thanks Marty Kausas and the Pylon team for building what modern post-sales teams need!

You can find the link to the case study in the comments.",35.0,8.0,2.0,,Teacher,Engineering/Technical,Data/Numbers,Statement → Commentary,Text-only,"Like many scaling CS teams, we were working across six tools to support customers at DataGrail. Pylon's Account Intelligence streamlined that for us.","Like many scaling CS teams, we were working across six tools to support customers at DataGrail. Pylon's Account Intelligence streamlined that for us.",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Marty Kausas is a rare mix of hard work, obsession, confidence, and optimism.

I’ve been lucky to watch his journey from when we both left Airbnb. Before Pylon were 3 other failed ideas. 

What looks like an “overnight success” was actually the fourth attempt

… and the result of taking big swings, failing fast, and getting back up even faster.

I sat down with Marty to talk about:
→ Why he sleeps ~6 hours and works 6 days a week — and how he stays energized doing it
→ How Pylon went from “living in the office” to a 55-person Series B rocket ship
→ Co-founder matching, painful pivots & the early years that almost broke him
→ What really motivates someone to start a company (and why most people get this wrong)
→ Why he thinks “passion” is overrated for founders

…and a lot more

If you’re building (or thinking about building) something ambitious, this episode is a must-listen.

Full conversation in the comments 👇",85.0,12.0,3.0,,Teacher,Startup/Founder,Insight/Observation,Listicle/Breakdown,Text-only,"Marty Kausas is a rare mix of hard work, obsession, confidence, and optimism.","Marty Kausas is a rare mix of hard work, obsession, confidence, and optimism.

I’ve been lucky to watch his journey from when we both left Airbnb. Bef",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"NEW: Case Study for Pylon is finally live✨

Earlier this year, Slope partnered with Pylon to create a new brand identity system and website. They wanted to up-level their brand to be more refined, enterprise-ready, something that could scale with them longer-term.
--

Pylon brings structure to modern B2B operations, giving companies the systems and support they need to run with stability and scale. Their platform turns scattered workflows into connected formations, strong enough for enterprise, flexible enough for fast-moving teams. 

Slope partnered with Pylon to create a brand identity and website that reflect this foundation: engineered, reliable, and built around supporting customers at every level.

The visual system is rooted in architectural logic—grids, beams, and structural units that act as a metaphor for how Pylon supports its customers. Every line carries weight, every shape reinforces another, and every formation suggests a network designed to hold things together. It’s a clean, geometric language that feels precise, intentional, and dependable. 

The result is a brand built like a support structure itself: steady, organized, and always working behind the scenes to keep things standing.

Thanks Marty Kausas Robert Eng and the Pylon team for the great partnership, and Andrew Johnson for leading this project on the Slope side :) 

Read more - https://lnkd.in/gTQuQfMu

#casestudy #brand #agency",57.0,7.0,2.0,,Teacher,Engineering/Technical,Insight/Observation,Statement → Commentary,Text-only,NEW: Case Study for Pylon is finally live✨,"NEW: Case Study for Pylon is finally live✨

Earlier this year, Slope partnered with Pylon to create a new brand identity system and website. They want",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"B2B support has changed, but Zendesk hasn’t. 

Join us on November 24 to learn why top B2B teams are moving on.",18.0,0.0,2.0,,Magician,General,Insight/Observation,Setup → Punchline,Text-only,"B2B support has changed, but Zendesk hasn’t.","B2B support has changed, but Zendesk hasn’t. 

Join us on November 24 to learn why top B2B teams are moving on.",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"We had a great time hosting Support Driven Summit at Pylon's office last week.

Leaders in support and CX came together to learn about...

→ Partnering with product and engineering to turn support into business impact
→ Proactive support as a driver of revenue growth
→ Building stronger customer relationships by leaving repetitive work to AI
→ ...and so much more

Huge thank you to the organizers and everyone who attended!

See you all at the next one 👋",50.0,3.0,1.0,,Teacher,Product/Growth,Insight/Observation,Listicle/Breakdown,Text-only,We had a great time hosting Support Driven Summit at Pylon's office last week.,"We had a great time hosting Support Driven Summit at Pylon's office last week.

Leaders in support and CX came together to learn about...

→ Partnerin",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Thank you Support Driven and thank you Scott Tran !! What an amazing leadership conference! I felt sooo at home with this community despite this being my first (but certainly not the last!!) event.  This felt like family.  Thank you, support family! 

And!! Super grateful and humbled for how well my talk was received.  Seeing multiple heads nodding out in the audience was absolutely the best feeling, as well as all the kind words received afterward.  

Can’t wait for the next!! 

Big thank you to my talk editor Neil Smith for the feedback that really made this presentation pop!
 
Thank you Sondra Halperin for taking pics and sharing stories!

#SDSummitSF #SDSummit #SupportDriven #SupportLeadership",157.0,28.0,2.0,,Teacher,Leadership/Management,Insight/Observation,Story → Twist → Lesson,Text-only,Thank you Support Driven and thank you Scott Tran !! What an amazing leadership conference! I felt sooo at home with this community despite this being,Thank you Support Driven and thank you Scott Tran !! What an amazing leadership conference! I felt sooo at home with this community despite this being,,dataset_product_led_dataset,,,,,,,,,,,,,,,,
