full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"Stop using SignalR for every real-time feature in .NET.

If you only need to push data from the server to the client, you might be using a sledgehammer to crack a nut.

While SignalR is a powerhouse for two-way communication, it can be heavy for simple ""server push"" scenarios.

Starting with ASPNET Core 10, we have a native, lightweight alternative: 𝗦𝗲𝗿𝘃𝗲𝗿-𝗦𝗲𝗻𝘁 𝗘𝘃𝗲𝗻𝘁𝘀 (𝗦𝗦𝗘).

In my latest video, I walk you through the implementation of native SSE, which allows the server to communicate with the client on demand over a single, persistent HTTP connection.

Check it out: https://lnkd.in/d3CGCuMC",1443.0,53.0,133,1629.0,3.32,Contrarian,Productivity,Against Common Wisdom,Observation/Opinion,Text-only,Stop using SignalR for every real-time feature in .NET.,"Stop using SignalR for every real-time feature in .NET.

If you only need to push data from the server to the client, you might be using a sledgehamme","Stop using SignalR for every real-time feature in .NET.

If you only need to push data from the server to the client, you might be using a sledgehamme",https://www.linkedin.com/posts/milan-jovanovic_stop-using-signalr-for-every-real-time-feature-activity-7407761045471088640-smB8?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACQAEEkBDb2FlfV06XgwYywsXPZjc1EPy8w,2025-12-19T12:37:42.785Z,central_outliers_db,16.0,0.0,435.1,alexis_engineering_tech
".NET 10 is officially released! 🎉

Here are the top updates 👇

First, .NET 10 is an LTS (long-term support) release. So we get support for the next 3 years.

🔥 Performance improvements

Under the hood, .NET 10 delivers major performance boosts. The JIT compiler has been tuned with new optimizations such as de‑abstraction, smarter inlining heuristics and constant‑folding, allowing the runtime to do more work at compile‑time rather than at run‑time. There are many other optimizations across collections and LINQ, which translate to tangible speedups across everyday workloads.

🚀 Aspire goes polyglot

Formerly .NET Aspire, Aspire is now a polyglot, developer‑first platform for orchestrating front ends, APIs, containers and databases. Version 9.5 introduces a preview of a single‑file AppHost, letting you define and run your entire distributed application in a single file. The release also debuts a Generative AI visualizer to inspect and debug prompts and responses, plus expanded AI support with typed clients for GitHub Models and Azure AI Foundry and first‑class OpenAI integration.

🔗 EF Core’s new LeftJoin/RightJoin operators

LINQ’s lack of a built‑in outer join has long been a pain point. EF Core 10 fixes this by adding LeftJoin and RightJoin operators, so the code now reads exactly like the SQL you intend. For example, you can join products to reviews using LeftJoin() and EF will generate the correct LEFT JOIN statement under the hood. A corresponding RightJoin() keeps all rows from the right side while bringing in matches from the left. These new operators eliminate the verbose GroupJoin + DefaultIfEmpty pattern and make LINQ queries easier to read and maintain.

What's your favorite feature coming in .NET 10?

---
Sign up for the .NET Weekly with 74K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/e3q7Nu4s",1396.0,44.0,184,1624.0,3.21,Teacher,Productivity,Framework/How-To,List Post,Text-only,.NET 10 is officially released! 🎉,".NET 10 is officially released! 🎉

Here are the top updates 👇

First, .NET 10 is an LTS (long-term support) release. So we get support for the next 3 ",".NET 10 is officially released! 🎉

Here are the top updates 👇

First, .NET 10 is an LTS (long-term support) release. So we get support for the next 3 ",https://www.linkedin.com/posts/milan-jovanovic_whats-new-in-net-10-activity-7394275511956582400-DQRu?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoipL4BPavl-hmH48vlRBnFYLnQqO1RsRU,2025-11-12T07:31:01.046Z,central_outliers_db,17.0,0.0,435.1,alexis_engineering_tech
"I upgraded my Clean Architecture template to .NET 10.

And it took only a few minutes. Here's how 👇

My .NET version is defined in one place, a Build props file. I updated to net10 and that took care of all the projects in the solution.

The next part was updating the NuGet packages.

This was equally simple with central package management. I updated the version in the Packages props file, and it was picked up by all the projects in the solution.

Here's what's inside:
- Simple domain model with Domain Events pattern
- CQRS (no MediatR) + clean use cases implementation
- Validation and logging cross-cutting concerns
- Authentication with JWT and user context
- Boilerplate for RBAC authorization
- Docker Compose orchestration
- Minimal APIs, health checks

You can get the template here: https://lnkd.in/eihaFihr

I recently found out my template is used by a local company, doing $30M+ yearly revenue.",1413.0,63.0,115,1591.0,3.25,Teacher,Engineering Leadership,Personal Experience,List Post,Text-only,I upgraded my Clean Architecture template to .NET 10.,"I upgraded my Clean Architecture template to .NET 10.

And it took only a few minutes. Here's how 👇

My .NET version is defined in one place, a Build ","I upgraded my Clean Architecture template to .NET 10.

And it took only a few minutes. Here's how 👇

My .NET version is defined in one place, a Build ",https://www.linkedin.com/posts/milan-jovanovic_i-upgraded-my-clean-architecture-template-activity-7396450049662013440-Hkk3?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACrQoogBzcO6PdHYllCLqPsl2uMapGCOPVg,2025-11-18T07:31:51.236Z,central_outliers_db,18.0,0.0,435.1,alexis_engineering_tech
"Did you check out the new IExceptionHandler feature?

You have to handle exceptions somehow.

IExceptionHandler implements the ""try-"" pattern.

You can decide which exceptions to handle.

To tell the middleware you handled the exception, you return true.

So, what makes this so interesting?

You can also chain multiple exception handlers that will run sequentially.

The first one to handle the exception successfully breaks the chain.

Here's how to use this in .NET 10: https://lnkd.in/e9k5yeJ3

It's a way to compose multiple exception handlers.

How do you approach global error handling?

---
Sign up for the .NET Weekly with 74K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/e3q7Nu4s",1328.0,37.0,107,1472.0,3.05,Teacher,AI/ML/Coding Tools,Framework/How-To,List Post,Text-only,Did you check out the new IExceptionHandler feature?,"Did you check out the new IExceptionHandler feature?

You have to handle exceptions somehow.

IExceptionHandler implements the ""try-"" pattern.

You ca","Did you check out the new IExceptionHandler feature?

You have to handle exceptions somehow.

IExceptionHandler implements the ""try-"" pattern.

You ca",https://www.linkedin.com/posts/milan-jovanovic_did-you-check-out-the-new-iexceptionhandler-activity-7394996964750229505-RIZD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoipL4BPavl-hmH48vlRBnFYLnQqO1RsRU,2025-11-14T07:17:48.796Z,idea_legos_alexis,35.0,0.0,435.1,
"The .sln file as we know it is finally dead.

After nearly two decades of dealing with unreadable GUIDs and painful merge conflicts, Visual Studio 2026 has introduced the new .slnx format. It’s clean, it’s XML-based, and it actually makes sense.

But that’s not the only upgrade.

In my latest video, I show you how I moved my entire solution from .NET 9 to .NET 10 in just a few minutes.

The secret isn't upgrading every project manually, it’s using a ""Smart Setup"" with Directory.Build.props and Central Package Management.

In this video, I break down:

- How to change target frameworks for 20+ projects instantly
- Managing NuGet versions in one single file
- A deep dive into the new .slnx format (and how to migrate)
- Handling Dockerfile updates for .NET 10

Stop fighting with your solution files.

Here is the better way to handle the upgrade: https://lnkd.in/dFgdarZe",1117.0,43.0,88,1248.0,2.57,Contrarian,AI/ML/Coding Tools,Against Common Wisdom,List Post,Text-only,The .sln file as we know it is finally dead.,"The .sln file as we know it is finally dead.

After nearly two decades of dealing with unreadable GUIDs and painful merge conflicts, Visual Studio 202","The .sln file as we know it is finally dead.

After nearly two decades of dealing with unreadable GUIDs and painful merge conflicts, Visual Studio 202",https://www.linkedin.com/posts/milan-jovanovic_the-sln-file-as-we-know-it-is-finally-dead-activity-7404213390392406017-glNr?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD7yo78B760w1OzXX2HFGNqUYGS32K3evyU,2025-12-09T17:40:35.902Z,idea_legos_alexis,51.0,0.0,435.1,
"I failed an interview because I didn't know how locks work in C#.

Read this to make sure it never happens to you.

I've told this story a couple of times before, but it's worth repeating.

I was in an interview some 7-8 years ago, doing a live coding exercise.

I was integrating with a currency conversion API and needed to add caching.

The problem was how this would scale with multiple concurrent requests.

A classic cache stampede problem.

I wanted to prevent this with locking.

Locking allows us to control how many threads can access some piece of code.

Note that I rarely worked with low-level code.

But the company I was interviewing for does.

Of course, they'd have this in the interview process.

Here's the situation:

- I knew I needed a locking mechanism
- But the method was async (oof!)
- So I tried to solve this using the `lock` statement

And that's where it all went to shit...

The `lock` statement doesn't work with async-await.

And it makes sense.

You can't guarantee which thread will complete the method.

So what's the solution?

You need to use an asynchronous synchronization primitive.

Luckily, C # has many to choose from.

Semaphore, SemaphoreSlim, Mutex, Monitor, etc.

Two important remarks:

1) Use a timeout when waiting on the semaphore
2) Always release the lock with a try-finally

Here's a tough question for you.

How would you implement a lock in a database?

If you want to find the answer, go here: https://lnkd.in/eVTMfu-y

Would you have nailed this interview?

---
Sign up for the .NET Weekly with 75K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/ejtkZwup",854.0,31.0,69,954.0,1.96,Teacher,Engineering Career,Personal Experience,List Post,Text-only,I failed an interview because I didn't know how locks work in C#.,"I failed an interview because I didn't know how locks work in C#.

Read this to make sure it never happens to you.

I've told this story a couple of t","I failed an interview because I didn't know how locks work in C#.

Read this to make sure it never happens to you.

I've told this story a couple of t",https://www.linkedin.com/posts/milan-jovanovic_i-failed-an-interview-because-i-didnt-know-activity-7400436293563863040-9DDB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFkvkTAB0d8WbobX52s3XSR2kf5PfrWy8V4,2025-11-29T07:31:45.843Z,idea_legos_alexis,86.0,0.0,435.1,
"You can find security risks in your code at build time.

Here's a simple way you can implement this in .NET in a few minutes.

Imagine being able to find security risks when you build your code.

Static code analysis lets you do this.

Here's an example build error that warns me my password hashing code is insecure. 👇

Static code analysis can help you write secure and consistent code. And you can also enforce this at build, even in CI pipelines.

If you want to see how to set this up from scratch, check out this article: https://lnkd.in/dyYFpBYZ

Note that this doesn't detect every possible issue.

If you want to take this further, you can look at more powerful solutions like SonarQube.

---
Sign up for the .NET Weekly with 75K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/ejtkZwup",649.0,30.0,64,743.0,1.49,Teacher,Software Engineering,Framework/How-To,List Post,Text-only,You can find security risks in your code at build time.,"You can find security risks in your code at build time.

Here's a simple way you can implement this in .NET in a few minutes.

Imagine being able to f","You can find security risks in your code at build time.

Here's a simple way you can implement this in .NET in a few minutes.

Imagine being able to f",https://www.linkedin.com/posts/milan-jovanovic_you-can-find-security-risks-in-your-code-activity-7398986847265132544-f2rt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFkvkTAB0d8WbobX52s3XSR2kf5PfrWy8V4,2025-11-25T07:32:10.916Z,idea_legos_alexis,128.0,0.0,435.1,
"The riskiest line of code you'll write today is the one without a feature flag.

Fortunately, .NET has you covered right out of the box.

Feature flags are a software development technique that allows you to wrap application features in a conditional statement.

You can then toggle the feature on or off at runtime to control which features are enabled.

.NET already has feature flag support built in.

You can use the IFeatureManager in your code to check whether a feature is enabled.

Want to learn more about using feature flags?

Check out this article: https://lnkd.in/ddxmMg4V

There are many popular services for managing feature flags.

I've used LaunchDarkly often, and recently also PostHog (it offers many more features).

---
Sign up for the .NET Weekly with 75K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/ej4nP9pY",628.0,49.0,55,732.0,1.44,Teacher,Engineering Leadership,Framework/How-To,List Post,Text-only,The riskiest line of code you'll write today is the one without a feature flag.,"The riskiest line of code you'll write today is the one without a feature flag.

Fortunately, .NET has you covered right out of the box.

Feature flag","The riskiest line of code you'll write today is the one without a feature flag.

Fortunately, .NET has you covered right out of the box.

Feature flag",https://www.linkedin.com/posts/milan-jovanovic_the-riskiest-line-of-code-youll-write-today-activity-7405147410806820865-tL__?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD7yo78B760w1OzXX2HFGNqUYGS32K3evyU,2025-12-12T07:32:03.722Z,idea_legos_alexis,131.0,0.0,435.1,
"Not all Load Balancing strategies are created equal.

If you are using YARP (Yet Another Reverse Proxy) in .NET, you have 5 built-in ways to distribute traffic. But which one should you choose?

Here is the breakdown:

1. RoundRobin: The classic. It cycles through servers evenly. Simple, but it assumes all servers are equally fast.

2. LeastRequests: The smart choice. It sends traffic to the server currently doing the least work.

3. Random: It picks a server at random. Surprisingly effective for high-volume, uniform workloads.

4. PowerOfTwoChoices: The balanced approach. It picks two random servers and chooses the one with fewer requests. It avoids the overhead of checking every server.

5. FirstAlphabetical: The ""sticky"" one. It always picks the first available server. Good for failover setups, bad for load distribution.

Most people stick with RoundRobin, but switching to LeastRequests can significantly improve tail latency in systems where request times vary.

I dive deeper into how to scale horizontally using YARP here: https://lnkd.in/daDNMpmB

Which strategy is your default choice?

---
Sign up for the .NET Weekly with 75K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/dcvJmi7E",646.0,16.0,66,728.0,1.48,Teacher,Technical Skills,Contrast/But,List Post,Text-only,Not all Load Balancing strategies are created equal.,"Not all Load Balancing strategies are created equal.

If you are using YARP (Yet Another Reverse Proxy) in .NET, you have 5 built-in ways to distribut","Not all Load Balancing strategies are created equal.

If you are using YARP (Yet Another Reverse Proxy) in .NET, you have 5 built-in ways to distribut",https://www.linkedin.com/posts/milan-jovanovic_not-all-load-balancing-strategies-are-created-activity-7415656713519013889-AiFq?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACQtiwkB6kGZiEBy4_4SPa_ge0XcIUugnbw,2026-01-10T07:32:16.742Z,idea_legos_alexis,129.0,0.0,435.1,
"How did we make a simple idea so complicated?

CQRS is the simplest pattern out there.

First, there was CQS: Command Query Separation.

What does this mean? We split an object's methods into write (command) and read (query) methods.

CQRS is the evolution of CQS. CQRS works on the architectural level. At the same time, CQS works on the method (or class) level.

The CQRS pattern uses separate models for reading and updating data.

This separation can be logical OR physical.

My preferred approach is starting with logical CQRS.

One database + separate flows for writes and reads.

You can design a data model fine-tuned for each operation.

A lot of developers stay away from CQRS because they think it's complex.

The reality is you're probably already applying CQRS principles without knowing it.

Here's a simple implementation: https://lnkd.in/d-qUdpn3

What do you think about the CQRS pattern?

---
Sign up for the .NET Weekly with 75K+ other engineers, and get a free Clean Architecture template: https://lnkd.in/dnecq4zh",615.0,41.0,53,709.0,1.41,Fortune Teller,Productivity,Industry Observation,List Post,Text-only,How did we make a simple idea so complicated?,"How did we make a simple idea so complicated?

CQRS is the simplest pattern out there.

First, there was CQS: Command Query Separation.

What does thi","How did we make a simple idea so complicated?

CQRS is the simplest pattern out there.

First, there was CQS: Command Query Separation.

What does thi",https://www.linkedin.com/posts/milan-jovanovic_how-did-we-make-a-simple-idea-so-complicated-activity-7413482291743588352-o2X2?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0,2026-01-04T07:31:54.192Z,idea_legos_alexis,137.0,0.0,435.1,
