full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"Many Engineering Managers often believe that quickly expanding their teams will lead to getting more things done.


❌ Wrong assumption.

In reality, scaling a team quickly often leads to more issues.

Before scaling your team, it's crucial to:

📋 Establish effective processes and document them: this will ensure smoother onboarding and alignment with the existing team dynamics.

🌟 Understand the Current Team's Capabilities: it's important to know what skills and strengths your current team has. This helps in understanding what new skills are needed in the team.

🤝 Ensure that the team is happy: hiring more people when there are team issues will increase friction.

🚀 Implement a well-structured onboarding process: when you hire new people, it's important to have a streamlined onboarding approach, or there will be a high risk of losing them immediately.

💼 Define Clear Roles and Responsibilities: before hiring, be clear about the roles and responsibilities the new team members will have. This helps avoid overlap and confusion.

❓ Verify the genuine need for additional team members: don't hire just to follow a hiring roadmap you defined at the beginning of the year.

Have I missed anything?

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
🔔 Enjoy my posts? Hit the bell and follow me → Nicola Ballotta 
🤓 Consider subscribing to The Hybrid Hacker newsletter (link in bio)

#team #hiring #management #leadership #growth",1902.0,110.0,98,2110.0,8.78,Contrarian,Engineering Leadership,Against Common Wisdom,List Post,Text-only,Many Engineering Managers often believe that quickly expanding their teams will lead to getting more,"Many Engineering Managers often believe that quickly expanding their teams will lead to getting more things done.


❌ Wrong assumption.

In reality, s","Many Engineering Managers often believe that quickly expanding their teams will lead to getting more things done.


❌ Wrong assumption.

In reality, s",https://www.linkedin.com/posts/nicolaballotta_team-hiring-management-activity-7155842142542651392-lE31?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFuSvOYB_jBbPAPzpya-N-HC_DUVe3hldzQ,2024-01-24T08:41:55.900Z,central_outliers_db,14.0,0.0,216.7,alexis_engineering_tech
"If you are a Software or Systems Engineer looking to advance in your career, here are 13 newsletters you must start reading during the holidays.

1) System Design Newsletter by Neo Kim - Complex systems very easily explained. 
https://lnkd.in/dAZeXCM2

2) ByteSizeDesgn by Alex Nguyen - Great resource for learning how Big Tech companies operate.
https://lnkd.in/dzRf2zTW

3) The Developing Dev by Ryan Peterman - Fills the gaps for engineers who don’t have dedicated mentorship.
https://lnkd.in/d4n3hndY

4) Techlead Mentor by Raviraj Achar - Stories and learnings by a Meta Staff Engineer
https://lnkd.in/drBG3Kmg

5) Tech World With Milan by Dr Milan Milanović - Technical deep dives and leadership
https://lnkd.in/dHnpdW9Z

6) Refactoring by 🌀 Luca Rossi - From software development to working with people, all explained in a easily digestible way.
https://lnkd.in/dFPVBdqz

7) The Caring Techie by Irina Stanescu - Many great articles about Tech Leadership and leading with empathy and care
https://lnkd.in/d-6zTiRj

8) Coding Challenges by John Crickett - The name says everything.
https://lnkd.in/dfGq8Svx

9) Engineering Leadership by Gregor Ojstersek - All things Engineering Leadership related.
https://lnkd.in/dVJn4bE7

10) High Growth Engineer by Jordan Cutler - Actionable advice for software engineers to grow faster in their careers.
https://lnkd.in/eSM6mC5J

11) Creator Economy by Peter Yang - Not strictly focused on engineering, but it teaches you to adopt a product-minded approach.
https://lnkd.in/dRR3feqh

12) The Pragmatic Engineer by Gergely Orosz - Not much to say here: it's easily one of the most well-known and best-written engineering newsletters.
https://lnkd.in/d8bGJkUx

13) Alex Ewerlöf Notes by Alex Ewerlöf - Technical leadership, SRE and much more.
https://lnkd.in/dbTtG6DV

You can also consider subscribing to 'The Hybrid Hacker,' my newsletter about Engineering Management/Leadership, Career Growth, and Productivity. 

🤓 https://hybridhacker.email


♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
🔔 Enjoy my posts? Hit the bell and follow me → Nicola Ballotta
🤓 Consider subscribing to The Hybrid Hacker newsletter (link in bio)

#engineering #careergrowth #leadership #management",921.0,39.0,142,1102.0,4.25,Teacher,Engineering Career,Framework/How-To,List Post,Text-only,"If you are a Software or Systems Engineer looking to advance in your career, here are 13 newsletters","If you are a Software or Systems Engineer looking to advance in your career, here are 13 newsletters you must start reading during the holidays.

1) S","If you are a Software or Systems Engineer looking to advance in your career, here are 13 newsletters you must start reading during the holidays.

1) S",https://www.linkedin.com/posts/nicolaballotta_engineering-careergrowth-leadership-activity-7141834365977739264-f8mO?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC0viMMB8ssIgj3ww4YCFe05LMmXCrJadPY,2023-12-16T17:00:01.715Z,central_outliers_db,26.0,0.0,216.7,alexis_engineering_tech
"If you are a Software or System Engineer looking to advance in your career, you have to learn System Design and here are 5 newsletters you must read.

1) System Design Newsletter by Neo Kim - Complex systems very easily explained. 
https://lnkd.in/dAZeXCM2

2) ByteByteGo by Alex Xu - One of the best newsletters out there for what concerns system design.
https://lnkd.in/dZwrPdGR

3) ByteSizeDesgn by Alex Nguyen - Great resource for learning how Big Tech companies operate.
https://lnkd.in/dzRf2zTW

4) Engineering Codex by Leo Creed - Practical lessons from Big Techs
https://lnkd.in/dCGhjfuR

5) System Design Codex by Saurabh Dashora - Covers a wide range of topics related to System Design.
https://lnkd.in/dhKRBKDD

🛑 However, System Design alone is not enough. You have to master code. So, read these:

1) Level-up Software Engineering by Caleb Mellas - Growing to senior dev
https://lnkd.in/deezxbEG

2) Craft Better Software by Daniel Moka - Master Test Driven Dev
https://lnkd.in/dfviF3en

3) Tech World With Milan by Dr Milan Milanović - .NET, Tech deep dives and leadership.
https://lnkd.in/dHnpdW9Z

4) The T-Shaped Dev by Petar Ivanov - Growing as a Software Dev
https://thetshaped.dev/

5) Coding Challenges by John Crickett - Coding challenges of every kind.
https://lnkd.in/dfGq8Svx

6) SnackableCTO by Adrian Stanek - Grow your dev culture
https://lnkd.in/d6kCQp2Y

🟦 You got System Design and Coding covered. Wanna grow even more? Maybe in a leadership position? Read these:

1) High Growth Engineer by Jordan Cutler - Actionable advice for software engineers to grow faster in their careers.
https://lnkd.in/eSM6mC5J

2) Engineering Leadership by Gregor Ojstersek - All things Engineering Leadership related.
https://lnkd.in/dVJn4bE7

3) The Developing Dev by Ryan Peterman - Fills the gaps for engineers who don’t have dedicated mentorship.
https://lnkd.in/d4n3hndY

4) Level-Up as a Tech Lead by Anemari Fiser - All about technical leadership
https://lnkd.in/dwPqid_m

4) Techlead Mentor by Raviraj Achar - Learnings by a Meta Staff Engineer
https://lnkd.in/drBG3Kmg

5) The Caring Techie by Irina Stanescu - Many great articles about Tech Leadership and leading with empathy and care
https://lnkd.in/d-6zTiRj

6) Leading Developers by Anton Zaides - Practical tips to grow as a Manager
https://lnkd.in/dfsSXupx

7) Alex Ewerlöf Notes by Alex Ewerlöf - Technical leadership and much more.
https://lnkd.in/dbTtG6DV

8) Software Engineering Times by Ryan Murphy - All about software engineering career
https://lnkd.in/d_wwwKRK

🚀 Not enough?????

You can consider subscribing to 'The Hybrid Hacker,' my newsletter about Leadership, Engineering Practices, Career Growth, and Productivity. 

🤓 https://hybridhacker.email

Feel free to mention more in the comments!

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME 🙏

---
#engineering #systemdesign #softwaredevelopment #leadership #management",790.0,55.0,120,965.0,3.65,Teacher,Engineering Career,Framework/How-To,List Post,Text-only,"If you are a Software or System Engineer looking to advance in your career, you have to learn System","If you are a Software or System Engineer looking to advance in your career, you have to learn System Design and here are 5 newsletters you must read.
","If you are a Software or System Engineer looking to advance in your career, you have to learn System Design and here are 5 newsletters you must read.
",https://www.linkedin.com/posts/nicolaballotta_engineering-systemdesign-softwaredevelopment-activity-7159497135736926209-pDPD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE,2024-02-03T10:45:34.184Z,central_outliers_db,28.0,0.0,216.7,alexis_engineering_tech
"Especially in the IT Engineering field, where competition is high, there's a common misconception that salary is the only factor that matters.

Of course, salary is important.

But it's rarely the main driver of retention. Otherwise, everyone would only apply for jobs at FAANG companies.

In reality, for the majority of us in this field, several other key factors make a difference.

💰 Salary: it's crucial and should align with your competencies, but it doesn't have to be the highest in the market.

📚 Learning: providing people with a learning budget to use throughout the year is highly appreciated.

📈 Personal Growth: opportunities for career advancement and skill development matter significantly.

🏛️ Culture: a positive work environment, loving what you do, and enjoying the company of your colleagues are some of the most important aspects.

🏋️‍♂️ Well-Being: mental and physical health has become a priority over the last decade. People value free time to spend with their families or for their hobbies.

Next time, before increasing your employees' salaries (which is fine), as a manager, ensure your team already has access to all of the above.

What other important retention elements have I missed?

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
🔔 Enjoy my posts? Hit the bell and follow me → Nicola Ballotta
🤓 Consider subscribing to The Hybrid Hacker newsletter (link in bio)

#management #leadership #retention #salary #job",723.0,57.0,45,825.0,3.34,Teacher,Engineering Career,Framework/How-To,List Post,Text-only,"Especially in the IT Engineering field, where competition is high, there's a common misconception th","Especially in the IT Engineering field, where competition is high, there's a common misconception that salary is the only factor that matters.

Of cou","Especially in the IT Engineering field, where competition is high, there's a common misconception that salary is the only factor that matters.

Of cou",https://www.linkedin.com/posts/nicolaballotta_management-leadership-retention-activity-7143163120486719488-598g?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC0viMMB8ssIgj3ww4YCFe05LMmXCrJadPY,2023-12-20T09:00:01.477Z,dataset_alexis_dataset,25.0,0.0,216.7,
"I spent 2+ hours compiling a comprehensive list of newsletters for Software or Systems Engineers who want to level up in their career, so you don't have to.

🛠️ 𝐓𝐄𝐂𝐇 / 𝐒𝐘𝐒𝐓𝐄𝐌 𝐃𝐄𝐒𝐈𝐆𝐍

1) System Design Newsletter by Neo Kim - Easily explained complex systems
https://lnkd.in/dTGWwBf9

2) Tech World With Milan by Dr Milan Milanović - Tech deep dives and leadership
https://lnkd.in/dHnpdW9Z

3) ByteSizeDesgn by Alex Nguyen - How Big Tech companies operate
https://lnkd.in/d3zyXSCG

4) Coding Challenges by John Crickett - The name says everything
https://lnkd.in/d3s2kF_p

5) EcZachly Data Engineering by Zach Wilson - Goto resource for data engineering
https://lnkd.in/dBStw5U9

6) Refactoring by 🌀 Luca Rossi - From software development to working with people
https://lnkd.in/dnp7vGgg

👨‍💼 𝐓𝐄𝐂𝐇 𝐋𝐄𝐀𝐃𝐄𝐑𝐒𝐇𝐈𝐏/𝐌𝐀𝐍𝐀𝐆𝐄𝐌𝐄𝐍𝐓

1) High Growth Engineer by Jordan Cutler - Grow faster in your engineering career
https://lnkd.in/dgdPJp_U

2) Level up Software Engineering by Caleb Mellas - Progress in your Engineering career
https://lnkd.in/deezxbEG

3) The Caring Techie by Irina Stanescu - Tech Leadership with empathy
https://lnkd.in/d-6zTiRj

4) Engineering Leadership by Gregor Ojstersek - All things about Engineering Leadership
https://lnkd.in/dVJn4bE7

5) Elevate by Addy Osmani - Thoughts, ideas, articles about effective leadership.
https://lnkd.in/dWrPRw4m

6) The Developing Dev by Ryan Peterman - Fills the gaps for engineers who don’t have dedicated mentorship
https://lnkd.in/dFEuDvSH

7) Techlead Mentor by Raviraj Achar - Learnings by a Meta Staff Engineer
https://lnkd.in/dHMxvb_b

8) Alex Ewerlöf Notes by Alex Ewerlöf - Technical leadership and much more.
https://lnkd.in/d773TyKb

9) The Engineering Manager by James Stanier - Stories and resources about EM
https://lnkd.in/dHB6YX3K

10) Scarlet Ink by David Anderson - Build your leadership capabilities
https://lnkd.in/dQHzYqDB

11) Software Engineering Times by Ryan Murphy - Grow and learn as an Engineer
https://lnkd.in/d_wwwKRK

📦 𝐏𝐑𝐎𝐃𝐔𝐂𝐓 (yeah, you also need that)

1) Product Growth by Aakash Gupta - Probably one of the best product newsletters I know
https://lnkd.in/dYCg846J

2) Creator Economy by Peter Yang - Adopt a product-minded approach
https://lnkd.in/dRR3feqh

3) Product Management IRL by Amy Mitchell - All about managing products
https://lnkd.in/dFA4CRck

You can also consider joining 17K+ readers of The Hybrid Hacker, my newsletter about Engineering Leadership, Career Growth and Productivity👇

🚀🤓 https://hybridhacker.email

➕ There are many more; feel free to add them in the comments!

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.
---
#leadership #management #product #learn #engineering",639.0,67.0,111,817.0,2.95,Contrarian,Engineering Career,Personal Experience,List Post,Text-only,I spent 2+ hours compiling a comprehensive list of newsletters for Software or Systems Engineers who,"I spent 2+ hours compiling a comprehensive list of newsletters for Software or Systems Engineers who want to level up in their career, so you don't ha","I spent 2+ hours compiling a comprehensive list of newsletters for Software or Systems Engineers who want to level up in their career, so you don't ha",https://www.linkedin.com/posts/nicolaballotta_leadership-management-product-activity-7154111830058033152-rxQ8?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFuSvOYB_jBbPAPzpya-N-HC_DUVe3hldzQ,2024-01-19T14:06:17.256Z,idea_legos_alexis,36.0,0.0,216.7,
"I often recommend subscribing to the biggest and fastest-growing newsletters if you want to grow as an Engineer or Leader.

Today I'd like to give some space to some great newsletters under 10k subscribers that you should absolutely read.

1) Strategize your Career by Francisco Manuel Soto Ramírez 
⮑ https://lnkd.in/dqcMZnUm

2) The T-Shaped Dev by Petar Ivanov
⮑ https://lnkd.in/dHUKxecb

3) System Design Codex by Saurabh Dashora
⮑ https://lnkd.in/dhKRBKDD

4) Product Management IRL by Amy Mitchell
⮑ https://lnkd.in/dFA4CRck

5) SnackableCTO by Adrian Stanek
⮑ https://lnkd.in/d6kCQp2Y

6) Level-Up as a Tech Lead by Anemari Fiser
⮑ https://lnkd.in/dwPqid_m

7) Leading Developers by Anton Zaides
⮑ https://lnkd.in/dfsSXupx

8) Software Engineering Times by Ryan Murphy
⮑ https://lnkd.in/d_wwwKRK

9) Crafting Tech Teams by Denis Čahuk
⮑ https://lnkd.in/dxrd8-Tf

10) Alex Ewerlöf Notes by Alex Ewerlöf
⮑ https://lnkd.in/dbTtG6DV

11) The Hustling Engineer by Hemant Pandey
⮑ https://lnkd.in/dVEsByEM

12) The Owl and the Beetle by Luca Sartoni
⮑ https://lnkd.in/d5dA_g58

13) The Modern Software Developer by Richard Donovan
⮑ https://tmsd.substack.com/

14) Hungry Minds by Alexandre Zajac
⮑ https://lnkd.in/dcHT6P-G

15) Nudge by unblocked.engineering by Tobias Mende
⮑ https://lnkd.in/dg73tM5b

16) Sudo Make me a CTO by Sergio Visinoni
⮑ https://lnkd.in/d5iKbP9T

17) Dev Details by Mike Thornton
⮑ https://lnkd.in/dKJ8NG7v

💪 Alongside these emerging talents, I've been reading some of the best newsletters currently available on the market:

1) System Design Newsletter by Neo Kim
⮑ https://lnkd.in/dAZeXCM2

2) Level-up Software Engineering by Caleb Mellas
⮑ https://lnkd.in/deezxbEG

3) ByteByteGo by Alex Xu
⮑ https://lnkd.in/dZwrPdGR

4) The Developing Dev by Ryan Peterman
⮑ https://lnkd.in/d4n3hndY

5) Tech World With Milan by Dr Milan Milanović 
⮑ https://lnkd.in/dHnpdW9Z

6) Engineering Leadership by Gregor Ojstersek 
⮑ https://lnkd.in/dVJn4bE7

7) ByteSizeDesgn by Alex Nguyen
⮑ https://lnkd.in/dzRf2zTW

8) High Growth Engineer by Jordan Cutler
⮑ https://lnkd.in/eSM6mC5J

9) The Caring Techie by Irina Stanescu
⮑ https://lnkd.in/d-6zTiRj

10) Refactoring by 🌀 Luca Rossi
⮑ https://lnkd.in/dFPVBdqz

11) Techlead Mentor by Raviraj Achar 
⮑ https://lnkd.in/drBG3Kmg

If this is not enough, you might consider subscribing to The Hybrid Hacker, a weekly newsletter I send to 23,000 subscribers that covers topics on Engineering, Leadership and Productivity.

https://hybridhacker.email

Also feel free to suggest more in the comments!

♻️ GROWING A NEWSLETTER IS CHALLENGING AT THE BEGINNING. PLEASE SHOW SOME SUPPORT FOR THESE TALENTED WRITERS BY REPOSTING!

---
#engineering #leadership #career #management #newsletters",577.0,103.0,76,756.0,2.66,Teacher,Engineering Career,Personal Experience,List Post,Text-only,I often recommend subscribing to the biggest and fastest-growing newsletters if you want to grow as ,"I often recommend subscribing to the biggest and fastest-growing newsletters if you want to grow as an Engineer or Leader.

Today I'd like to give som","I often recommend subscribing to the biggest and fastest-growing newsletters if you want to grow as an Engineer or Leader.

Today I'd like to give som",https://www.linkedin.com/posts/nicolaballotta_engineering-leadership-career-activity-7168239971013648385-57sB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEJkUhcBhZbTboFaaYcPg0ZbPEKZ2-g1EWk,2024-02-27T13:46:28.548Z,idea_legos_alexis,46.0,0.0,216.7,
"As an Engineering Leader, there's one thing you have to carefully watch out for within your teams.


🚫 Over-Engineering.

Engineers often aim for perfection.

On one hand, this is good because it means they care and don't want to deliver crappy solutions. On the other hand, there's always the risk that they might focus on things that are not necessary from the beginning.

This is also why you want to foster a product-oriented mindset among your engineers.

🚀 When you have to launch a new product, you don't need to think about scaling it to 10 million users from the beginning, providing a 99.999% Uptime SLA, or building it on 20 microservices.

The first thing a product needs is validation, and you want it to happen sooner rather than later.

For this reason, it's important to:

🔥 Focus on delivering an MVP. This doesn't mean delivering low quality, but focusing on making the product ready for 100 or 1000 customers, not 10M.

♻️ Invest in a robust CI/CD system. This will facilitate faster iterations on the product, enabling you to improve the product and fix bugs more rapidly.

🏗️ Keep the architecture simple. While microservices are powerful for large teams and complex architectures (although not a strict rule), they are  also challenging to manage and coordinate.

🗣️ Involve your team in product discussions. This will help them understand why certain decisions are made and why perfection isn't expected right from the beginning.

What else?

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
🔔 Enjoy my posts? Hit the bell and follow me → Nicola Ballotta 
🤓 Consider subscribing to The Hybrid Hacker newsletter (link in bio)

#management #engineering #overengineering #leadership #product",493.0,66.0,40,599.0,2.28,Contrarian,Engineering Leadership,Against Common Wisdom,List Post,Text-only,"As an Engineering Leader, there's one thing you have to carefully watch out for within your teams.","As an Engineering Leader, there's one thing you have to carefully watch out for within your teams.


🚫 Over-Engineering.

Engineers often aim for perf","As an Engineering Leader, there's one thing you have to carefully watch out for within your teams.


🚫 Over-Engineering.

Engineers often aim for perf",https://www.linkedin.com/posts/nicolaballotta_management-engineering-overengineering-activity-7155485700564361216-Xmcd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFuSvOYB_jBbPAPzpya-N-HC_DUVe3hldzQ,2024-01-23T09:05:33.510Z,dataset_alexis_dataset,66.0,0.0,216.7,
"I'm not a great reader, but there's one book I've been reading for the third year in a row that you should check out.


🚀 𝗔𝘁𝗼𝗺𝗶𝗰 𝗛𝗮𝗯𝗶𝘁𝘀.

One of the most important concepts in the book is the ""Plateau of Latent Potential,"" which, in simple terms, is the time that elapses between when we start doing something and when we actually see results.

We often expect this duration to be linear and assume that as soon as we start doing something, we should immediately see some small results. Unfortunately, it doesn't work that way, and this mismatch can lead to disappointment, which often results in giving up.

The reality is that you usually begin to see progress just when you've passed a certain critical threshold, and then it becomes exponential.

🌀 Think about when you want to introduce a change in your team, even a small one, or when you want to learn something new. Instead of focusing on the results, be consistent in what you want to achieve, not just for days or weeks, but at least for a few months. Eventually, the results will come, and they will be exponential.

I'm impatient by nature, but this book literally changed my life and how I perceive change and progress.

𝗕𝗲𝗳𝗼𝗿𝗲 𝗿𝗲𝗮𝗱𝗶𝗻𝗴 𝗶𝘁:

🚧 I started many things and eventually abandoned them after a few weeks or months.

📏 I was measuring my progress every single day, without actually seeing any progress.

😞 I felt frustrated and sometimes doubted my intelligence to accomplish things.

𝗔𝗳𝘁𝗲𝗿 𝗿𝗲𝗮𝗱𝗶𝗻𝗴 𝗶𝘁:

🌟  I'm still impatient, but I stick with the things that really matter to me.

⏱️ I stopped measuring my progress every day; now, I look at my progress each month.

🌤️ Sometimes I still feel frustrated, but when I do, it's because I know I wasn't consistent enough in my efforts.

Did you read this book? How it impacted your life?


♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
🔔 Enjoy my posts? Hit the bell and follow me → Nicola Ballotta 
🤓 Consider subscribing to The Hybrid Hacker newsletter (link in bio)

#habits #careergrowth #productivity #leadership #management",475.0,72.0,45,592.0,2.19,Teacher,Productivity,Contrast/But,List Post,Text-only,"I'm not a great reader, but there's one book I've been reading for the third year in a row that you ","I'm not a great reader, but there's one book I've been reading for the third year in a row that you should check out.


🚀 𝗔𝘁𝗼𝗺𝗶𝗰 𝗛𝗮𝗯𝗶𝘁𝘀.

One of the m","I'm not a great reader, but there's one book I've been reading for the third year in a row that you should check out.


🚀 𝗔𝘁𝗼𝗺𝗶𝗰 𝗛𝗮𝗯𝗶𝘁𝘀.

One of the m",https://www.linkedin.com/posts/nicolaballotta_habits-careergrowth-productivity-activity-7157650689941217281-sTRA?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE,2024-01-29T08:28:27.201Z,dataset_alexis_dataset,68.0,0.0,216.7,
"There's one thing that literally changed my approach to sharing content during the last 6 months.


Learn to create visuals.

I can't count how many people reach out to me every day to ask how I create these visuals.

They are always surprised when I tell them that I can barely hold a pencil in my hand, that I had no previous design experience, and that it takes me from 10-20 minutes to create one of these.

𝗦𝗼 𝗵𝗼𝘄 𝗱𝗶𝗱 𝗜 𝗺𝗮𝗸𝗲 𝗶𝘁?

🧠 I took a course from Janis Ozolinis that opened my mind (link in the comments).

✍️ I began practicing and publishing visuals from day one (even if they weren't great).

👀 I started following great visual designers and interacted with them.

🔁 I experimented a lot, changed things  (I created 15 versions of my own font).

𝗛𝗼𝘄 𝗱𝗼𝗲𝘀 𝗺𝘆 𝗽𝗿𝗼𝗰𝗲𝘀𝘀 𝘄𝗼𝗿𝗸?

📝 I use Figma and I collect all my ideas there.

🗂️ I have one page on Figma with all my visuals divided into 3 sections: Ideas, Drafts, Published.

💡 Every time I have an inspiration or I see something that could be transformed into a visual, I draw a sketch in the ""Ideas"" section.

🚸 Every morning, while walking back from taking my daughter to kindergarten, I start thinking about a visual and a post I want to publish.

🏠 Once at home, I create the visual; a simple visual usually takes between 10-20 minutes, while I create more complex visuals during the weekends.

🤖 Once it's done, I ask ChatGPT if the visual makes sense and the wording is correct (this to me is very helpful).

𝗪𝗵𝘆 𝗱𝗼 𝗜 𝗯𝗲𝗹𝗶𝗲𝘃𝗲 𝘁𝗵𝗶𝘀 𝗶𝘀 𝗮𝗻 𝗶𝗺𝗽𝗼𝗿𝘁𝗮𝗻𝘁 𝘀𝗸𝗶𝗹𝗹 𝘁𝗼 𝗵𝗮𝘃𝗲?

🎨 Visualizing your ideas helps make them easily understandable to everyone.

👁️‍🗨️ Visuals capture attention and so they are great for delivering quick ideas on social networks.

🌐 You can use visuals everywhere: in your documents, presentations, with your kids, etc.

📊 Visuals make complex content lighter and smoother to read (for me, it was very useful in my newsletter).

If you want to start creating visuals, these are some people I'd suggest you follow:

Janis Ozolins
Roberto Ferraro
Pejman Milani
Hannah Wilson
Ash Lamb
Michael J Boorman
Lee Sampson
Liz Fosslien

I also included what I think are my 10 best visuals. Name your favorite in the comments!

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
🔔 Enjoy my posts? Hit the bell and follow me → Nicola Ballotta 
🤓 Consider subscribing to The Hybrid Hacker newsletter (link in bio)

#visuals #contentcreation #design #ideas #inspiration",429.0,56.0,23,508.0,1.98,Fortune Teller,Personal Growth,Industry Observation,List Post,Text-only,There's one thing that literally changed my approach to sharing content during the last 6 months.,"There's one thing that literally changed my approach to sharing content during the last 6 months.


Learn to create visuals.

I can't count how many p","There's one thing that literally changed my approach to sharing content during the last 6 months.


Learn to create visuals.

I can't count how many p",https://www.linkedin.com/posts/nicolaballotta_my-10-favorite-visuals-activity-7160915609508012033-d5W4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADYTW2ABrkqUW6gvZEMoz2OzOvvdx6Gq6bg,2024-02-07T08:42:04.685Z,idea_legos_alexis,84.0,0.0,216.7,
"There's one aspect of engineering that, in my experience, is more challenging than anything else.


🔮 Estimates.

Estimating a project often leads to friction and frustration among teams.

Why?

🤝 Lack of collaboration: teams frequently work in silos rather than uniting to achieve a common objective.

🧠 Lack of knowledge: there is often no mutual understanding of each other’s fields.

🌐 Multiple teams involved: more teams involved = more complexity

🎯 Estimations are essentially guesses: even when some factors are known, they are still largely speculative.

However, while the practice of estimating projects depends on company and team culture, in some cases, estimates are crucial, especially when:

🎯 The product team needs to decide on priorities
👥 Multiple parties are involved
⏳ The project is time-sensitive

If you want to learn more about how to estimate projects effectively, I'll be sharing an article on the subject with my ~17K subscribers tomorrow.

But there's more.

To provide you with a well-rounded perspective, I’ve teamed up with my friend Jordan Cutler who will share his extensive experience as a Senior Software Developer and teacher at Maven. 

Specifically, he will guide you through a practical and actionable use case of how he approaches project estimation!

Don't miss out on it! 

Subscribe to The Hybrid Hacker newsletter today, and you'll receive the article  straight in your inbox tomorrow morning! 👇

https://lnkd.in/dA8yCkqT

♻️ PLEASE REPOST IF YOU FOUND IT USEFUL, IT MEANS A LOT TO ME.

---
#estimates #management #leadership #product #productivity",408.0,65.0,19,492.0,1.88,Teacher,Engineering Leadership,Framework/How-To,List Post,Text-only,"There's one aspect of engineering that, in my experience, is more challenging than anything else.","There's one aspect of engineering that, in my experience, is more challenging than anything else.


🔮 Estimates.

Estimating a project often leads to ","There's one aspect of engineering that, in my experience, is more challenging than anything else.


🔮 Estimates.

Estimating a project often leads to ",https://www.linkedin.com/posts/nicolaballotta_estimates-management-leadership-activity-7153316045993238528-T-pz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFuSvOYB_jBbPAPzpya-N-HC_DUVe3hldzQ,2024-01-17T09:24:07.550Z,idea_legos_alexis,92.0,0.0,216.7,
